,LOC348120_AMP,NME7_DEL,NF1P2_AMP,POTEB_AMP,FHIT_DEL,HLA-DQB1_AMP,MLIP_DEL,ADAM5_DEL,C10orf11_DEL,FAM35B_DEL,BMPR2_AMP,TBC1D3B_DEL,KANSL1_AMP,EP300_MUT,ADAM3A_DEL,UBE2Q2P3_AMP,KANSL1-AS1_AMP,UBE2Q2P2_AMP,SNTG2_DEL,LINC00202_DEL,DUSP22_DEL,FFAR3_DEL,PTPRT_DEL,RGS22_MUT,CNTNAP3B_AMP,NBPF16_DEL,PRSS2_DEL,PRSS3P2_DEL,KIAA1217_DEL,RPS17_AMP
30,0.0,3.0,2.0,1.0,7.0,14.0,129.0,4.0,15.0,40.0,9.0,30.0,28.0,167.0,5.0,57.0,29.0,58.0,39.0,13.0,6748.0,8.0,10.0,17.0,11.0,22.0,91.0,92.0,393.0,98.0
79,1.0,0.0,3.0,4.0,15.0,14.0,36.0,2.0,11.0,52.0,8.0,5.0,70.0,97.0,6.0,230.0,65.0,231.0,7.0,55.0,132.0,23.0,46.0,9.0,18.0,71.0,42.0,41.0,88.0,477.0
128,0.0,4.0,1.0,2.0,74.0,30.0,13.0,9.0,7.0,114.0,3.0,1024.0,19.0,184.0,18.0,146.0,26.0,147.0,20.0,37.0,6482.0,28.0,83.0,14.0,29.0,16.0,6.0,5.0,87.0,247.0
177,1.0,0.0,3.0,4.0,119.0,32.0,9.0,5.0,38.0,36.0,13.0,28.0,15.0,29.0,6.0,207.0,27.0,206.0,11.0,17.0,166.0,20.0,40.0,12.0,33.0,44.0,64.0,65.0,150.0,428.0
226,0.0,1.0,3.0,4.0,5.0,11.0,50.0,31.0,40.0,19.0,48.0,2.0,189.0,76.0,51.0,72.0,246.0,71.0,9.0,10.0,8818.0,13.0,20.0,15.0,8.0,46.0,23.0,24.0,1410.0,143.0
275,0.0,6.0,2.0,1.0,97.0,7.0,106.0,9.0,5.0,16.0,66.0,27.0,11.0,23.0,10.0,71.0,14.0,70.0,20.0,192.0,21.0,4.0,152.0,13.0,36.0,55.0,89.0,90.0,42.0,123.0
324,1.0,0.0,3.0,4.0,2.0,10.0,35.0,5.0,12.0,32.0,33.0,46.0,28.0,23.0,8.0,126.0,34.0,125.0,7.0,11.0,167.0,16.0,20.0,101.0,30.0,44.0,25.0,24.0,114.0,254.0
373,2.0,5.0,1.0,0.0,14.0,15.0,66.0,3.0,6.0,86.0,21.0,20.0,60.0,27.0,4.0,34.0,58.0,33.0,7.0,9.0,148.0,85.0,193.0,10.0,51.0,40.0,65.0,64.0,287.0,54.0
422,1.0,0.0,2.0,3.0,49.0,34.0,7.0,4.0,5.0,14.0,40.0,37.0,21.0,58.0,6.0,908.0,35.0,909.0,11.0,15.0,251.0,8.0,26.0,9.0,70.0,69.0,31.0,32.0,18.0,1924.0
471,0.0,3.0,1.0,2.0,9.0,15.0,23.0,14.0,5.0,45.0,11.0,30.0,160.0,68.0,40.0,232.0,179.0,230.0,39.0,22.0,43.0,57.0,44.0,13.0,28.0,27.0,6.0,7.0,385.0,233.0
520,28.0,36.0,14.0,13.0,70.0,15.0,0.0,291.0,7.0,135.0,12.0,20.0,64.0,33.0,656.0,8.0,87.0,9.0,352.0,43.0,46.0,7761.0,109.0,30.0,88.0,10.0,360.0,359.0,86.0,18.0
569,31.0,36.0,12.0,11.0,43.0,95.0,9.0,182.0,25.0,27.0,49.0,15.0,22.0,190.0,503.0,1.0,19.0,0.0,23.0,24.0,8.0,118.0,94.0,156.0,194.0,40.0,17.0,16.0,100.0,3.0
618,13.0,0.0,9.0,10.0,125.0,11.0,2.0,380.0,23.0,52.0,35.0,21.0,34.0,40.0,1121.0,47.0,37.0,48.0,19.0,69.0,3.0,91.0,111.0,80.0,204.0,60.0,7.0,8.0,30.0,65.0
667,5.0,0.0,2.0,3.0,70.0,47.0,1.0,568.0,96.0,124.0,8.0,7.0,28.0,43.0,1462.0,25.0,30.0,24.0,15.0,36.0,6.0,41.0,160.0,23.0,71.0,67.0,12.0,11.0,17.0,40.0
716,26.0,5.0,6.0,7.0,12.0,8.0,1.0,164.0,4.0,210.0,27.0,14.0,9.0,68.0,289.0,10.0,13.0,11.0,22.0,29.0,2.0,107.0,115.0,28.0,104.0,51.0,56.0,57.0,78.0,20.0
765,9.0,13.0,5.0,6.0,2.0,14.0,22.0,3136.0,17.0,129.0,11.0,8.0,10.0,147.0,5951.0,105.0,12.0,106.0,15.0,42.0,0.0,246.0,103.0,19.0,675.0,69.0,4.0,3.0,89.0,179.0
814,21.0,1.0,15.0,14.0,3.0,17.0,0.0,77.0,16.0,107.0,10.0,18.0,4.0,41.0,154.0,45.0,12.0,46.0,22.0,19.0,23.0,72.0,356.0,36.0,42.0,26.0,100.0,99.0,56.0,67.0
863,4.0,6.0,2.0,1.0,37.0,19.0,9.0,75.0,15.0,33.0,16.0,5.0,133.0,84.0,108.0,31.0,231.0,30.0,21.0,57.0,3.0,299.0,336.0,41.0,353.0,23.0,12.0,13.0,77.0,59.0
912,5.0,14.0,3.0,2.0,5431.0,183.0,1.0,321.0,258.0,43.0,15.0,93.0,53.0,40.0,632.0,19.0,52.0,20.0,21.0,32.0,7.0,297.0,122.0,60.0,74.0,23.0,57.0,56.0,418.0,29.0
961,8.0,37.0,6.0,7.0,35.0,11.0,5.0,360.0,29.0,41.0,9.0,0.0,76.0,36.0,1065.0,21.0,93.0,22.0,25.0,14.0,4.0,46.0,137.0,80.0,207.0,32.0,68.0,67.0,16.0,23.0
1010,13.0,6.0,24.0,23.0,3.0,49.0,5.0,9.0,4.0,0.0,31.0,14.0,2.0,10.0,16.0,34.0,8.0,33.0,68.0,46.0,7.0,35.0,17.0,12.0,29.0,25.0,1078.0,1077.0,1.0,55.0
1059,28.0,9.0,37.0,38.0,18.0,73.0,4.0,39.0,17.0,3.0,24.0,20.0,1.0,27.0,55.0,8.0,2.0,7.0,44.0,86.0,30.0,11.0,13.0,12.0,31.0,29.0,126.0,127.0,21.0,15.0
1108,27.0,34.0,44.0,45.0,4.0,14.0,1.0,22.0,0.0,23.0,11.0,18.0,10.0,13.0,26.0,43.0,17.0,42.0,84.0,28.0,2.0,92.0,98.0,12.0,6.0,15.0,335.0,336.0,29.0,77.0
1157,44.0,16.0,30.0,29.0,15.0,6.0,10.0,11.0,0.0,9.0,7.0,8.0,22.0,21.0,20.0,5.0,32.0,4.0,43.0,66.0,1.0,279.0,134.0,3.0,105.0,18.0,236.0,237.0,19.0,14.0
1206,7.0,16.0,22.0,23.0,1.0,12.0,13.0,9.0,0.0,4.0,29.0,2.0,25.0,18.0,17.0,5.0,30.0,6.0,73.0,34.0,55.0,42.0,10.0,14.0,48.0,15.0,1316.0,1317.0,26.0,21.0
1255,12.0,70.0,32.0,33.0,36.0,22.0,3.0,2.0,0.0,1.0,8.0,41.0,26.0,46.0,5.0,16.0,24.0,17.0,81.0,67.0,14.0,173.0,9.0,15.0,11.0,21.0,149.0,148.0,56.0,40.0
1304,3.0,17.0,7.0,8.0,18.0,9.0,49.0,0.0,2.0,29.0,112.0,54.0,5.0,12.0,1.0,13.0,15.0,14.0,183.0,68.0,4.0,56.0,11.0,47.0,19.0,38.0,35.0,34.0,39.0,27.0
1353,8.0,36.0,28.0,27.0,19.0,0.0,6.0,4.0,3.0,9.0,2.0,45.0,25.0,7.0,18.0,13.0,32.0,15.0,514.0,33.0,318.0,162.0,20.0,24.0,78.0,40.0,253.0,252.0,1.0,11.0
1402,2.0,14.0,8.0,7.0,1.0,4.0,0.0,9.0,3.0,10.0,23.0,22.0,36.0,49.0,11.0,21.0,28.0,20.0,123.0,86.0,5.0,82.0,37.0,15.0,39.0,13.0,572.0,573.0,6.0,31.0
1451,21.0,119.0,40.0,41.0,3.0,0.0,16.0,10.0,9.0,2.0,44.0,4.0,23.0,15.0,14.0,19.0,29.0,20.0,64.0,65.0,36.0,81.0,17.0,46.0,42.0,47.0,606.0,607.0,1.0,26.0
1500,11.0,1.0,23.0,22.0,0.0,16.0,69.0,15.0,46.0,10.0,4.0,5.0,18.0,44.0,33.0,8.0,17.0,9.0,19.0,30.0,40.0,2.0,21.0,36.0,77.0,52.0,28.0,29.0,129.0,24.0
1549,60.0,3.0,64.0,65.0,22.0,2.0,159.0,18.0,211.0,19.0,29.0,11.0,41.0,107.0,23.0,1.0,34.0,0.0,15.0,25.0,40.0,13.0,28.0,51.0,56.0,63.0,9.0,10.0,581.0,7.0
1598,14.0,0.0,16.0,15.0,17.0,30.0,1.0,36.0,104.0,19.0,11.0,69.0,13.0,76.0,61.0,2.0,10.0,3.0,22.0,23.0,47.0,60.0,37.0,53.0,52.0,46.0,4.0,5.0,100.0,7.0
1647,9.0,0.0,22.0,23.0,1.0,33.0,17.0,45.0,126.0,19.0,6.0,3.0,30.0,32.0,68.0,5.0,39.0,4.0,18.0,21.0,2.0,27.0,40.0,54.0,25.0,49.0,42.0,41.0,26.0,14.0
1696,218.0,9.0,820.0,819.0,0.0,20.0,2.0,201.0,46.0,6.0,56.0,18.0,7.0,26.0,527.0,12.0,5.0,14.0,32.0,40.0,4.0,8.0,16.0,28.0,41.0,23.0,53.0,54.0,50.0,11.0
1745,59.0,1.0,81.0,80.0,0.0,16.0,22.0,23.0,135.0,10.0,21.0,11.0,8.0,31.0,35.0,18.0,7.0,19.0,2.0,24.0,15.0,5.0,41.0,38.0,45.0,82.0,4.0,3.0,179.0,33.0
1794,13.0,0.0,25.0,24.0,1.0,19.0,12.0,34.0,33.0,5.0,21.0,58.0,39.0,29.0,63.0,3.0,38.0,2.0,4.0,20.0,11.0,6.0,37.0,28.0,64.0,65.0,22.0,23.0,128.0,8.0
1843,23.0,1.0,37.0,36.0,0.0,5.0,14.0,13.0,176.0,2.0,62.0,25.0,27.0,6.0,33.0,8.0,35.0,9.0,39.0,26.0,7.0,3.0,10.0,43.0,151.0,94.0,44.0,45.0,70.0,16.0
1892,60.0,31.0,39.0,38.0,0.0,2.0,8.0,14.0,53.0,37.0,18.0,96.0,116.0,41.0,30.0,6.0,112.0,5.0,26.0,1.0,114.0,19.0,230.0,10.0,40.0,25.0,279.0,280.0,73.0,11.0
1941,32.0,2.0,46.0,47.0,4.0,136.0,11.0,130.0,411.0,7.0,43.0,53.0,59.0,390.0,341.0,5.0,63.0,6.0,17.0,13.0,22.0,14.0,15.0,199.0,71.0,19.0,1.0,0.0,122.0,9.0
1990,0.0,10.0,3.0,2.0,4.0,1.0,35.0,7.0,42.0,6.0,21.0,38.0,51.0,37.0,14.0,8.0,44.0,9.0,57.0,17.0,244.0,15.0,18.0,92.0,48.0,19.0,52.0,53.0,5.0,11.0
2039,0.0,5.0,1.0,2.0,34.0,9.0,14.0,6.0,4.0,3.0,10.0,19.0,82.0,118.0,12.0,17.0,110.0,18.0,51.0,16.0,1307.0,64.0,32.0,125.0,40.0,23.0,8.0,7.0,11.0,29.0
2088,2.0,3.0,9.0,10.0,15.0,0.0,156.0,17.0,21.0,7.0,134.0,6.0,8.0,101.0,24.0,29.0,14.0,30.0,37.0,146.0,210.0,5.0,1.0,35.0,25.0,103.0,125.0,126.0,16.0,51.0
2137,0.0,3.0,1.0,2.0,76.0,11.0,90.0,4.0,104.0,6.0,47.0,12.0,130.0,73.0,5.0,9.0,143.0,10.0,68.0,18.0,200.0,8.0,25.0,71.0,33.0,17.0,94.0,95.0,7.0,14.0
2186,1.0,0.0,3.0,2.0,10.0,14.0,62.0,5.0,55.0,6.0,51.0,15.0,16.0,36.0,7.0,41.0,13.0,40.0,38.0,12.0,103.0,29.0,9.0,105.0,37.0,11.0,218.0,217.0,4.0,92.0
2235,0.0,9.0,3.0,2.0,36.0,17.0,109.0,4.0,10.0,13.0,37.0,65.0,38.0,162.0,12.0,7.0,40.0,8.0,28.0,60.0,23.0,25.0,1.0,123.0,271.0,18.0,5.0,6.0,20.0,15.0
2284,4.0,2.0,0.0,1.0,6.0,48.0,7.0,11.0,3.0,69.0,9.0,23.0,25.0,60.0,24.0,20.0,31.0,21.0,17.0,32.0,8.0,114.0,49.0,54.0,137.0,37.0,59.0,58.0,19.0,36.0
2333,1.0,15.0,7.0,8.0,0.0,16.0,299.0,4.0,58.0,24.0,68.0,27.0,50.0,62.0,17.0,6.0,63.0,5.0,39.0,20.0,79.0,308.0,30.0,44.0,53.0,35.0,40.0,41.0,9.0,12.0
2382,0.0,6.0,3.0,2.0,58.0,7.0,314.0,4.0,26.0,9.0,30.0,18.0,32.0,22.0,5.0,10.0,35.0,11.0,31.0,13.0,660.0,20.0,63.0,57.0,82.0,24.0,78.0,77.0,1.0,15.0
2431,3.0,0.0,8.0,7.0,12.0,2.0,25.0,4.0,35.0,14.0,216.0,127.0,9.0,17.0,5.0,62.0,15.0,63.0,16.0,30.0,4788.0,41.0,13.0,91.0,5487.0,105.0,67.0,68.0,6.0,64.0
2480,0.0,4.0,2.0,1.0,7.0,192.0,84.0,1076.0,129.0,6.0,19.0,5.0,43.0,65.0,1075.0,23.0,47.0,22.0,8.0,116.0,17.0,3.0,18.0,55.0,100.0,24.0,29.0,28.0,152.0,31.0
2529,0.0,4.0,2.0,1.0,17.0,30.0,38.0,11.0,107.0,20.0,8.0,5.0,21.0,34.0,12.0,65.0,25.0,64.0,22.0,67.0,9.0,23.0,48.0,49.0,32.0,97.0,7.0,6.0,26.0,100.0
2578,0.0,25.0,2.0,3.0,194.0,1.0,19.0,15.0,143.0,47.0,8.0,148.0,20.0,26.0,16.0,57.0,18.0,58.0,56.0,72.0,169.0,69.0,64.0,39.0,10.0,346.0,294.0,293.0,14.0,77.0
2627,2.0,0.0,3.0,4.0,7.0,21.0,8.0,10.0,41.0,31.0,1.0,14.0,6.0,24.0,11.0,13.0,5.0,12.0,46.0,87.0,34.0,36.0,35.0,58.0,56.0,44.0,22.0,23.0,52.0,18.0
2676,25.0,32.0,39.0,40.0,2.0,8.0,29.0,4.0,9.0,12.0,62.0,1.0,11.0,46.0,5.0,31.0,10.0,30.0,27.0,317.0,0.0,7.0,35.0,23.0,14.0,88.0,94.0,95.0,20.0,54.0
2725,4.0,3.0,6.0,7.0,21.0,0.0,89.0,93.0,35.0,8.0,16.0,19.0,11.0,23.0,92.0,57.0,10.0,56.0,39.0,41.0,33.0,9.0,24.0,46.0,13.0,134.0,2.0,1.0,25.0,82.0
2774,3.0,36.0,1.0,0.0,101.0,9.0,32.0,12.0,17.0,43.0,8.0,10.0,6.0,16.0,13.0,49.0,7.0,48.0,52.0,76.0,2.0,46.0,150.0,61.0,136.0,30.0,4.0,5.0,50.0,69.0
2823,3.0,10.0,4.0,5.0,18.0,14.0,335.0,8.0,88.0,0.0,6.0,1.0,9.0,15.0,7.0,21.0,2.0,20.0,13.0,75.0,45.0,16.0,39.0,25.0,23.0,59.0,28.0,27.0,24.0,43.0
2872,2.0,21.0,7.0,6.0,20.0,59.0,29.0,44.0,3.0,74.0,4.0,10.0,11.0,137.0,43.0,15.0,13.0,16.0,28.0,73.0,92.0,76.0,52.0,63.0,12.0,99.0,1.0,0.0,235.0,25.0
2921,0.0,6.0,8.0,7.0,3.0,12.0,52.0,17.0,4.0,9.0,34.0,10.0,13.0,5.0,18.0,47.0,23.0,46.0,16.0,51.0,42.0,27.0,11.0,57.0,65.0,73.0,1.0,2.0,22.0,48.0
2970,12.0,0.0,17.0,18.0,7.0,53.0,1.0,44.0,20.0,8.0,13.0,88.0,3.0,4.0,68.0,16.0,2.0,15.0,46.0,19.0,25.0,71.0,33.0,91.0,10.0,118.0,60.0,61.0,43.0,31.0
3019,1.0,0.0,3.0,2.0,28.0,52.0,12.0,13.0,19.0,11.0,9.0,55.0,67.0,8.0,20.0,25.0,76.0,24.0,14.0,23.0,40.0,10.0,38.0,133.0,18.0,82.0,104.0,105.0,168.0,46.0
3068,1.0,0.0,3.0,2.0,31.0,104.0,10.0,69.0,26.0,5.0,4.0,32.0,25.0,18.0,79.0,15.0,29.0,16.0,17.0,60.0,7.0,28.0,84.0,47.0,41.0,70.0,24.0,23.0,65.0,20.0
3117,0.0,4.0,1.0,2.0,3.0,25.0,23.0,69.0,26.0,7.0,18.0,11.0,20.0,13.0,126.0,9.0,24.0,8.0,51.0,21.0,17.0,16.0,12.0,77.0,37.0,53.0,54.0,55.0,180.0,27.0
3166,3.0,0.0,9.0,8.0,7.0,20.0,1.0,24.0,10.0,46.0,16.0,57.0,30.0,12.0,41.0,15.0,31.0,14.0,83.0,18.0,13.0,47.0,148.0,710.0,21.0,68.0,33.0,32.0,80.0,27.0
3215,16.0,0.0,7.0,8.0,21.0,11.0,1.0,114.0,91.0,4.0,12.0,44.0,17.0,18.0,255.0,14.0,26.0,15.0,24.0,40.0,3.0,23.0,63.0,52.0,152.0,87.0,32.0,33.0,41.0,30.0
3264,7.0,2.0,13.0,12.0,0.0,20.0,1.0,56.0,29.0,6.0,26.0,36.0,4.0,8.0,118.0,16.0,3.0,15.0,58.0,100.0,5.0,22.0,40.0,158.0,10.0,120.0,28.0,27.0,191.0,35.0
3313,3.0,14.0,5.0,4.0,0.0,41.0,15.0,88.0,293.0,10.0,26.0,389.0,73.0,24.0,154.0,11.0,77.0,12.0,83.0,43.0,8.0,44.0,37.0,50.0,19.0,85.0,6.0,7.0,952.0,22.0
3362,2.0,3.0,5.0,6.0,0.0,7.0,1.0,45.0,8.0,19.0,10.0,39.0,9.0,16.0,69.0,26.0,12.0,25.0,29.0,43.0,22.0,21.0,62.0,44.0,30.0,59.0,49.0,48.0,106.0,27.0
3411,1.0,0.0,3.0,2.0,24.0,35.0,4.0,126.0,20.0,5.0,19.0,165.0,7.0,6.0,234.0,14.0,9.0,13.0,45.0,15.0,52.0,37.0,33.0,125.0,40.0,48.0,11.0,12.0,88.0,16.0
3460,12.0,8.0,6.0,7.0,3.0,4.0,1.0,33.0,60.0,37.0,13.0,48.0,2.0,9.0,61.0,46.0,5.0,47.0,43.0,23.0,78.0,1634.0,255.0,39.0,113.0,16.0,212.0,213.0,14.0,84.0
3509,3.0,0.0,13.0,12.0,15.0,22.0,31.0,16.0,1.0,48.0,17.0,34.0,18.0,7.0,19.0,81.0,23.0,80.0,59.0,40.0,14.0,203.0,83.0,21.0,29.0,47.0,93.0,94.0,39.0,159.0
3558,3.0,23.0,8.0,9.0,10.0,6.0,11.0,19.0,29.0,44.0,24.0,18.0,82.0,43.0,31.0,33.0,129.0,34.0,96.0,69.0,39.0,433.0,204.0,60.0,53.0,30.0,12.0,13.0,8653.0,35.0
3607,16.0,4.0,19.0,18.0,3.0,13.0,0.0,5.0,10.0,62.0,15.0,8.0,2.0,17.0,11.0,189.0,1.0,188.0,50.0,151.0,41.0,79.0,75.0,26.0,7.0,57.0,34.0,33.0,56.0,488.0
3656,42.0,0.0,82.0,81.0,24.0,10.0,5.0,3.0,25.0,40.0,29.0,2.0,32.0,4.0,11.0,104.0,47.0,103.0,17.0,49.0,1.0,38.0,204.0,27.0,23.0,20.0,61.0,62.0,15.0,162.0
3705,19.0,0.0,44.0,43.0,1.0,10.0,77.0,12.0,61.0,31.0,5.0,16.0,4.0,7.0,24.0,85.0,8.0,86.0,46.0,81.0,20.0,59.0,88.0,6.0,32.0,18.0,39.0,38.0,184.0,152.0
3754,11.0,2.0,15.0,16.0,8.0,7.0,9.0,10.0,42.0,44.0,0.0,159.0,19.0,3.0,25.0,73.0,26.0,72.0,35.0,32.0,88.0,476.0,85.0,28.0,47.0,34.0,12.0,13.0,40.0,148.0
3803,2.0,0.0,4.0,5.0,70.0,13.0,8.0,19.0,62.0,46.0,7.0,56.0,9.0,3.0,36.0,121.0,14.0,122.0,55.0,15.0,34.0,43.0,71.0,27.0,16.0,26.0,98.0,99.0,22.0,176.0
3852,41.0,1.0,57.0,56.0,13.0,8.0,4.0,37.0,0.0,61.0,58.0,32.0,6.0,14.0,68.0,89.0,10.0,90.0,88.0,40.0,45.0,257.0,96.0,100.0,22.0,42.0,44.0,43.0,80.0,154.0
3901,10.0,0.0,14.0,15.0,43.0,9.0,19.0,2.0,16.0,51.0,39.0,29.0,20.0,8.0,5.0,273.0,34.0,274.0,26.0,55.0,3.0,67.0,121.0,22.0,13.0,24.0,56.0,57.0,28.0,677.0
3950,3.0,1.0,11.0,10.0,23.0,2.0,131.0,6.0,7.0,5.0,13.0,0.0,186.0,46.0,12.0,96.0,117.0,97.0,61.0,31.0,24.0,29.0,4.0,59.0,32.0,16.0,19.0,18.0,8.0,142.0
3999,7.0,3.0,10.0,9.0,0.0,5.0,483.0,75.0,19.0,8.0,35.0,4.0,26.0,22.0,145.0,59.0,20.0,60.0,13.0,18.0,15.0,25.0,54.0,28.0,24.0,39.0,1.0,2.0,37.0,120.0
4048,9.0,13.0,5.0,4.0,6.0,10.0,3.0,21.0,7.0,50.0,14.0,15.0,41.0,43.0,34.0,20.0,32.0,19.0,17.0,8.0,139.0,215.0,52.0,51.0,67.0,42.0,24.0,25.0,46.0,28.0
4097,1.0,0.0,3.0,4.0,24.0,5.0,80.0,11.0,6.0,13.0,29.0,72.0,12.0,8.0,21.0,47.0,9.0,46.0,25.0,10.0,39.0,36.0,26.0,44.0,52.0,27.0,109.0,108.0,2.0,59.0
4146,2.0,39.0,8.0,7.0,20.0,1.0,16.0,3.0,0.0,29.0,54.0,60.0,27.0,31.0,5.0,46.0,19.0,47.0,23.0,22.0,116.0,84.0,180.0,24.0,33.0,26.0,12.0,13.0,6.0,48.0
4195,2.0,1.0,3.0,4.0,42.0,7.0,126.0,9.0,26.0,12.0,237.0,6.0,64.0,17.0,14.0,51.0,44.0,52.0,89.0,11.0,29.0,0.0,8.0,72.0,35.0,69.0,97.0,98.0,5.0,92.0
4244,16.0,8.0,27.0,28.0,13.0,1.0,9.0,3.0,0.0,19.0,78.0,2.0,56.0,24.0,18.0,5.0,44.0,4.0,7.0,14.0,57.0,26.0,25.0,50.0,17.0,60.0,29.0,30.0,33.0,20.0
4293,40.0,23.0,85.0,84.0,16.0,1.0,6.0,18.0,2.0,10.0,101.0,30.0,27.0,26.0,32.0,28.0,21.0,29.0,92.0,50.0,3.0,9.0,12.0,20.0,22.0,24.0,252.0,251.0,0.0,42.0
4342,4.0,2.0,8.0,9.0,16.0,37.0,15.0,10.0,1.0,12.0,34.0,43.0,29.0,108.0,17.0,65.0,26.0,64.0,11.0,13.0,3.0,25.0,27.0,56.0,22.0,18.0,5.0,6.0,0.0,123.0
4391,3.0,1.0,6.0,7.0,2.0,15.0,52.0,19.0,0.0,35.0,147.0,9.0,20.0,25.0,27.0,66.0,12.0,65.0,30.0,18.0,11.0,21.0,8.0,31.0,4.0,48.0,38.0,37.0,14.0,104.0
4440,0.0,8.0,1.0,2.0,9.0,68.0,431.0,141.0,24.0,11.0,15.0,7.0,67.0,10.0,325.0,17.0,63.0,21.0,49.0,41.0,87.0,115.0,28.0,25.0,90.0,27.0,53.0,52.0,35.0,19.0
4489,0.0,8.0,2.0,3.0,7.0,13.0,173.0,76.0,17.0,14.0,6.0,20.0,48.0,19.0,124.0,142.0,61.0,145.0,44.0,83.0,73.0,12.0,25.0,16.0,71.0,49.0,11.0,10.0,235.0,144.0
4538,4.0,0.0,10.0,11.0,31.0,96.0,85.0,75.0,29.0,5.0,7.0,1.0,165.0,32.0,93.0,18.0,123.0,22.0,15.0,33.0,26.0,2.0,13.0,79.0,89.0,24.0,86.0,87.0,71.0,19.0
4587,0.0,3.0,2.0,1.0,14.0,27.0,80.0,11.0,31.0,25.0,7.0,17.0,66.0,30.0,15.0,153.0,49.0,152.0,44.0,33.0,36.0,16.0,43.0,18.0,158.0,42.0,8.0,9.0,48.0,151.0
4636,4.0,27.0,1.0,2.0,64.0,8.0,6.0,56.0,0.0,36.0,22.0,11.0,71.0,35.0,101.0,58.0,66.0,62.0,219.0,91.0,7.0,186.0,89.0,32.0,96.0,12.0,95.0,94.0,25.0,60.0
4685,1.0,0.0,3.0,4.0,8.0,26.0,52.0,7.0,13.0,21.0,20.0,5.0,72.0,9.0,15.0,54.0,83.0,55.0,108.0,34.0,60.0,37.0,27.0,23.0,45.0,50.0,144.0,143.0,29.0,57.0
4734,0.0,3.0,2.0,1.0,6.0,176.0,333.0,96.0,9.0,7.0,100.0,19.0,67.0,16.0,198.0,51.0,72.0,50.0,52.0,41.0,86.0,22.0,11.0,21.0,181.0,14.0,4.0,5.0,74.0,47.0
4783,2.0,0.0,12.0,13.0,4.0,64.0,105.0,30.0,37.0,16.0,40.0,62.0,32.0,6.0,54.0,42.0,21.0,45.0,48.0,29.0,51.0,35.0,11.0,31.0,36.0,28.0,8.0,7.0,59.0,43.0
4832,3.0,4.0,5.0,6.0,40.0,28.0,148.0,33.0,8.0,31.0,12.0,41.0,47.0,13.0,52.0,98.0,51.0,100.0,25.0,19.0,159.0,7.0,14.0,16.0,34.0,109.0,43.0,44.0,59.0,101.0
4881,1.0,0.0,3.0,2.0,54.0,23.0,45.0,20.0,4.0,67.0,19.0,168.0,118.0,7.0,41.0,49.0,116.0,50.0,31.0,29.0,109.0,61.0,179.0,10.0,56.0,24.0,36.0,35.0,57.0,52.0
