,hsa-miR-130a,hsa-let-7c,hsa-miR-497,hsa-miR-1302,hsa-miR-222,hsa-miR-9,hsa-miR-218,hsa-miR-548p,hsa-miR-99a,hsa-miR-34a,hsa-miR-342-3p,hsa-miR-582-5p,hsa-miR-450a,hsa-miR-22,hsa-miR-631,hsa-miR-214,hsa-miR-135b,hsa-miR-508-3p,hsa-miR-195,hsa-miR-1252,hsa-miR-96,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-545,hsa-miR-128,ebv-miR-BART12,hsa-let-7e,hsa-miR-149,hsa-miR-1307,hsa-miR-1261,hsa-miR-129-3p
14,0.0,1.0,16.0,14.0,4.0,22.0,6.0,83.0,3.0,81.0,5.0,58.0,2.0,9.0,8.0,32.0,7.0,13.0,254.0,26.0,23.0,36.0,33.0,20.0,12.0,27.0,29.0,86.0,131.0,134.0
63,0.0,2.0,1.0,19.0,6.0,10.0,3.0,318.0,4.0,12.0,86.0,149.0,75.0,71.0,97.0,108.0,5.0,335.0,16.0,72.0,27.0,22.0,7.0,32.0,158.0,14.0,8.0,20.0,35.0,33.0
112,0.0,33.0,6.0,4.0,2.0,11.0,5.0,214.0,12.0,28.0,1.0,21.0,19.0,24.0,15.0,16.0,3.0,72.0,82.0,17.0,22.0,78.0,18.0,27.0,329.0,63.0,20.0,8.0,10.0,46.0
161,0.0,10.0,2.0,229.0,4.0,18.0,45.0,151.0,20.0,16.0,7.0,6.0,14.0,108.0,1.0,5.0,31.0,131.0,11.0,145.0,38.0,15.0,59.0,13.0,73.0,3.0,8.0,9.0,42.0,22.0
210,0.0,12.0,1.0,13.0,7.0,3.0,21.0,30.0,31.0,48.0,18.0,57.0,4.0,240.0,117.0,192.0,15.0,5.0,203.0,66.0,383.0,16.0,2.0,19.0,53.0,63.0,10.0,11.0,58.0,17.0
259,0.0,8.0,4.0,2.0,3.0,563.0,6.0,16.0,7.0,23.0,68.0,12.0,11.0,272.0,9.0,45.0,63.0,15.0,80.0,61.0,57.0,10.0,1.0,299.0,240.0,24.0,33.0,5.0,228.0,31.0
308,0.0,274.0,7.0,11.0,8.0,1.0,5.0,29.0,33.0,42.0,12.0,23.0,13.0,194.0,119.0,41.0,31.0,124.0,16.0,116.0,6.0,174.0,2.0,92.0,57.0,4.0,15.0,30.0,98.0,107.0
357,0.0,1.0,19.0,8.0,9.0,52.0,2.0,3.0,13.0,27.0,41.0,113.0,30.0,285.0,12.0,29.0,62.0,17.0,137.0,6.0,7.0,10.0,25.0,303.0,193.0,4.0,5.0,16.0,64.0,42.0
406,0.0,16.0,6.0,177.0,12.0,17.0,15.0,214.0,47.0,27.0,32.0,4.0,7.0,529.0,2.0,358.0,5.0,263.0,38.0,1.0,368.0,3.0,29.0,86.0,8.0,362.0,70.0,28.0,44.0,26.0
455,0.0,8.0,1.0,12.0,23.0,14.0,4.0,155.0,3.0,20.0,41.0,25.0,27.0,195.0,6.0,87.0,30.0,69.0,33.0,107.0,53.0,2.0,153.0,99.0,42.0,48.0,67.0,32.0,131.0,159.0
504,7.0,10.0,8.0,1.0,209.0,16.0,21.0,5.0,173.0,11.0,0.0,145.0,4.0,95.0,33.0,195.0,6.0,401.0,91.0,2.0,323.0,92.0,53.0,97.0,17.0,326.0,346.0,3.0,14.0,63.0
553,1.0,34.0,2.0,5.0,64.0,21.0,37.0,4.0,40.0,123.0,7.0,16.0,0.0,39.0,268.0,179.0,43.0,29.0,13.0,3.0,82.0,246.0,96.0,20.0,73.0,67.0,601.0,62.0,44.0,225.0
602,0.0,4.0,13.0,1.0,9.0,36.0,26.0,3.0,2.0,18.0,17.0,5.0,14.0,25.0,39.0,10.0,12.0,29.0,91.0,30.0,50.0,43.0,53.0,57.0,79.0,69.0,496.0,22.0,304.0,310.0
651,0.0,9.0,23.0,16.0,25.0,1.0,126.0,2.0,8.0,18.0,3.0,85.0,4.0,22.0,502.0,13.0,54.0,195.0,212.0,20.0,137.0,156.0,27.0,57.0,47.0,40.0,346.0,56.0,24.0,7.0
700,0.0,77.0,14.0,6.0,3.0,12.0,31.0,1.0,4.0,36.0,18.0,11.0,2.0,5.0,58.0,39.0,263.0,9.0,175.0,8.0,50.0,27.0,101.0,29.0,24.0,26.0,537.0,13.0,25.0,72.0
749,0.0,2.0,11.0,12.0,13.0,5.0,36.0,1.0,9.0,6.0,33.0,127.0,7.0,60.0,20.0,111.0,14.0,84.0,247.0,51.0,106.0,44.0,79.0,101.0,260.0,15.0,369.0,78.0,59.0,72.0
798,0.0,1.0,24.0,8.0,18.0,20.0,225.0,6.0,4.0,16.0,88.0,10.0,87.0,15.0,67.0,19.0,243.0,78.0,443.0,223.0,3.0,17.0,159.0,32.0,31.0,433.0,270.0,148.0,95.0,23.0
847,0.0,19.0,27.0,2.0,5.0,4.0,13.0,6.0,29.0,37.0,14.0,41.0,1.0,33.0,159.0,223.0,389.0,18.0,36.0,25.0,30.0,9.0,53.0,107.0,16.0,287.0,462.0,76.0,308.0,167.0
896,0.0,1.0,25.0,2.0,3.0,4.0,84.0,34.0,9.0,299.0,21.0,155.0,17.0,12.0,98.0,149.0,99.0,264.0,8.0,19.0,11.0,82.0,18.0,28.0,6.0,143.0,80.0,234.0,125.0,349.0
945,0.0,34.0,45.0,14.0,12.0,42.0,19.0,2.0,1.0,7.0,50.0,82.0,44.0,185.0,25.0,8.0,30.0,4.0,190.0,169.0,6.0,9.0,39.0,20.0,153.0,144.0,244.0,10.0,37.0,57.0
994,0.0,7.0,12.0,18.0,17.0,294.0,9.0,5.0,2.0,68.0,1.0,45.0,44.0,198.0,139.0,54.0,51.0,30.0,26.0,8.0,58.0,131.0,11.0,4.0,25.0,19.0,6.0,34.0,475.0,122.0
1043,0.0,3.0,1.0,13.0,5.0,39.0,16.0,15.0,8.0,48.0,10.0,71.0,7.0,68.0,50.0,6.0,19.0,2.0,177.0,57.0,17.0,67.0,41.0,18.0,407.0,46.0,4.0,64.0,26.0,167.0
1092,0.0,6.0,2.0,24.0,9.0,19.0,14.0,10.0,413.0,25.0,20.0,43.0,63.0,15.0,18.0,64.0,47.0,5.0,139.0,22.0,35.0,517.0,21.0,7.0,325.0,16.0,1.0,40.0,36.0,11.0
1141,0.0,3.0,77.0,9.0,15.0,160.0,47.0,72.0,66.0,6.0,1.0,2.0,23.0,8.0,20.0,107.0,4.0,22.0,49.0,7.0,31.0,131.0,29.0,21.0,18.0,10.0,5.0,37.0,162.0,19.0
1190,2.0,0.0,9.0,5.0,68.0,66.0,31.0,11.0,34.0,1.0,22.0,91.0,25.0,158.0,95.0,15.0,8.0,16.0,36.0,3.0,20.0,491.0,6.0,52.0,219.0,7.0,4.0,59.0,26.0,10.0
1239,1.0,5.0,3.0,9.0,4.0,107.0,27.0,6.0,113.0,14.0,141.0,51.0,22.0,137.0,15.0,2.0,7.0,175.0,0.0,46.0,298.0,53.0,39.0,10.0,100.0,153.0,12.0,89.0,37.0,132.0
1288,0.0,1.0,4.0,73.0,8.0,52.0,93.0,94.0,111.0,17.0,106.0,2.0,25.0,21.0,29.0,31.0,5.0,192.0,16.0,225.0,132.0,621.0,47.0,3.0,92.0,158.0,121.0,114.0,76.0,95.0
1337,0.0,12.0,1.0,5.0,11.0,51.0,7.0,10.0,14.0,29.0,4.0,6.0,112.0,227.0,100.0,8.0,31.0,104.0,120.0,118.0,3.0,39.0,28.0,26.0,46.0,210.0,157.0,24.0,2.0,42.0
1386,2.0,6.0,25.0,24.0,1.0,389.0,35.0,14.0,3.0,44.0,15.0,49.0,219.0,8.0,65.0,5.0,7.0,62.0,321.0,20.0,22.0,102.0,113.0,0.0,33.0,51.0,30.0,38.0,64.0,223.0
1435,0.0,6.0,25.0,1.0,8.0,78.0,178.0,57.0,27.0,50.0,192.0,12.0,270.0,22.0,90.0,5.0,13.0,29.0,129.0,460.0,10.0,103.0,124.0,4.0,14.0,281.0,289.0,64.0,21.0,73.0
1484,10.0,0.0,3.0,4.0,11.0,13.0,25.0,137.0,8.0,2.0,252.0,9.0,589.0,1.0,21.0,77.0,15.0,16.0,41.0,58.0,104.0,347.0,208.0,28.0,17.0,23.0,47.0,624.0,39.0,348.0
1533,0.0,7.0,12.0,8.0,2.0,4.0,5.0,10.0,16.0,1.0,9.0,38.0,42.0,32.0,6.0,368.0,26.0,3.0,23.0,48.0,43.0,18.0,47.0,165.0,219.0,70.0,36.0,124.0,84.0,37.0
1582,0.0,5.0,3.0,1.0,7.0,12.0,9.0,45.0,4.0,8.0,60.0,6.0,32.0,36.0,10.0,124.0,2.0,20.0,194.0,376.0,23.0,16.0,224.0,55.0,175.0,40.0,25.0,62.0,516.0,53.0
1631,2.0,4.0,6.0,1.0,12.0,11.0,10.0,0.0,15.0,29.0,84.0,8.0,100.0,39.0,3.0,16.0,19.0,5.0,24.0,226.0,27.0,110.0,60.0,159.0,57.0,200.0,189.0,279.0,21.0,331.0
1680,0.0,45.0,9.0,2.0,5.0,17.0,11.0,6.0,62.0,7.0,73.0,8.0,14.0,26.0,1.0,41.0,49.0,92.0,13.0,4.0,145.0,54.0,563.0,243.0,518.0,509.0,302.0,124.0,332.0,84.0
1729,1.0,2.0,6.0,0.0,79.0,15.0,25.0,3.0,17.0,5.0,18.0,36.0,28.0,11.0,12.0,76.0,7.0,4.0,50.0,184.0,69.0,14.0,46.0,38.0,95.0,366.0,10.0,129.0,16.0,486.0
1778,1.0,3.0,6.0,7.0,33.0,21.0,20.0,0.0,4.0,2.0,17.0,5.0,63.0,43.0,13.0,11.0,16.0,12.0,25.0,27.0,8.0,9.0,277.0,59.0,124.0,353.0,257.0,253.0,61.0,125.0
1827,8.0,0.0,9.0,1.0,23.0,3.0,20.0,14.0,18.0,12.0,49.0,2.0,63.0,10.0,17.0,34.0,6.0,5.0,16.0,35.0,79.0,4.0,15.0,54.0,558.0,206.0,427.0,120.0,91.0,98.0
1876,6.0,2.0,4.0,1.0,20.0,22.0,3.0,157.0,0.0,14.0,64.0,5.0,58.0,10.0,17.0,18.0,69.0,54.0,81.0,33.0,354.0,66.0,269.0,68.0,292.0,65.0,35.0,82.0,80.0,232.0
1925,0.0,10.0,1.0,4.0,45.0,15.0,7.0,14.0,6.0,3.0,2.0,46.0,99.0,17.0,8.0,18.0,48.0,31.0,9.0,47.0,36.0,27.0,434.0,196.0,297.0,390.0,25.0,368.0,84.0,365.0
1974,0.0,1.0,26.0,15.0,2.0,33.0,17.0,9.0,50.0,6.0,10.0,4.0,21.0,13.0,103.0,11.0,111.0,3.0,25.0,8.0,153.0,30.0,77.0,264.0,45.0,51.0,42.0,123.0,486.0,74.0
2023,0.0,4.0,5.0,3.0,2.0,98.0,7.0,24.0,32.0,80.0,12.0,202.0,29.0,55.0,153.0,10.0,399.0,1.0,83.0,17.0,13.0,26.0,8.0,58.0,70.0,36.0,9.0,71.0,88.0,57.0
2072,0.0,1.0,44.0,20.0,11.0,70.0,16.0,37.0,45.0,32.0,17.0,103.0,5.0,81.0,38.0,10.0,64.0,2.0,59.0,174.0,172.0,24.0,3.0,36.0,26.0,358.0,27.0,121.0,39.0,166.0
2121,2.0,4.0,7.0,9.0,17.0,44.0,30.0,3.0,66.0,104.0,12.0,8.0,5.0,68.0,53.0,16.0,20.0,1.0,36.0,69.0,33.0,64.0,260.0,138.0,310.0,22.0,140.0,11.0,289.0,152.0
2170,1.0,0.0,7.0,15.0,67.0,73.0,4.0,23.0,85.0,17.0,9.0,145.0,61.0,154.0,55.0,11.0,30.0,3.0,59.0,43.0,155.0,137.0,8.0,28.0,19.0,558.0,35.0,170.0,42.0,104.0
2219,0.0,1.0,3.0,10.0,23.0,35.0,11.0,20.0,15.0,4.0,12.0,7.0,308.0,222.0,289.0,18.0,2.0,56.0,208.0,266.0,17.0,42.0,108.0,14.0,21.0,370.0,8.0,5.0,182.0,39.0
2268,2.0,5.0,8.0,0.0,76.0,3.0,1.0,10.0,206.0,64.0,6.0,7.0,50.0,17.0,157.0,29.0,181.0,19.0,130.0,33.0,14.0,59.0,95.0,87.0,37.0,9.0,4.0,13.0,530.0,32.0
2317,0.0,1.0,27.0,7.0,20.0,37.0,3.0,72.0,31.0,50.0,4.0,13.0,6.0,22.0,21.0,19.0,108.0,2.0,78.0,239.0,17.0,54.0,60.0,133.0,9.0,102.0,8.0,14.0,86.0,23.0
2366,0.0,6.0,2.0,3.0,1.0,55.0,5.0,4.0,51.0,70.0,20.0,15.0,50.0,25.0,91.0,8.0,87.0,121.0,585.0,29.0,59.0,24.0,162.0,18.0,563.0,9.0,17.0,26.0,53.0,19.0
2415,0.0,1.0,28.0,7.0,19.0,56.0,3.0,22.0,100.0,60.0,13.0,15.0,25.0,32.0,40.0,8.0,76.0,2.0,39.0,387.0,198.0,48.0,475.0,66.0,24.0,10.0,4.0,30.0,118.0,305.0
2464,7.0,19.0,10.0,20.0,38.0,80.0,21.0,11.0,39.0,347.0,71.0,23.0,30.0,2.0,447.0,6.0,177.0,145.0,109.0,50.0,56.0,46.0,49.0,0.0,161.0,14.0,69.0,62.0,58.0,77.0
2513,0.0,5.0,4.0,33.0,11.0,412.0,6.0,7.0,25.0,8.0,23.0,1.0,44.0,9.0,54.0,55.0,59.0,10.0,15.0,17.0,226.0,116.0,72.0,50.0,124.0,3.0,107.0,67.0,432.0,64.0
2562,0.0,1.0,3.0,10.0,432.0,200.0,8.0,109.0,7.0,119.0,15.0,14.0,52.0,2.0,28.0,6.0,5.0,24.0,91.0,26.0,18.0,129.0,74.0,12.0,298.0,20.0,196.0,315.0,19.0,125.0
2611,0.0,2.0,9.0,6.0,7.0,352.0,3.0,30.0,22.0,264.0,45.0,24.0,15.0,1.0,5.0,16.0,35.0,244.0,18.0,60.0,33.0,46.0,4.0,11.0,41.0,26.0,50.0,164.0,28.0,13.0
2660,0.0,17.0,3.0,1.0,10.0,53.0,11.0,135.0,9.0,211.0,198.0,62.0,31.0,33.0,5.0,14.0,27.0,162.0,141.0,7.0,46.0,349.0,110.0,2.0,212.0,70.0,182.0,78.0,109.0,363.0
2709,0.0,2.0,7.0,1.0,16.0,217.0,5.0,31.0,35.0,8.0,22.0,47.0,171.0,18.0,46.0,36.0,11.0,56.0,183.0,10.0,45.0,600.0,9.0,4.0,99.0,20.0,125.0,14.0,38.0,150.0
2758,0.0,5.0,2.0,1.0,179.0,101.0,97.0,28.0,9.0,81.0,93.0,3.0,162.0,10.0,16.0,4.0,41.0,67.0,23.0,7.0,215.0,236.0,33.0,8.0,70.0,52.0,73.0,12.0,6.0,107.0
2807,0.0,4.0,6.0,3.0,293.0,191.0,8.0,2.0,13.0,43.0,82.0,20.0,10.0,62.0,21.0,9.0,40.0,112.0,92.0,1.0,190.0,591.0,137.0,47.0,284.0,32.0,149.0,303.0,5.0,200.0
2856,0.0,1.0,3.0,2.0,17.0,97.0,34.0,4.0,20.0,56.0,384.0,27.0,15.0,12.0,89.0,9.0,18.0,118.0,25.0,11.0,24.0,71.0,6.0,462.0,136.0,171.0,37.0,22.0,46.0,469.0
2905,0.0,2.0,10.0,1.0,144.0,104.0,8.0,9.0,15.0,30.0,196.0,18.0,43.0,24.0,38.0,11.0,28.0,55.0,61.0,4.0,131.0,557.0,35.0,22.0,138.0,5.0,115.0,109.0,3.0,139.0
2954,0.0,2.0,9.0,1.0,166.0,5.0,3.0,25.0,24.0,4.0,38.0,40.0,42.0,12.0,47.0,15.0,116.0,28.0,137.0,6.0,30.0,45.0,98.0,26.0,13.0,34.0,167.0,7.0,35.0,244.0
3003,0.0,14.0,2.0,1.0,458.0,3.0,31.0,11.0,12.0,8.0,63.0,266.0,4.0,5.0,32.0,23.0,28.0,20.0,21.0,146.0,10.0,41.0,482.0,27.0,25.0,24.0,273.0,6.0,318.0,45.0
3052,0.0,5.0,1.0,8.0,266.0,4.0,12.0,37.0,35.0,41.0,50.0,122.0,31.0,49.0,91.0,76.0,28.0,10.0,465.0,146.0,7.0,34.0,98.0,3.0,22.0,15.0,9.0,24.0,38.0,378.0
3101,1.0,0.0,3.0,12.0,55.0,5.0,6.0,477.0,8.0,58.0,57.0,19.0,9.0,38.0,88.0,203.0,17.0,51.0,39.0,21.0,11.0,23.0,77.0,4.0,26.0,34.0,143.0,2.0,125.0,66.0
3150,3.0,0.0,2.0,7.0,21.0,22.0,5.0,9.0,1.0,37.0,64.0,11.0,4.0,19.0,28.0,14.0,34.0,263.0,92.0,45.0,13.0,20.0,55.0,18.0,16.0,12.0,302.0,31.0,33.0,15.0
3199,0.0,2.0,1.0,47.0,31.0,48.0,4.0,69.0,3.0,8.0,34.0,6.0,7.0,168.0,154.0,130.0,37.0,109.0,14.0,368.0,11.0,162.0,17.0,88.0,16.0,66.0,117.0,12.0,261.0,92.0
3248,14.0,4.0,0.0,6.0,9.0,1.0,7.0,30.0,41.0,13.0,103.0,115.0,10.0,111.0,47.0,157.0,39.0,273.0,22.0,15.0,25.0,32.0,128.0,27.0,3.0,57.0,146.0,43.0,63.0,19.0
3297,0.0,1.0,2.0,20.0,85.0,6.0,12.0,192.0,14.0,7.0,9.0,32.0,3.0,11.0,4.0,8.0,257.0,390.0,25.0,16.0,256.0,237.0,35.0,43.0,24.0,34.0,17.0,21.0,180.0,170.0
3346,2.0,5.0,3.0,16.0,32.0,4.0,43.0,12.0,14.0,8.0,1.0,22.0,20.0,49.0,26.0,383.0,289.0,19.0,114.0,13.0,7.0,31.0,78.0,36.0,21.0,68.0,27.0,6.0,11.0,18.0
3395,0.0,1.0,4.0,2.0,26.0,16.0,12.0,17.0,60.0,8.0,13.0,133.0,18.0,3.0,7.0,19.0,52.0,136.0,34.0,5.0,35.0,53.0,213.0,25.0,62.0,6.0,22.0,89.0,43.0,186.0
3444,0.0,1.0,5.0,2.0,4.0,3.0,417.0,14.0,39.0,9.0,53.0,68.0,7.0,6.0,17.0,66.0,45.0,86.0,386.0,28.0,305.0,108.0,11.0,415.0,54.0,15.0,136.0,58.0,158.0,33.0
3493,0.0,3.0,4.0,36.0,5.0,2.0,8.0,14.0,64.0,47.0,76.0,83.0,1.0,10.0,15.0,21.0,100.0,11.0,164.0,186.0,229.0,19.0,132.0,58.0,34.0,133.0,128.0,290.0,91.0,7.0
3542,1.0,0.0,6.0,2.0,53.0,3.0,32.0,13.0,79.0,37.0,10.0,381.0,14.0,5.0,4.0,209.0,219.0,20.0,24.0,301.0,126.0,76.0,21.0,295.0,7.0,62.0,46.0,26.0,97.0,9.0
3591,0.0,2.0,4.0,11.0,3.0,5.0,13.0,1.0,9.0,8.0,42.0,97.0,6.0,29.0,24.0,17.0,260.0,411.0,53.0,10.0,122.0,19.0,39.0,34.0,32.0,86.0,40.0,544.0,160.0,183.0
3640,1.0,8.0,0.0,54.0,9.0,3.0,24.0,180.0,170.0,6.0,189.0,629.0,5.0,59.0,4.0,128.0,11.0,200.0,37.0,18.0,53.0,2.0,192.0,113.0,7.0,148.0,371.0,57.0,117.0,14.0
3689,2.0,6.0,1.0,19.0,17.0,13.0,61.0,24.0,71.0,7.0,3.0,33.0,0.0,31.0,5.0,457.0,15.0,396.0,23.0,81.0,220.0,26.0,287.0,102.0,66.0,371.0,63.0,110.0,35.0,32.0
3738,5.0,1.0,0.0,24.0,4.0,11.0,220.0,63.0,8.0,6.0,7.0,109.0,2.0,3.0,122.0,10.0,75.0,19.0,26.0,82.0,27.0,9.0,31.0,66.0,16.0,15.0,126.0,42.0,225.0,12.0
3787,1.0,0.0,3.0,84.0,2.0,4.0,558.0,175.0,17.0,11.0,9.0,26.0,7.0,67.0,101.0,129.0,112.0,85.0,5.0,75.0,74.0,6.0,88.0,397.0,155.0,28.0,185.0,43.0,188.0,13.0
3836,0.0,1.0,2.0,79.0,4.0,10.0,14.0,32.0,30.0,5.0,24.0,9.0,6.0,98.0,8.0,73.0,36.0,7.0,27.0,124.0,12.0,31.0,23.0,110.0,152.0,3.0,137.0,176.0,109.0,107.0
3885,0.0,2.0,10.0,268.0,4.0,15.0,16.0,9.0,26.0,27.0,24.0,11.0,3.0,5.0,1.0,28.0,12.0,20.0,14.0,343.0,13.0,6.0,22.0,19.0,547.0,8.0,324.0,23.0,69.0,40.0
3934,0.0,1.0,2.0,10.0,6.0,4.0,11.0,16.0,9.0,35.0,3.0,40.0,316.0,26.0,77.0,5.0,28.0,39.0,102.0,190.0,43.0,15.0,160.0,119.0,8.0,12.0,23.0,201.0,475.0,55.0
3983,1.0,0.0,9.0,11.0,7.0,5.0,30.0,26.0,6.0,40.0,2.0,61.0,191.0,60.0,20.0,23.0,10.0,75.0,3.0,63.0,16.0,18.0,4.0,21.0,68.0,12.0,14.0,24.0,74.0,329.0
4032,0.0,1.0,5.0,30.0,4.0,3.0,132.0,22.0,16.0,13.0,6.0,451.0,92.0,10.0,28.0,175.0,8.0,141.0,2.0,103.0,9.0,23.0,26.0,31.0,18.0,32.0,17.0,333.0,236.0,75.0
4081,0.0,45.0,8.0,123.0,9.0,29.0,30.0,1.0,7.0,17.0,10.0,20.0,122.0,66.0,93.0,59.0,88.0,169.0,56.0,48.0,3.0,2.0,42.0,33.0,79.0,92.0,4.0,106.0,41.0,6.0
4130,0.0,9.0,12.0,38.0,6.0,14.0,75.0,8.0,1.0,3.0,72.0,567.0,327.0,34.0,86.0,59.0,7.0,109.0,78.0,386.0,104.0,284.0,11.0,55.0,2.0,108.0,22.0,57.0,85.0,37.0
4179,0.0,106.0,1.0,14.0,17.0,2.0,295.0,7.0,97.0,37.0,10.0,103.0,114.0,9.0,23.0,304.0,61.0,151.0,43.0,173.0,27.0,3.0,33.0,8.0,28.0,86.0,19.0,110.0,494.0,15.0
4228,2.0,4.0,1.0,12.0,15.0,11.0,14.0,9.0,21.0,23.0,73.0,66.0,224.0,32.0,119.0,25.0,35.0,56.0,26.0,75.0,0.0,20.0,17.0,82.0,36.0,13.0,101.0,188.0,199.0,105.0
4277,0.0,145.0,11.0,37.0,44.0,2.0,9.0,1.0,27.0,19.0,28.0,18.0,30.0,182.0,461.0,8.0,97.0,284.0,12.0,17.0,105.0,3.0,196.0,610.0,190.0,57.0,34.0,351.0,41.0,64.0
4326,0.0,4.0,7.0,104.0,15.0,28.0,41.0,6.0,12.0,14.0,182.0,16.0,385.0,5.0,9.0,1.0,64.0,68.0,94.0,102.0,61.0,21.0,42.0,153.0,17.0,34.0,29.0,175.0,403.0,20.0
4375,2.0,4.0,0.0,13.0,5.0,8.0,82.0,1.0,18.0,12.0,37.0,295.0,153.0,79.0,80.0,32.0,63.0,166.0,19.0,48.0,9.0,25.0,14.0,204.0,65.0,193.0,27.0,502.0,28.0,17.0
4424,17.0,2.0,23.0,15.0,14.0,3.0,9.0,19.0,4.0,41.0,10.0,12.0,31.0,7.0,1.0,215.0,77.0,8.0,18.0,65.0,349.0,284.0,0.0,57.0,13.0,180.0,16.0,163.0,104.0,21.0
4473,2.0,3.0,4.0,19.0,7.0,1.0,371.0,22.0,0.0,6.0,27.0,24.0,13.0,49.0,10.0,179.0,551.0,8.0,5.0,362.0,328.0,30.0,73.0,75.0,18.0,542.0,140.0,315.0,23.0,11.0
4522,1.0,0.0,3.0,9.0,10.0,4.0,19.0,197.0,6.0,14.0,12.0,73.0,430.0,21.0,5.0,154.0,2.0,7.0,30.0,242.0,117.0,476.0,26.0,102.0,47.0,504.0,95.0,22.0,64.0,23.0
4571,3.0,2.0,1.0,8.0,6.0,0.0,24.0,77.0,49.0,11.0,54.0,267.0,7.0,4.0,5.0,56.0,296.0,13.0,19.0,10.0,27.0,125.0,140.0,128.0,17.0,118.0,83.0,349.0,154.0,23.0
4620,5.0,1.0,2.0,416.0,4.0,13.0,22.0,58.0,12.0,101.0,8.0,19.0,52.0,16.0,0.0,15.0,3.0,17.0,41.0,36.0,298.0,375.0,541.0,137.0,91.0,232.0,84.0,176.0,9.0,124.0
4669,4.0,63.0,0.0,34.0,9.0,5.0,8.0,68.0,139.0,10.0,14.0,6.0,105.0,7.0,3.0,331.0,13.0,46.0,24.0,25.0,124.0,266.0,11.0,52.0,15.0,69.0,233.0,356.0,48.0,17.0
4718,15.0,1.0,2.0,12.0,30.0,0.0,319.0,263.0,73.0,32.0,11.0,13.0,19.0,4.0,16.0,40.0,9.0,10.0,86.0,6.0,340.0,78.0,17.0,3.0,14.0,18.0,22.0,85.0,81.0,253.0
4767,0.0,6.0,20.0,29.0,120.0,1.0,8.0,143.0,85.0,110.0,18.0,202.0,27.0,15.0,16.0,9.0,103.0,21.0,10.0,3.0,50.0,175.0,48.0,54.0,40.0,330.0,61.0,122.0,14.0,24.0
4816,0.0,1.0,4.0,33.0,11.0,9.0,277.0,45.0,13.0,30.0,64.0,3.0,23.0,42.0,6.0,93.0,7.0,2.0,19.0,27.0,392.0,94.0,126.0,53.0,145.0,594.0,98.0,595.0,22.0,10.0
4865,0.0,29.0,2.0,8.0,3.0,1.0,46.0,187.0,55.0,9.0,10.0,14.0,42.0,274.0,74.0,96.0,5.0,98.0,7.0,12.0,145.0,61.0,408.0,19.0,127.0,519.0,84.0,212.0,48.0,30.0
