,hsa-miR-205,hsa-miR-216a,hsa-miR-615-3p,hsa-miR-934,hsa-miR-200a,hsa-miR-889,hsa-miR-548a-3p,hsa-miR-432,hsa-miR-30c,hsa-miR-135b,hsa-miR-517b,hsa-miR-510,hsa-miR-219-2-3p,hsa-miR-1266,hsv1-miR-H8,hsa-miR-196b,hsa-miR-296-5p,hsa-miR-662,hsa-miR-24,hsa-miR-9,hsa-miR-631,hsa-miR-497,hsa-miR-222,hsa-miR-944,hsa-miR-31,hsa-miR-147b,hsa-miR-448,hsa-miR-99a,hsa-miR-1279,hsa-miR-153
14,1.0,0.0,81.0,71.0,85.0,576.0,8.0,72.0,94.0,354.0,10.0,51.0,69.0,50.0,5.0,3.0,106.0,13.0,243.0,2.0,63.0,58.0,112.0,55.0,7.0,9.0,324.0,57.0,20.0,48.0
63,0.0,48.0,6.0,129.0,20.0,227.0,7.0,56.0,42.0,422.0,89.0,170.0,29.0,12.0,14.0,5.0,1.0,2.0,10.0,58.0,43.0,187.0,44.0,26.0,21.0,45.0,84.0,251.0,335.0,375.0
112,0.0,6.0,133.0,5.0,7.0,294.0,14.0,333.0,80.0,19.0,10.0,222.0,22.0,4.0,66.0,3.0,61.0,1.0,57.0,213.0,9.0,132.0,149.0,460.0,33.0,50.0,159.0,21.0,15.0,27.0
161,0.0,28.0,79.0,149.0,34.0,8.0,13.0,155.0,44.0,25.0,31.0,10.0,114.0,1.0,32.0,3.0,575.0,9.0,6.0,36.0,231.0,316.0,24.0,2.0,14.0,5.0,76.0,206.0,139.0,256.0
210,0.0,6.0,3.0,162.0,89.0,1.0,191.0,20.0,164.0,24.0,4.0,47.0,28.0,5.0,8.0,9.0,125.0,17.0,23.0,50.0,18.0,160.0,13.0,21.0,56.0,15.0,63.0,27.0,108.0,134.0
259,0.0,2.0,28.0,259.0,68.0,80.0,192.0,74.0,14.0,21.0,10.0,40.0,42.0,5.0,408.0,12.0,4.0,41.0,1.0,69.0,66.0,437.0,29.0,3.0,83.0,37.0,70.0,90.0,155.0,495.0
308,0.0,2.0,11.0,50.0,1.0,86.0,89.0,68.0,303.0,5.0,22.0,374.0,337.0,26.0,80.0,6.0,3.0,154.0,153.0,34.0,40.0,338.0,213.0,35.0,52.0,15.0,66.0,46.0,21.0,42.0
357,0.0,37.0,13.0,15.0,9.0,36.0,139.0,39.0,181.0,34.0,4.0,6.0,30.0,5.0,135.0,17.0,7.0,14.0,11.0,103.0,27.0,85.0,161.0,1.0,104.0,50.0,205.0,114.0,355.0,256.0
406,0.0,10.0,12.0,1.0,37.0,27.0,205.0,5.0,19.0,51.0,49.0,28.0,43.0,3.0,88.0,588.0,2.0,99.0,175.0,148.0,63.0,64.0,202.0,32.0,6.0,38.0,115.0,21.0,168.0,167.0
455,0.0,9.0,26.0,32.0,12.0,291.0,364.0,4.0,10.0,56.0,6.0,2.0,1.0,8.0,42.0,22.0,7.0,35.0,21.0,124.0,28.0,25.0,48.0,3.0,24.0,77.0,61.0,18.0,127.0,257.0
504,0.0,17.0,10.0,3.0,219.0,2.0,12.0,5.0,20.0,77.0,393.0,11.0,196.0,16.0,4.0,85.0,147.0,1.0,8.0,30.0,6.0,7.0,15.0,21.0,311.0,44.0,24.0,402.0,38.0,36.0
553,0.0,21.0,49.0,16.0,194.0,1.0,5.0,8.0,25.0,134.0,6.0,13.0,56.0,22.0,10.0,404.0,66.0,2.0,14.0,71.0,39.0,116.0,89.0,232.0,269.0,103.0,3.0,151.0,62.0,63.0
602,3.0,1.0,10.0,166.0,45.0,0.0,6.0,11.0,96.0,68.0,67.0,14.0,256.0,35.0,13.0,564.0,8.0,7.0,88.0,114.0,5.0,133.0,26.0,78.0,144.0,42.0,2.0,32.0,9.0,50.0
651,0.0,5.0,38.0,7.0,27.0,236.0,42.0,8.0,6.0,58.0,23.0,21.0,209.0,44.0,11.0,492.0,60.0,25.0,171.0,130.0,91.0,82.0,286.0,66.0,112.0,29.0,9.0,207.0,323.0,1.0
700,0.0,31.0,2.0,11.0,6.0,5.0,48.0,8.0,14.0,374.0,29.0,3.0,615.0,10.0,75.0,376.0,227.0,312.0,210.0,30.0,27.0,266.0,220.0,60.0,52.0,73.0,1.0,67.0,115.0,172.0
749,0.0,1.0,6.0,4.0,28.0,5.0,35.0,19.0,78.0,123.0,41.0,2.0,29.0,15.0,17.0,103.0,102.0,25.0,322.0,232.0,7.0,33.0,119.0,12.0,233.0,147.0,8.0,184.0,20.0,112.0
798,0.0,2.0,23.0,7.0,63.0,5.0,210.0,4.0,16.0,9.0,6.0,1.0,100.0,33.0,3.0,42.0,10.0,22.0,160.0,14.0,29.0,91.0,39.0,17.0,317.0,20.0,127.0,37.0,61.0,46.0
847,0.0,1.0,23.0,14.0,2.0,12.0,33.0,7.0,13.0,319.0,25.0,59.0,115.0,77.0,4.0,5.0,262.0,72.0,95.0,11.0,17.0,39.0,326.0,140.0,272.0,52.0,111.0,9.0,139.0,73.0
896,0.0,1.0,7.0,9.0,19.0,16.0,167.0,36.0,11.0,15.0,6.0,93.0,38.0,5.0,2.0,13.0,325.0,40.0,155.0,133.0,174.0,63.0,219.0,26.0,79.0,57.0,91.0,31.0,58.0,195.0
945,0.0,1.0,4.0,6.0,12.0,3.0,22.0,5.0,9.0,187.0,79.0,10.0,93.0,302.0,7.0,19.0,50.0,2.0,52.0,228.0,139.0,14.0,77.0,30.0,97.0,47.0,17.0,109.0,39.0,326.0
994,2.0,1.0,107.0,6.0,10.0,165.0,0.0,40.0,87.0,4.0,364.0,13.0,189.0,154.0,254.0,57.0,14.0,62.0,20.0,37.0,221.0,41.0,204.0,96.0,155.0,70.0,35.0,5.0,22.0,16.0
1043,2.0,6.0,78.0,106.0,32.0,74.0,1.0,0.0,21.0,3.0,90.0,26.0,69.0,178.0,472.0,376.0,33.0,43.0,29.0,148.0,127.0,8.0,30.0,13.0,464.0,35.0,233.0,25.0,51.0,250.0
1092,14.0,29.0,1.0,81.0,384.0,169.0,5.0,103.0,197.0,27.0,0.0,32.0,11.0,64.0,468.0,95.0,7.0,2.0,23.0,49.0,80.0,46.0,131.0,116.0,65.0,262.0,476.0,43.0,25.0,124.0
1141,7.0,2.0,3.0,13.0,71.0,14.0,1.0,10.0,396.0,461.0,22.0,625.0,97.0,52.0,100.0,12.0,35.0,33.0,11.0,4.0,9.0,17.0,50.0,338.0,297.0,320.0,29.0,73.0,122.0,43.0
1190,0.0,79.0,7.0,9.0,138.0,90.0,1.0,29.0,39.0,92.0,32.0,255.0,339.0,25.0,541.0,191.0,21.0,248.0,12.0,19.0,87.0,2.0,80.0,551.0,24.0,135.0,10.0,8.0,31.0,152.0
1239,2.0,1.0,9.0,10.0,616.0,11.0,0.0,21.0,49.0,378.0,98.0,142.0,245.0,100.0,131.0,31.0,204.0,22.0,5.0,29.0,226.0,3.0,33.0,6.0,154.0,71.0,28.0,56.0,4.0,101.0
1288,13.0,8.0,3.0,56.0,22.0,4.0,7.0,14.0,90.0,59.0,20.0,98.0,17.0,353.0,37.0,114.0,396.0,6.0,15.0,9.0,591.0,12.0,178.0,10.0,86.0,568.0,218.0,11.0,1.0,57.0
1337,0.0,32.0,54.0,10.0,613.0,11.0,1.0,6.0,5.0,3.0,4.0,30.0,38.0,249.0,126.0,22.0,90.0,280.0,75.0,2.0,12.0,188.0,17.0,15.0,7.0,70.0,259.0,584.0,53.0,319.0
1386,7.0,4.0,48.0,34.0,85.0,136.0,1.0,9.0,25.0,3.0,5.0,8.0,177.0,106.0,450.0,14.0,81.0,24.0,6.0,2.0,157.0,28.0,185.0,123.0,128.0,66.0,17.0,148.0,23.0,252.0
1435,3.0,8.0,44.0,7.0,4.0,24.0,1.0,58.0,33.0,22.0,101.0,11.0,50.0,116.0,77.0,2.0,67.0,139.0,129.0,12.0,9.0,28.0,104.0,10.0,63.0,18.0,147.0,68.0,21.0,178.0
1484,0.0,13.0,127.0,3.0,70.0,48.0,1.0,10.0,19.0,7.0,2.0,11.0,9.0,5.0,12.0,23.0,39.0,77.0,15.0,184.0,53.0,269.0,98.0,102.0,6.0,274.0,88.0,22.0,4.0,507.0
1533,0.0,2.0,10.0,1.0,119.0,11.0,140.0,83.0,12.0,7.0,5.0,3.0,31.0,4.0,277.0,6.0,124.0,35.0,15.0,51.0,50.0,211.0,190.0,8.0,41.0,92.0,75.0,22.0,32.0,14.0
1582,0.0,1.0,33.0,6.0,4.0,182.0,22.0,56.0,9.0,5.0,10.0,19.0,13.0,8.0,529.0,16.0,233.0,65.0,60.0,159.0,36.0,68.0,127.0,7.0,40.0,89.0,44.0,95.0,440.0,249.0
1631,0.0,3.0,47.0,1.0,14.0,73.0,2.0,17.0,90.0,7.0,5.0,6.0,85.0,27.0,174.0,18.0,382.0,118.0,89.0,542.0,20.0,58.0,10.0,26.0,63.0,57.0,8.0,216.0,56.0,9.0
1680,0.0,15.0,1.0,2.0,9.0,123.0,26.0,184.0,11.0,41.0,5.0,8.0,12.0,7.0,240.0,103.0,64.0,453.0,6.0,252.0,32.0,459.0,16.0,51.0,14.0,217.0,407.0,71.0,122.0,110.0
1729,0.0,1.0,4.0,3.0,6.0,25.0,298.0,19.0,39.0,5.0,27.0,2.0,9.0,8.0,20.0,411.0,60.0,394.0,28.0,243.0,23.0,59.0,169.0,21.0,58.0,184.0,37.0,71.0,302.0,14.0
1778,0.0,1.0,13.0,5.0,2.0,23.0,14.0,251.0,61.0,6.0,52.0,12.0,10.0,20.0,28.0,8.0,90.0,600.0,95.0,121.0,65.0,123.0,33.0,18.0,425.0,184.0,133.0,76.0,83.0,47.0
1827,0.0,3.0,1.0,5.0,48.0,10.0,7.0,153.0,18.0,4.0,36.0,40.0,30.0,2.0,26.0,180.0,46.0,19.0,20.0,201.0,34.0,35.0,37.0,149.0,193.0,96.0,115.0,23.0,84.0,186.0
1876,1.0,0.0,2.0,6.0,11.0,91.0,13.0,440.0,3.0,4.0,27.0,17.0,10.0,18.0,24.0,31.0,60.0,473.0,25.0,112.0,90.0,356.0,144.0,15.0,128.0,75.0,228.0,19.0,129.0,311.0
1925,0.0,2.0,6.0,7.0,4.0,97.0,8.0,76.0,34.0,10.0,147.0,3.0,9.0,26.0,33.0,57.0,73.0,37.0,28.0,250.0,31.0,44.0,16.0,113.0,5.0,291.0,27.0,22.0,419.0,47.0
1974,0.0,7.0,6.0,10.0,2.0,1.0,190.0,4.0,17.0,47.0,31.0,22.0,49.0,122.0,67.0,53.0,20.0,55.0,15.0,14.0,272.0,245.0,157.0,9.0,25.0,46.0,87.0,173.0,27.0,16.0
2023,0.0,3.0,17.0,24.0,9.0,7.0,106.0,75.0,56.0,25.0,13.0,6.0,29.0,5.0,31.0,495.0,19.0,15.0,491.0,12.0,71.0,28.0,14.0,2.0,74.0,68.0,110.0,41.0,23.0,22.0
2072,0.0,1.0,6.0,178.0,32.0,2.0,13.0,12.0,23.0,11.0,4.0,43.0,56.0,5.0,98.0,444.0,263.0,58.0,20.0,8.0,446.0,33.0,152.0,7.0,396.0,78.0,133.0,417.0,261.0,3.0
2121,0.0,2.0,20.0,106.0,8.0,3.0,454.0,1.0,42.0,40.0,5.0,51.0,53.0,114.0,146.0,65.0,50.0,17.0,90.0,22.0,104.0,33.0,19.0,389.0,507.0,25.0,229.0,191.0,12.0,7.0
2170,0.0,17.0,3.0,33.0,15.0,10.0,100.0,4.0,12.0,16.0,2.0,5.0,23.0,158.0,171.0,206.0,14.0,18.0,11.0,67.0,235.0,25.0,6.0,153.0,142.0,8.0,28.0,128.0,73.0,79.0
2219,5.0,28.0,8.0,178.0,38.0,1.0,76.0,3.0,6.0,153.0,4.0,19.0,51.0,67.0,402.0,358.0,0.0,10.0,29.0,2.0,92.0,46.0,17.0,13.0,515.0,34.0,20.0,463.0,16.0,491.0
2268,0.0,12.0,14.0,6.0,10.0,4.0,121.0,5.0,3.0,7.0,16.0,214.0,9.0,111.0,21.0,429.0,23.0,58.0,15.0,20.0,28.0,1.0,68.0,13.0,39.0,27.0,78.0,8.0,2.0,17.0
2317,0.0,1.0,5.0,320.0,16.0,2.0,51.0,12.0,3.0,11.0,4.0,33.0,21.0,62.0,7.0,45.0,8.0,18.0,76.0,91.0,289.0,126.0,49.0,58.0,69.0,56.0,31.0,29.0,577.0,27.0
2366,5.0,0.0,22.0,175.0,7.0,2.0,21.0,16.0,19.0,3.0,31.0,1.0,522.0,238.0,140.0,111.0,35.0,17.0,4.0,37.0,444.0,18.0,70.0,137.0,41.0,172.0,97.0,141.0,65.0,53.0
2415,1.0,0.0,41.0,47.0,114.0,19.0,7.0,27.0,32.0,3.0,70.0,5.0,6.0,33.0,16.0,371.0,26.0,65.0,14.0,12.0,11.0,58.0,102.0,4.0,42.0,240.0,31.0,18.0,92.0,455.0
2464,7.0,0.0,24.0,103.0,223.0,15.0,40.0,123.0,382.0,18.0,29.0,107.0,268.0,12.0,6.0,288.0,19.0,44.0,88.0,521.0,520.0,1.0,5.0,3.0,235.0,33.0,4.0,23.0,280.0,21.0
2513,1.0,0.0,6.0,5.0,28.0,438.0,295.0,81.0,59.0,61.0,3.0,15.0,130.0,307.0,92.0,4.0,37.0,243.0,51.0,9.0,258.0,18.0,23.0,42.0,70.0,201.0,12.0,17.0,31.0,19.0
2562,0.0,3.0,52.0,2.0,11.0,92.0,22.0,161.0,19.0,24.0,14.0,365.0,10.0,13.0,35.0,95.0,7.0,204.0,25.0,6.0,49.0,17.0,88.0,60.0,1.0,20.0,26.0,4.0,236.0,33.0
2611,0.0,3.0,4.0,6.0,13.0,504.0,1.0,176.0,302.0,7.0,9.0,607.0,2.0,102.0,30.0,19.0,25.0,170.0,14.0,55.0,393.0,17.0,163.0,152.0,142.0,214.0,20.0,68.0,96.0,151.0
2660,4.0,1.0,9.0,0.0,24.0,165.0,11.0,249.0,72.0,44.0,10.0,41.0,17.0,52.0,5.0,19.0,16.0,122.0,28.0,2.0,80.0,6.0,113.0,20.0,209.0,8.0,7.0,15.0,90.0,25.0
2709,0.0,12.0,3.0,1.0,28.0,21.0,11.0,46.0,18.0,89.0,66.0,137.0,4.0,33.0,30.0,23.0,2.0,27.0,20.0,42.0,8.0,6.0,49.0,124.0,157.0,17.0,5.0,50.0,81.0,29.0
2758,2.0,1.0,6.0,7.0,13.0,164.0,16.0,12.0,315.0,62.0,10.0,199.0,8.0,136.0,11.0,40.0,46.0,149.0,193.0,70.0,144.0,0.0,133.0,45.0,47.0,19.0,5.0,9.0,34.0,90.0
2807,10.0,2.0,1.0,7.0,8.0,95.0,79.0,14.0,65.0,21.0,35.0,575.0,12.0,30.0,6.0,19.0,5.0,111.0,56.0,45.0,3.0,0.0,232.0,67.0,41.0,20.0,4.0,288.0,121.0,55.0
2856,20.0,5.0,32.0,26.0,3.0,31.0,0.0,51.0,175.0,69.0,78.0,291.0,64.0,183.0,44.0,73.0,289.0,299.0,27.0,9.0,17.0,2.0,40.0,188.0,37.0,55.0,28.0,60.0,21.0,179.0
2905,0.0,3.0,1.0,35.0,2.0,23.0,5.0,11.0,9.0,88.0,26.0,264.0,109.0,6.0,15.0,201.0,18.0,68.0,52.0,337.0,30.0,4.0,20.0,324.0,367.0,10.0,8.0,485.0,63.0,12.0
2954,1.0,0.0,218.0,85.0,45.0,11.0,4.0,77.0,6.0,8.0,13.0,64.0,38.0,14.0,5.0,23.0,170.0,9.0,260.0,377.0,586.0,92.0,7.0,155.0,2.0,162.0,65.0,16.0,161.0,12.0
3003,0.0,6.0,91.0,1.0,86.0,21.0,4.0,108.0,15.0,35.0,19.0,10.0,3.0,158.0,8.0,24.0,29.0,209.0,100.0,208.0,88.0,287.0,17.0,7.0,23.0,42.0,18.0,62.0,93.0,5.0
3052,1.0,0.0,34.0,5.0,46.0,174.0,24.0,150.0,9.0,2.0,13.0,8.0,30.0,14.0,12.0,144.0,11.0,18.0,318.0,57.0,7.0,21.0,4.0,17.0,3.0,127.0,39.0,20.0,329.0,22.0
3101,0.0,1.0,5.0,58.0,22.0,29.0,3.0,8.0,137.0,4.0,2.0,10.0,6.0,228.0,12.0,32.0,24.0,170.0,303.0,120.0,19.0,35.0,17.0,15.0,428.0,45.0,9.0,64.0,193.0,67.0
3150,0.0,2.0,14.0,9.0,3.0,325.0,25.0,141.0,38.0,6.0,183.0,26.0,4.0,520.0,12.0,1.0,187.0,29.0,482.0,19.0,503.0,45.0,22.0,115.0,168.0,555.0,10.0,17.0,376.0,205.0
3199,0.0,1.0,14.0,5.0,49.0,34.0,7.0,239.0,10.0,15.0,117.0,65.0,11.0,280.0,3.0,8.0,458.0,17.0,98.0,19.0,68.0,37.0,4.0,70.0,42.0,109.0,18.0,9.0,177.0,407.0
3248,7.0,0.0,58.0,8.0,14.0,20.0,10.0,215.0,64.0,54.0,39.0,59.0,5.0,23.0,49.0,12.0,374.0,42.0,325.0,4.0,101.0,130.0,53.0,16.0,1.0,9.0,207.0,25.0,43.0,51.0
3297,1.0,0.0,11.0,87.0,66.0,40.0,19.0,13.0,125.0,46.0,12.0,235.0,2.0,8.0,107.0,360.0,116.0,23.0,405.0,111.0,78.0,15.0,4.0,18.0,101.0,91.0,31.0,57.0,163.0,197.0
3346,6.0,0.0,13.0,98.0,25.0,170.0,3.0,35.0,7.0,12.0,24.0,195.0,4.0,70.0,1.0,14.0,112.0,123.0,587.0,2.0,40.0,60.0,27.0,101.0,9.0,111.0,28.0,10.0,109.0,160.0
3395,0.0,58.0,2.0,10.0,11.0,211.0,163.0,5.0,3.0,53.0,12.0,388.0,4.0,117.0,19.0,15.0,322.0,311.0,173.0,16.0,85.0,1.0,6.0,139.0,17.0,44.0,216.0,187.0,55.0,545.0
3444,0.0,4.0,36.0,6.0,1.0,11.0,37.0,24.0,17.0,114.0,15.0,2.0,8.0,230.0,5.0,35.0,70.0,43.0,100.0,20.0,38.0,51.0,42.0,92.0,74.0,315.0,216.0,147.0,96.0,27.0
3493,0.0,1.0,9.0,7.0,93.0,5.0,33.0,266.0,14.0,21.0,40.0,79.0,10.0,23.0,2.0,35.0,8.0,209.0,52.0,27.0,3.0,202.0,118.0,51.0,6.0,34.0,12.0,42.0,306.0,43.0
3542,10.0,3.0,9.0,223.0,30.0,8.0,35.0,2.0,20.0,48.0,133.0,13.0,65.0,47.0,15.0,43.0,130.0,7.0,64.0,21.0,37.0,109.0,94.0,185.0,42.0,6.0,301.0,74.0,55.0,50.0
3591,12.0,18.0,3.0,43.0,87.0,16.0,20.0,8.0,45.0,227.0,150.0,111.0,216.0,0.0,74.0,206.0,110.0,207.0,97.0,132.0,190.0,201.0,57.0,343.0,218.0,44.0,70.0,77.0,40.0,27.0
3640,0.0,7.0,214.0,357.0,12.0,35.0,5.0,143.0,2.0,17.0,37.0,34.0,1.0,104.0,3.0,32.0,58.0,131.0,11.0,97.0,132.0,53.0,98.0,150.0,8.0,29.0,42.0,173.0,56.0,21.0
3689,0.0,1.0,275.0,11.0,188.0,21.0,5.0,86.0,15.0,2.0,9.0,32.0,19.0,7.0,6.0,35.0,100.0,81.0,139.0,132.0,65.0,49.0,28.0,24.0,31.0,66.0,612.0,342.0,70.0,14.0
3738,0.0,2.0,64.0,49.0,11.0,7.0,6.0,39.0,5.0,16.0,36.0,18.0,13.0,23.0,10.0,152.0,95.0,79.0,3.0,29.0,61.0,85.0,81.0,390.0,15.0,45.0,146.0,189.0,28.0,4.0
3787,0.0,1.0,15.0,38.0,122.0,14.0,6.0,172.0,16.0,33.0,2.0,17.0,10.0,8.0,157.0,389.0,27.0,45.0,32.0,21.0,26.0,104.0,12.0,66.0,37.0,47.0,100.0,23.0,177.0,83.0
3836,0.0,1.0,179.0,30.0,41.0,31.0,7.0,9.0,321.0,6.0,2.0,119.0,35.0,87.0,517.0,3.0,63.0,102.0,122.0,150.0,76.0,29.0,33.0,456.0,12.0,4.0,117.0,186.0,47.0,11.0
3885,0.0,45.0,19.0,28.0,20.0,11.0,6.0,40.0,57.0,32.0,531.0,48.0,60.0,8.0,23.0,42.0,29.0,52.0,2.0,221.0,1.0,496.0,101.0,154.0,68.0,27.0,94.0,199.0,5.0,59.0
3934,0.0,4.0,20.0,60.0,18.0,39.0,27.0,21.0,70.0,2.0,6.0,607.0,545.0,51.0,94.0,33.0,7.0,12.0,34.0,320.0,154.0,45.0,5.0,46.0,353.0,389.0,24.0,249.0,420.0,9.0
3983,0.0,6.0,28.0,24.0,46.0,3.0,10.0,1.0,14.0,22.0,17.0,5.0,11.0,30.0,108.0,8.0,35.0,2.0,12.0,34.0,158.0,71.0,37.0,45.0,15.0,118.0,56.0,101.0,140.0,52.0
4032,0.0,8.0,4.0,139.0,6.0,2.0,83.0,12.0,39.0,11.0,19.0,22.0,14.0,43.0,3.0,17.0,13.0,48.0,51.0,29.0,90.0,135.0,62.0,68.0,74.0,152.0,99.0,197.0,457.0,199.0
4081,0.0,14.0,32.0,44.0,16.0,17.0,26.0,5.0,12.0,2.0,396.0,40.0,9.0,45.0,79.0,3.0,22.0,8.0,11.0,15.0,90.0,255.0,54.0,106.0,76.0,464.0,238.0,187.0,53.0,47.0
4130,0.0,1.0,5.0,6.0,34.0,13.0,439.0,2.0,47.0,59.0,319.0,266.0,49.0,26.0,9.0,24.0,82.0,183.0,10.0,126.0,91.0,41.0,66.0,40.0,16.0,484.0,35.0,58.0,107.0,74.0
4179,0.0,2.0,8.0,26.0,4.0,612.0,27.0,1.0,18.0,39.0,127.0,12.0,3.0,146.0,34.0,109.0,150.0,129.0,80.0,46.0,50.0,17.0,30.0,293.0,15.0,135.0,440.0,97.0,261.0,181.0
4228,0.0,14.0,6.0,1.0,10.0,26.0,59.0,2.0,21.0,12.0,522.0,23.0,3.0,335.0,36.0,429.0,44.0,148.0,95.0,32.0,75.0,8.0,119.0,197.0,83.0,274.0,143.0,46.0,191.0,137.0
4277,1.0,0.0,5.0,13.0,32.0,93.0,11.0,2.0,17.0,18.0,90.0,618.0,3.0,105.0,464.0,299.0,19.0,14.0,177.0,65.0,28.0,64.0,41.0,370.0,95.0,97.0,249.0,264.0,23.0,174.0
4326,1.0,9.0,69.0,8.0,22.0,385.0,93.0,0.0,10.0,2.0,306.0,162.0,5.0,16.0,112.0,26.0,113.0,53.0,4.0,97.0,230.0,12.0,13.0,67.0,19.0,234.0,261.0,123.0,37.0,119.0
4375,5.0,153.0,7.0,11.0,4.0,18.0,89.0,0.0,80.0,52.0,360.0,23.0,74.0,9.0,12.0,1.0,16.0,529.0,179.0,2.0,163.0,26.0,65.0,243.0,19.0,129.0,245.0,151.0,337.0,90.0
4424,0.0,24.0,8.0,14.0,5.0,3.0,126.0,29.0,4.0,184.0,51.0,18.0,7.0,38.0,59.0,70.0,26.0,27.0,13.0,49.0,1.0,160.0,114.0,155.0,52.0,37.0,6.0,53.0,12.0,25.0
4473,0.0,2.0,12.0,1.0,4.0,7.0,47.0,122.0,29.0,15.0,92.0,8.0,384.0,53.0,120.0,39.0,21.0,3.0,42.0,19.0,9.0,119.0,226.0,211.0,37.0,14.0,22.0,16.0,6.0,5.0
4522,0.0,7.0,2.0,9.0,1.0,4.0,88.0,13.0,40.0,41.0,391.0,68.0,441.0,6.0,12.0,59.0,5.0,305.0,17.0,198.0,3.0,119.0,161.0,111.0,74.0,76.0,122.0,10.0,125.0,11.0
4571,0.0,1.0,7.0,24.0,6.0,22.0,103.0,128.0,144.0,183.0,257.0,4.0,52.0,56.0,68.0,81.0,5.0,46.0,14.0,64.0,2.0,8.0,215.0,23.0,9.0,146.0,130.0,63.0,17.0,185.0
4620,1.0,3.0,0.0,14.0,7.0,9.0,84.0,379.0,109.0,40.0,13.0,154.0,141.0,24.0,152.0,47.0,4.0,194.0,68.0,15.0,2.0,298.0,301.0,86.0,75.0,22.0,11.0,36.0,54.0,83.0
4669,0.0,3.0,50.0,13.0,132.0,47.0,34.0,23.0,20.0,104.0,94.0,623.0,10.0,142.0,144.0,18.0,294.0,2.0,8.0,156.0,1.0,110.0,150.0,16.0,141.0,38.0,163.0,89.0,6.0,5.0
4718,0.0,6.0,2.0,17.0,61.0,3.0,618.0,96.0,288.0,54.0,259.0,221.0,94.0,100.0,67.0,73.0,5.0,215.0,354.0,19.0,1.0,45.0,7.0,36.0,24.0,195.0,11.0,31.0,8.0,368.0
4767,0.0,2.0,1.0,4.0,8.0,6.0,272.0,77.0,19.0,323.0,138.0,162.0,84.0,21.0,5.0,245.0,17.0,10.0,206.0,240.0,3.0,93.0,9.0,88.0,213.0,115.0,45.0,378.0,29.0,146.0
4816,2.0,1.0,0.0,15.0,31.0,30.0,3.0,11.0,572.0,218.0,392.0,27.0,23.0,389.0,78.0,24.0,52.0,37.0,5.0,21.0,8.0,55.0,4.0,215.0,16.0,202.0,29.0,331.0,58.0,171.0
4865,0.0,2.0,6.0,5.0,10.0,93.0,13.0,23.0,48.0,287.0,111.0,8.0,220.0,16.0,62.0,7.0,36.0,78.0,61.0,129.0,3.0,456.0,1.0,205.0,4.0,43.0,57.0,50.0,56.0,536.0
