,hsa-miR-630,hsa-miR-584,hsa-miR-181c,hsa-miR-608,hsa-miR-627,hsa-miR-339-5p,hsa-miR-24,hsa-miR-301b,hsa-miR-338-5p,hsa-miR-103,hsa-miR-2276,hsa-miR-494,hsa-miR-1825,hsa-miR-616,hsa-miR-1204,hsa-miR-155,ebv-miR-BART7,hsa-miR-564,hsa-miR-563,hsa-miR-592,hsv1-miR-H8,hsa-miR-329,hsa-miR-1277,hsa-miR-2052,hsa-miR-448,hsa-miR-15b,hsa-miR-1231,hsa-miR-423-5p,hsa-miR-137,hsa-miR-126
14,12.0,63.0,8.0,71.0,1.0,386.0,24.0,3.0,201.0,218.0,7.0,214.0,2.0,359.0,280.0,87.0,105.0,21.0,4.0,66.0,302.0,16.0,286.0,99.0,116.0,6.0,5.0,235.0,92.0,160.0
63,1.0,3.0,0.0,481.0,86.0,436.0,10.0,228.0,88.0,20.0,2.0,75.0,4.0,81.0,576.0,45.0,450.0,43.0,5.0,55.0,265.0,115.0,72.0,123.0,80.0,289.0,611.0,66.0,8.0,580.0
112,168.0,433.0,27.0,3.0,7.0,22.0,15.0,2.0,11.0,138.0,161.0,45.0,6.0,192.0,264.0,9.0,104.0,564.0,1.0,21.0,165.0,44.0,283.0,235.0,512.0,4.0,182.0,36.0,46.0,594.0
161,1.0,50.0,29.0,44.0,0.0,14.0,31.0,32.0,158.0,202.0,67.0,623.0,5.0,249.0,62.0,45.0,338.0,120.0,223.0,59.0,41.0,74.0,89.0,69.0,75.0,106.0,25.0,178.0,547.0,354.0
210,15.0,10.0,14.0,19.0,43.0,35.0,1.0,129.0,60.0,2.0,4.0,192.0,22.0,7.0,466.0,5.0,184.0,525.0,17.0,46.0,90.0,44.0,194.0,20.0,16.0,52.0,391.0,333.0,185.0,168.0
259,239.0,3.0,4.0,197.0,80.0,316.0,16.0,2.0,94.0,0.0,104.0,154.0,9.0,28.0,82.0,10.0,165.0,535.0,11.0,12.0,149.0,478.0,13.0,207.0,172.0,1.0,173.0,151.0,403.0,578.0
308,275.0,51.0,77.0,23.0,71.0,484.0,172.0,4.0,56.0,14.0,1.0,164.0,9.0,3.0,180.0,2.0,78.0,253.0,99.0,285.0,576.0,72.0,17.0,508.0,214.0,20.0,10.0,246.0,108.0,21.0
357,1.0,2.0,38.0,4.0,12.0,104.0,40.0,70.0,20.0,7.0,277.0,207.0,457.0,9.0,320.0,0.0,6.0,10.0,33.0,554.0,226.0,279.0,555.0,90.0,17.0,5.0,105.0,107.0,15.0,64.0
406,302.0,0.0,39.0,286.0,5.0,14.0,27.0,519.0,7.0,2.0,1.0,356.0,107.0,48.0,272.0,72.0,46.0,10.0,95.0,71.0,147.0,626.0,25.0,617.0,21.0,256.0,236.0,12.0,268.0,98.0
455,27.0,0.0,34.0,42.0,37.0,89.0,168.0,295.0,8.0,16.0,3.0,164.0,4.0,54.0,74.0,6.0,46.0,52.0,363.0,437.0,483.0,9.0,57.0,355.0,102.0,115.0,14.0,501.0,478.0,1.0
504,53.0,303.0,456.0,304.0,39.0,78.0,0.0,364.0,127.0,532.0,245.0,317.0,138.0,606.0,627.0,358.0,96.0,60.0,430.0,248.0,3.0,11.0,164.0,98.0,175.0,208.0,76.0,326.0,94.0,585.0
553,257.0,15.0,54.0,80.0,235.0,48.0,92.0,112.0,132.0,59.0,413.0,75.0,34.0,36.0,27.0,199.0,580.0,4.0,239.0,21.0,19.0,170.0,117.0,17.0,173.0,3.0,72.0,133.0,0.0,564.0
602,10.0,33.0,11.0,142.0,0.0,112.0,37.0,131.0,189.0,510.0,43.0,28.0,127.0,175.0,376.0,15.0,415.0,113.0,562.0,381.0,16.0,164.0,216.0,129.0,119.0,30.0,75.0,93.0,19.0,40.0
651,28.0,10.0,43.0,9.0,24.0,4.0,183.0,11.0,38.0,239.0,171.0,26.0,6.0,22.0,61.0,95.0,29.0,121.0,110.0,452.0,8.0,107.0,486.0,62.0,86.0,119.0,1.0,5.0,35.0,103.0
700,11.0,20.0,33.0,176.0,3.0,92.0,108.0,493.0,4.0,10.0,255.0,103.0,50.0,472.0,114.0,40.0,49.0,6.0,443.0,182.0,19.0,613.0,619.0,104.0,267.0,5.0,442.0,117.0,25.0,154.0
749,14.0,40.0,38.0,0.0,36.0,238.0,23.0,560.0,21.0,242.0,62.0,91.0,172.0,49.0,48.0,157.0,149.0,30.0,288.0,211.0,19.0,66.0,420.0,329.0,82.0,226.0,13.0,393.0,5.0,20.0
798,7.0,73.0,6.0,50.0,486.0,20.0,27.0,175.0,45.0,24.0,242.0,1.0,23.0,440.0,22.0,10.0,250.0,295.0,0.0,60.0,147.0,16.0,445.0,235.0,213.0,5.0,57.0,408.0,21.0,367.0
847,46.0,9.0,128.0,301.0,5.0,26.0,32.0,173.0,523.0,10.0,183.0,8.0,235.0,53.0,98.0,255.0,105.0,7.0,125.0,62.0,96.0,145.0,602.0,408.0,6.0,129.0,277.0,71.0,209.0,211.0
896,186.0,22.0,5.0,128.0,36.0,25.0,13.0,108.0,94.0,121.0,272.0,133.0,56.0,202.0,75.0,120.0,370.0,78.0,61.0,447.0,4.0,51.0,35.0,150.0,16.0,143.0,488.0,21.0,63.0,24.0
945,174.0,9.0,5.0,192.0,22.0,11.0,15.0,82.0,0.0,26.0,450.0,1.0,232.0,3.0,10.0,399.0,178.0,36.0,24.0,385.0,16.0,384.0,128.0,40.0,609.0,19.0,282.0,47.0,70.0,69.0
994,5.0,10.0,196.0,57.0,142.0,24.0,68.0,336.0,16.0,7.0,384.0,357.0,304.0,538.0,2.0,82.0,18.0,143.0,21.0,54.0,364.0,76.0,117.0,429.0,293.0,110.0,403.0,432.0,34.0,8.0
1043,178.0,4.0,50.0,31.0,169.0,0.0,302.0,151.0,3.0,19.0,2.0,553.0,6.0,262.0,59.0,27.0,45.0,244.0,547.0,58.0,143.0,21.0,563.0,426.0,107.0,16.0,164.0,576.0,285.0,10.0
1092,1.0,3.0,162.0,80.0,41.0,2.0,232.0,174.0,45.0,26.0,121.0,102.0,219.0,19.0,258.0,16.0,5.0,17.0,63.0,124.0,391.0,68.0,27.0,0.0,321.0,199.0,36.0,47.0,137.0,10.0
1141,1.0,294.0,12.0,53.0,225.0,3.0,530.0,198.0,34.0,65.0,0.0,43.0,47.0,390.0,85.0,21.0,91.0,27.0,6.0,152.0,8.0,31.0,467.0,71.0,166.0,24.0,154.0,417.0,133.0,456.0
1190,51.0,60.0,22.0,0.0,563.0,2.0,100.0,65.0,206.0,46.0,23.0,21.0,352.0,172.0,16.0,344.0,59.0,75.0,8.0,202.0,54.0,303.0,99.0,17.0,153.0,227.0,10.0,276.0,76.0,438.0
1239,139.0,28.0,21.0,3.0,57.0,226.0,99.0,45.0,74.0,87.0,203.0,40.0,9.0,33.0,46.0,234.0,25.0,10.0,118.0,235.0,152.0,15.0,315.0,0.0,127.0,215.0,429.0,338.0,575.0,158.0
1288,51.0,5.0,46.0,1.0,36.0,0.0,13.0,19.0,53.0,82.0,428.0,78.0,44.0,123.0,23.0,125.0,178.0,27.0,28.0,203.0,104.0,128.0,166.0,47.0,21.0,323.0,119.0,63.0,281.0,310.0
1337,22.0,0.0,212.0,85.0,239.0,19.0,176.0,31.0,15.0,14.0,51.0,328.0,48.0,209.0,26.0,108.0,325.0,376.0,115.0,315.0,490.0,2.0,399.0,28.0,59.0,444.0,10.0,50.0,54.0,556.0
1386,69.0,232.0,55.0,0.0,30.0,63.0,29.0,37.0,158.0,333.0,192.0,66.0,36.0,100.0,86.0,54.0,18.0,374.0,1.0,109.0,298.0,14.0,471.0,252.0,3.0,191.0,12.0,42.0,60.0,73.0
1435,149.0,4.0,111.0,9.0,206.0,11.0,12.0,26.0,263.0,580.0,86.0,10.0,46.0,105.0,56.0,626.0,3.0,167.0,347.0,16.0,119.0,28.0,133.0,18.0,34.0,429.0,115.0,127.0,63.0,440.0
1484,41.0,2.0,9.0,5.0,0.0,18.0,1.0,103.0,131.0,12.0,67.0,14.0,561.0,466.0,430.0,40.0,3.0,310.0,167.0,271.0,56.0,80.0,140.0,530.0,220.0,23.0,381.0,36.0,135.0,4.0
1533,26.0,18.0,2.0,5.0,0.0,1.0,149.0,332.0,89.0,20.0,4.0,70.0,337.0,42.0,205.0,101.0,27.0,200.0,40.0,14.0,19.0,110.0,15.0,94.0,3.0,561.0,440.0,184.0,32.0,472.0
1582,57.0,134.0,10.0,87.0,11.0,38.0,328.0,409.0,21.0,322.0,0.0,53.0,150.0,80.0,49.0,196.0,367.0,191.0,7.0,174.0,4.0,118.0,74.0,597.0,19.0,9.0,473.0,66.0,246.0,18.0
1631,113.0,19.0,10.0,162.0,0.0,9.0,48.0,92.0,300.0,4.0,6.0,3.0,310.0,50.0,179.0,108.0,200.0,302.0,232.0,35.0,11.0,208.0,160.0,372.0,140.0,77.0,133.0,29.0,84.0,61.0
1680,251.0,0.0,101.0,106.0,3.0,4.0,10.0,36.0,291.0,67.0,20.0,478.0,276.0,337.0,597.0,5.0,8.0,54.0,163.0,39.0,7.0,68.0,266.0,73.0,30.0,78.0,93.0,87.0,305.0,31.0
1729,486.0,14.0,6.0,134.0,58.0,5.0,13.0,15.0,257.0,530.0,19.0,150.0,106.0,246.0,60.0,280.0,53.0,23.0,82.0,274.0,0.0,502.0,30.0,107.0,33.0,467.0,96.0,49.0,378.0,197.0
1778,3.0,26.0,15.0,97.0,51.0,7.0,12.0,13.0,154.0,221.0,249.0,28.0,31.0,61.0,5.0,130.0,41.0,392.0,324.0,173.0,4.0,29.0,396.0,134.0,86.0,132.0,48.0,22.0,183.0,11.0
1827,17.0,53.0,36.0,25.0,11.0,2.0,48.0,69.0,49.0,38.0,3.0,19.0,352.0,297.0,45.0,9.0,608.0,371.0,0.0,32.0,1.0,18.0,16.0,280.0,54.0,244.0,443.0,551.0,103.0,4.0
1876,2.0,26.0,3.0,12.0,41.0,15.0,11.0,49.0,432.0,13.0,139.0,30.0,171.0,278.0,180.0,20.0,329.0,568.0,64.0,22.0,1.0,337.0,42.0,393.0,93.0,68.0,258.0,86.0,215.0,0.0
1925,0.0,9.0,4.0,257.0,146.0,209.0,25.0,98.0,400.0,322.0,102.0,234.0,111.0,63.0,18.0,7.0,65.0,124.0,55.0,46.0,31.0,106.0,6.0,53.0,119.0,61.0,618.0,306.0,294.0,1.0
1974,60.0,424.0,113.0,34.0,33.0,395.0,416.0,0.0,422.0,119.0,169.0,59.0,1.0,541.0,96.0,88.0,37.0,136.0,130.0,86.0,459.0,166.0,527.0,94.0,382.0,52.0,45.0,16.0,187.0,48.0
2023,8.0,325.0,153.0,4.0,260.0,15.0,64.0,0.0,24.0,148.0,1.0,287.0,76.0,29.0,70.0,19.0,2.0,58.0,28.0,73.0,110.0,3.0,119.0,113.0,369.0,6.0,230.0,235.0,144.0,177.0
2072,0.0,279.0,180.0,14.0,141.0,100.0,44.0,18.0,19.0,203.0,325.0,322.0,507.0,25.0,126.0,87.0,11.0,283.0,60.0,389.0,211.0,20.0,237.0,443.0,334.0,117.0,102.0,321.0,209.0,458.0
2121,31.0,180.0,417.0,2.0,415.0,335.0,132.0,4.0,89.0,74.0,540.0,198.0,358.0,82.0,402.0,317.0,5.0,47.0,3.0,232.0,138.0,13.0,170.0,468.0,325.0,14.0,308.0,85.0,99.0,231.0
2170,1.0,60.0,292.0,119.0,218.0,127.0,62.0,64.0,24.0,118.0,12.0,69.0,589.0,79.0,34.0,46.0,2.0,98.0,0.0,431.0,380.0,97.0,294.0,227.0,332.0,115.0,545.0,172.0,135.0,161.0
2219,0.0,247.0,497.0,2.0,26.0,520.0,158.0,8.0,9.0,22.0,111.0,5.0,88.0,267.0,131.0,65.0,44.0,35.0,87.0,376.0,344.0,485.0,607.0,180.0,105.0,176.0,109.0,133.0,76.0,31.0
2268,23.0,261.0,75.0,3.0,16.0,52.0,9.0,2.0,342.0,129.0,27.0,457.0,401.0,21.0,7.0,12.0,0.0,70.0,5.0,103.0,339.0,198.0,132.0,196.0,266.0,373.0,102.0,425.0,41.0,260.0
2317,161.0,123.0,21.0,18.0,16.0,141.0,50.0,24.0,180.0,379.0,83.0,142.0,76.0,43.0,17.0,5.0,2.0,115.0,49.0,4.0,456.0,624.0,19.0,319.0,80.0,95.0,200.0,68.0,117.0,324.0
2366,26.0,36.0,310.0,65.0,2.0,192.0,52.0,42.0,24.0,114.0,8.0,92.0,158.0,401.0,30.0,40.0,20.0,14.0,29.0,17.0,41.0,185.0,129.0,16.0,225.0,235.0,130.0,62.0,67.0,205.0
2415,395.0,51.0,200.0,69.0,53.0,50.0,37.0,307.0,12.0,95.0,14.0,274.0,67.0,118.0,80.0,98.0,88.0,32.0,218.0,1.0,104.0,77.0,2.0,327.0,486.0,10.0,5.0,214.0,373.0,62.0
2464,8.0,20.0,592.0,25.0,7.0,3.0,95.0,1.0,6.0,108.0,210.0,5.0,116.0,44.0,118.0,58.0,51.0,431.0,143.0,48.0,237.0,574.0,364.0,96.0,257.0,265.0,212.0,123.0,260.0,140.0
2513,11.0,99.0,392.0,106.0,13.0,20.0,28.0,449.0,50.0,45.0,138.0,5.0,218.0,17.0,2.0,6.0,120.0,141.0,72.0,4.0,24.0,451.0,542.0,93.0,18.0,52.0,446.0,143.0,67.0,422.0
2562,5.0,0.0,329.0,120.0,77.0,27.0,185.0,342.0,1.0,105.0,69.0,114.0,181.0,322.0,109.0,204.0,26.0,101.0,89.0,38.0,178.0,53.0,141.0,35.0,137.0,49.0,203.0,231.0,452.0,70.0
2611,41.0,23.0,286.0,266.0,99.0,45.0,608.0,7.0,29.0,16.0,21.0,56.0,129.0,213.0,133.0,30.0,19.0,28.0,83.0,4.0,12.0,243.0,262.0,146.0,1.0,235.0,15.0,553.0,46.0,6.0
2660,7.0,158.0,324.0,46.0,96.0,154.0,442.0,6.0,92.0,3.0,67.0,53.0,246.0,287.0,95.0,224.0,169.0,98.0,199.0,146.0,36.0,40.0,14.0,63.0,68.0,607.0,29.0,26.0,201.0,260.0
2709,21.0,93.0,316.0,23.0,292.0,45.0,80.0,67.0,42.0,3.0,49.0,18.0,182.0,212.0,0.0,20.0,39.0,14.0,268.0,74.0,16.0,79.0,294.0,9.0,116.0,202.0,1.0,69.0,97.0,26.0
2758,0.0,28.0,45.0,8.0,460.0,100.0,30.0,135.0,23.0,4.0,342.0,493.0,71.0,91.0,13.0,24.0,38.0,546.0,131.0,1.0,70.0,16.0,20.0,10.0,9.0,55.0,116.0,53.0,31.0,188.0
2807,3.0,32.0,56.0,6.0,21.0,168.0,490.0,49.0,25.0,39.0,73.0,171.0,14.0,372.0,91.0,35.0,60.0,12.0,365.0,106.0,282.0,1.0,43.0,304.0,104.0,59.0,158.0,409.0,309.0,384.0
2856,1.0,98.0,307.0,2.0,0.0,15.0,24.0,42.0,13.0,6.0,96.0,31.0,17.0,350.0,68.0,330.0,43.0,162.0,60.0,22.0,592.0,47.0,63.0,156.0,33.0,164.0,3.0,234.0,569.0,314.0
2905,2.0,13.0,521.0,0.0,100.0,57.0,103.0,172.0,9.0,357.0,41.0,301.0,71.0,113.0,178.0,16.0,385.0,42.0,233.0,3.0,44.0,217.0,623.0,36.0,39.0,89.0,5.0,32.0,275.0,546.0
2954,21.0,45.0,0.0,51.0,1.0,7.0,15.0,5.0,87.0,390.0,69.0,48.0,10.0,4.0,56.0,156.0,137.0,133.0,67.0,371.0,289.0,134.0,33.0,143.0,84.0,31.0,106.0,547.0,189.0,295.0
3003,12.0,13.0,0.0,41.0,37.0,2.0,25.0,5.0,89.0,172.0,31.0,534.0,73.0,503.0,35.0,138.0,98.0,36.0,126.0,67.0,436.0,283.0,10.0,362.0,61.0,53.0,382.0,381.0,613.0,127.0
3052,31.0,50.0,0.0,81.0,1.0,39.0,184.0,66.0,77.0,193.0,26.0,69.0,2.0,111.0,71.0,215.0,412.0,34.0,228.0,97.0,224.0,520.0,13.0,41.0,4.0,614.0,49.0,58.0,404.0,5.0
3101,1.0,2.0,189.0,220.0,4.0,0.0,74.0,415.0,242.0,7.0,58.0,5.0,14.0,273.0,19.0,441.0,114.0,8.0,37.0,98.0,585.0,165.0,127.0,69.0,67.0,117.0,34.0,423.0,510.0,325.0
3150,50.0,2.0,1.0,14.0,4.0,145.0,67.0,23.0,193.0,123.0,11.0,12.0,93.0,55.0,347.0,42.0,27.0,78.0,106.0,419.0,462.0,292.0,29.0,81.0,33.0,317.0,31.0,53.0,216.0,32.0
3199,191.0,34.0,0.0,19.0,10.0,7.0,40.0,1.0,138.0,18.0,26.0,74.0,57.0,29.0,190.0,154.0,240.0,326.0,111.0,45.0,254.0,355.0,89.0,43.0,16.0,96.0,2.0,306.0,560.0,497.0
3248,163.0,4.0,8.0,3.0,296.0,111.0,82.0,2.0,50.0,112.0,135.0,56.0,1.0,10.0,6.0,59.0,215.0,480.0,225.0,421.0,142.0,574.0,39.0,20.0,94.0,220.0,43.0,65.0,49.0,239.0
3297,400.0,10.0,1.0,2.0,7.0,42.0,19.0,24.0,67.0,219.0,194.0,12.0,82.0,105.0,66.0,224.0,50.0,54.0,26.0,584.0,30.0,48.0,0.0,3.0,56.0,610.0,18.0,136.0,60.0,251.0
3346,42.0,29.0,21.0,18.0,13.0,8.0,31.0,12.0,24.0,72.0,44.0,84.0,4.0,383.0,3.0,93.0,261.0,201.0,212.0,173.0,14.0,10.0,0.0,47.0,23.0,235.0,16.0,36.0,208.0,1.0
3395,61.0,17.0,4.0,16.0,7.0,234.0,204.0,1.0,14.0,186.0,20.0,113.0,51.0,2.0,5.0,116.0,12.0,6.0,114.0,375.0,578.0,291.0,11.0,34.0,199.0,150.0,37.0,44.0,248.0,179.0
3444,1.0,0.0,3.0,19.0,37.0,5.0,17.0,34.0,63.0,36.0,396.0,146.0,10.0,2.0,68.0,170.0,51.0,328.0,249.0,69.0,278.0,40.0,213.0,366.0,538.0,78.0,49.0,487.0,81.0,343.0
3493,45.0,61.0,4.0,483.0,142.0,14.0,328.0,34.0,15.0,199.0,12.0,31.0,19.0,22.0,187.0,285.0,11.0,203.0,1.0,473.0,293.0,376.0,290.0,39.0,177.0,69.0,222.0,178.0,185.0,67.0
3542,3.0,0.0,1.0,529.0,400.0,515.0,396.0,83.0,48.0,11.0,16.0,105.0,46.0,110.0,372.0,188.0,338.0,586.0,156.0,201.0,50.0,18.0,144.0,172.0,12.0,10.0,23.0,140.0,374.0,27.0
3591,5.0,0.0,2.0,1.0,248.0,33.0,522.0,77.0,94.0,41.0,480.0,356.0,236.0,24.0,575.0,289.0,8.0,267.0,44.0,99.0,166.0,91.0,80.0,36.0,192.0,51.0,31.0,96.0,95.0,4.0
3640,5.0,7.0,2.0,48.0,115.0,424.0,192.0,3.0,6.0,257.0,85.0,426.0,59.0,148.0,414.0,353.0,178.0,104.0,566.0,124.0,58.0,170.0,322.0,149.0,103.0,242.0,111.0,184.0,68.0,40.0
3689,0.0,47.0,42.0,106.0,331.0,160.0,171.0,156.0,284.0,238.0,97.0,534.0,393.0,2.0,399.0,310.0,100.0,39.0,9.0,330.0,67.0,57.0,114.0,301.0,56.0,473.0,13.0,468.0,6.0,28.0
3738,14.0,91.0,0.0,263.0,129.0,22.0,92.0,125.0,7.0,97.0,63.0,485.0,271.0,255.0,436.0,43.0,227.0,3.0,26.0,36.0,256.0,47.0,147.0,355.0,430.0,72.0,18.0,107.0,17.0,183.0
3787,13.0,1.0,80.0,20.0,34.0,2.0,7.0,21.0,6.0,321.0,212.0,85.0,63.0,355.0,134.0,32.0,65.0,27.0,344.0,113.0,180.0,251.0,105.0,23.0,66.0,118.0,46.0,373.0,111.0,19.0
3836,11.0,0.0,12.0,41.0,9.0,7.0,5.0,34.0,30.0,326.0,171.0,17.0,10.0,149.0,96.0,8.0,294.0,100.0,74.0,55.0,275.0,374.0,88.0,359.0,272.0,379.0,414.0,62.0,27.0,195.0
3885,0.0,18.0,2.0,1.0,368.0,211.0,204.0,12.0,24.0,71.0,202.0,17.0,101.0,40.0,59.0,387.0,5.0,11.0,486.0,227.0,83.0,558.0,494.0,326.0,476.0,417.0,384.0,14.0,113.0,50.0
3934,0.0,313.0,526.0,361.0,35.0,4.0,71.0,73.0,8.0,372.0,120.0,62.0,22.0,6.0,318.0,16.0,2.0,20.0,7.0,297.0,11.0,387.0,25.0,408.0,32.0,15.0,321.0,3.0,26.0,24.0
3983,6.0,276.0,144.0,3.0,66.0,314.0,94.0,129.0,184.0,163.0,601.0,4.0,242.0,46.0,18.0,192.0,13.0,123.0,307.0,112.0,102.0,157.0,1.0,91.0,68.0,47.0,447.0,19.0,32.0,36.0
4032,3.0,421.0,18.0,361.0,0.0,55.0,82.0,10.0,149.0,12.0,39.0,262.0,85.0,178.0,279.0,171.0,45.0,59.0,140.0,114.0,23.0,170.0,2.0,26.0,317.0,123.0,353.0,80.0,308.0,110.0
4081,5.0,509.0,87.0,68.0,14.0,150.0,24.0,91.0,11.0,7.0,55.0,155.0,25.0,363.0,201.0,102.0,311.0,0.0,57.0,52.0,20.0,146.0,224.0,29.0,235.0,69.0,535.0,176.0,111.0,376.0
4130,4.0,74.0,20.0,30.0,67.0,57.0,254.0,519.0,54.0,2.0,144.0,492.0,52.0,486.0,183.0,161.0,18.0,43.0,7.0,40.0,38.0,152.0,32.0,69.0,406.0,17.0,392.0,115.0,425.0,462.0
4179,1.0,109.0,2.0,13.0,10.0,170.0,248.0,272.0,216.0,6.0,142.0,226.0,31.0,67.0,23.0,184.0,247.0,8.0,49.0,18.0,34.0,68.0,12.0,230.0,19.0,62.0,510.0,11.0,87.0,525.0
4228,7.0,78.0,5.0,2.0,23.0,56.0,416.0,111.0,257.0,4.0,533.0,233.0,99.0,3.0,623.0,163.0,15.0,161.0,248.0,38.0,6.0,149.0,30.0,12.0,201.0,18.0,617.0,70.0,404.0,96.0
4277,0.0,139.0,34.0,10.0,387.0,4.0,80.0,22.0,165.0,78.0,178.0,73.0,93.0,298.0,109.0,1.0,3.0,63.0,163.0,7.0,234.0,6.0,42.0,8.0,68.0,9.0,478.0,86.0,110.0,347.0
4326,0.0,4.0,121.0,7.0,2.0,48.0,133.0,34.0,430.0,16.0,31.0,311.0,46.0,441.0,562.0,89.0,109.0,86.0,40.0,25.0,65.0,30.0,371.0,41.0,193.0,253.0,547.0,216.0,187.0,230.0
4375,2.0,337.0,75.0,17.0,346.0,14.0,6.0,8.0,281.0,3.0,231.0,47.0,492.0,10.0,358.0,54.0,299.0,11.0,16.0,78.0,19.0,192.0,57.0,5.0,182.0,109.0,67.0,243.0,200.0,273.0
4424,3.0,23.0,10.0,28.0,63.0,79.0,22.0,475.0,78.0,21.0,85.0,36.0,518.0,18.0,19.0,73.0,209.0,51.0,53.0,308.0,295.0,317.0,12.0,263.0,341.0,264.0,197.0,113.0,243.0,1.0
4473,14.0,15.0,22.0,223.0,46.0,192.0,57.0,80.0,254.0,3.0,25.0,79.0,36.0,7.0,10.0,55.0,189.0,216.0,439.0,480.0,19.0,226.0,8.0,166.0,134.0,541.0,49.0,101.0,18.0,1.0
4522,143.0,6.0,28.0,10.0,4.0,27.0,34.0,3.0,298.0,2.0,273.0,281.0,341.0,1.0,15.0,48.0,97.0,79.0,372.0,417.0,52.0,482.0,55.0,442.0,84.0,308.0,300.0,191.0,65.0,14.0
4571,46.0,63.0,19.0,219.0,10.0,3.0,2.0,28.0,70.0,12.0,42.0,21.0,350.0,1.0,23.0,249.0,191.0,521.0,313.0,7.0,168.0,65.0,30.0,271.0,406.0,218.0,251.0,256.0,67.0,149.0
4620,17.0,1.0,474.0,207.0,9.0,69.0,5.0,48.0,245.0,146.0,11.0,30.0,404.0,39.0,51.0,7.0,376.0,408.0,86.0,172.0,213.0,2.0,3.0,74.0,26.0,419.0,333.0,24.0,248.0,37.0
4669,8.0,106.0,7.0,57.0,11.0,16.0,4.0,14.0,20.0,323.0,15.0,34.0,629.0,29.0,21.0,89.0,579.0,329.0,305.0,254.0,79.0,12.0,43.0,518.0,248.0,53.0,60.0,118.0,157.0,3.0
4718,18.0,160.0,174.0,33.0,10.0,285.0,12.0,311.0,24.0,7.0,9.0,1.0,510.0,0.0,16.0,50.0,292.0,610.0,199.0,22.0,61.0,44.0,11.0,35.0,144.0,96.0,21.0,65.0,116.0,29.0
4767,0.0,240.0,28.0,203.0,7.0,3.0,24.0,2.0,253.0,15.0,17.0,40.0,437.0,6.0,44.0,10.0,369.0,157.0,103.0,48.0,123.0,26.0,58.0,230.0,299.0,590.0,202.0,23.0,539.0,12.0
4816,11.0,371.0,37.0,33.0,275.0,5.0,15.0,73.0,285.0,142.0,83.0,328.0,21.0,25.0,106.0,121.0,141.0,76.0,270.0,193.0,111.0,17.0,134.0,402.0,191.0,23.0,10.0,44.0,47.0,2.0
4865,19.0,119.0,12.0,1.0,153.0,234.0,43.0,52.0,268.0,63.0,35.0,10.0,111.0,45.0,363.0,410.0,253.0,458.0,195.0,147.0,3.0,136.0,2.0,192.0,309.0,185.0,107.0,80.0,14.0,11.0
