, PI3K_only, MAPK_PI3K, JAK-STAT, TLR, MAPK_only, TNFa, Wnt, TGFB, IL-1, VEGF, H2O2
36,0.0,1.0,5.0,3.0,4.0,2.0,6.0,8.0,7.0,10.0,9.0
85,0.0,2.0,3.0,5.0,1.0,4.0,7.0,6.0,8.0,10.0,9.0
134,0.0,1.0,5.0,4.0,3.0,2.0,6.0,7.0,8.0,10.0,9.0
183,0.0,1.0,5.0,3.0,4.0,2.0,6.0,7.0,8.0,10.0,9.0
232,0.0,2.0,4.0,5.0,1.0,3.0,7.0,6.0,8.0,10.0,9.0
281,0.0,1.0,5.0,3.0,2.0,4.0,6.0,7.0,8.0,10.0,9.0
330,0.0,1.0,5.0,4.0,2.0,3.0,6.0,7.0,8.0,9.0,10.0
379,0.0,1.0,5.0,4.0,2.0,3.0,7.0,8.0,6.0,10.0,9.0
428,0.0,1.0,5.0,4.0,3.0,2.0,6.0,7.0,8.0,10.0,9.0
477,0.0,1.0,5.0,3.0,4.0,2.0,6.0,7.0,8.0,10.0,9.0
526,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
575,0.0,1.0,5.0,3.0,2.0,4.0,6.0,7.0,8.0,10.0,9.0
624,0.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,8.0,10.0,9.0
673,0.0,1.0,3.0,4.0,2.0,5.0,6.0,7.0,8.0,9.0,10.0
722,0.0,2.0,3.0,1.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
771,0.0,1.0,5.0,2.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0
820,0.0,1.0,5.0,3.0,2.0,4.0,7.0,6.0,8.0,10.0,9.0
869,0.0,2.0,3.0,1.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
918,0.0,1.0,4.0,2.0,5.0,3.0,6.0,7.0,8.0,9.0,10.0
967,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
1016,0.0,1.0,5.0,2.0,3.0,4.0,7.0,8.0,6.0,9.0,10.0
1065,0.0,1.0,5.0,2.0,3.0,4.0,6.0,8.0,7.0,9.0,10.0
1114,0.0,1.0,3.0,4.0,2.0,5.0,7.0,8.0,6.0,10.0,9.0
1163,0.0,3.0,4.0,1.0,5.0,2.0,6.0,8.0,7.0,9.0,10.0
1212,0.0,2.0,3.0,1.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
1261,0.0,2.0,5.0,1.0,4.0,3.0,7.0,8.0,6.0,9.0,10.0
1310,0.0,2.0,5.0,1.0,3.0,4.0,6.0,7.0,8.0,10.0,9.0
1359,0.0,3.0,1.0,2.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0
1408,0.0,1.0,5.0,4.0,2.0,3.0,8.0,7.0,6.0,10.0,9.0
1457,0.0,1.0,5.0,3.0,2.0,4.0,6.0,8.0,7.0,10.0,9.0
1506,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0
1555,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0
1604,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,8.0,10.0,9.0
1653,0.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,7.0,10.0,9.0
1702,0.0,3.0,1.0,2.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
1751,0.0,1.0,4.0,2.0,3.0,5.0,7.0,6.0,8.0,10.0,9.0
1800,0.0,3.0,4.0,2.0,1.0,5.0,6.0,7.0,8.0,9.0,10.0
1849,0.0,4.0,3.0,1.0,2.0,5.0,7.0,6.0,8.0,10.0,9.0
1898,0.0,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
1947,0.0,4.0,2.0,1.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0
1996,0.0,5.0,2.0,3.0,1.0,4.0,6.0,7.0,8.0,9.0,10.0
2045,0.0,4.0,2.0,1.0,3.0,5.0,6.0,8.0,7.0,9.0,10.0
2094,0.0,2.0,3.0,1.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0
2143,0.0,5.0,2.0,1.0,4.0,3.0,6.0,8.0,7.0,9.0,10.0
2192,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
2241,0.0,2.0,5.0,1.0,4.0,3.0,6.0,7.0,9.0,8.0,10.0
2290,0.0,2.0,3.0,1.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
2339,0.0,5.0,1.0,4.0,3.0,2.0,6.0,7.0,8.0,9.0,10.0
2388,0.0,3.0,2.0,1.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
2437,0.0,3.0,1.0,2.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0
2486,0.0,2.0,4.0,1.0,5.0,3.0,7.0,6.0,8.0,9.0,10.0
2535,0.0,2.0,1.0,4.0,3.0,5.0,7.0,6.0,8.0,10.0,9.0
2584,0.0,2.0,1.0,3.0,4.0,5.0,7.0,8.0,6.0,9.0,10.0
2633,0.0,2.0,3.0,1.0,5.0,4.0,7.0,8.0,6.0,9.0,10.0
2682,0.0,1.0,2.0,4.0,3.0,5.0,8.0,6.0,7.0,10.0,9.0
2731,0.0,1.0,2.0,3.0,5.0,4.0,7.0,8.0,6.0,9.0,10.0
2780,0.0,2.0,4.0,1.0,5.0,3.0,6.0,7.0,8.0,9.0,10.0
2829,0.0,2.0,3.0,1.0,5.0,4.0,7.0,8.0,6.0,9.0,10.0
2878,0.0,1.0,3.0,2.0,5.0,4.0,7.0,8.0,6.0,9.0,10.0
2927,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,8.0,9.0,10.0
2976,0.0,1.0,5.0,4.0,2.0,3.0,8.0,7.0,6.0,9.0,10.0
3025,0.0,1.0,5.0,3.0,4.0,2.0,6.0,7.0,8.0,9.0,10.0
3074,0.0,1.0,5.0,2.0,4.0,3.0,6.0,7.0,8.0,9.0,10.0
3123,0.0,2.0,4.0,1.0,5.0,3.0,7.0,6.0,8.0,9.0,10.0
3172,0.0,1.0,4.0,2.0,5.0,3.0,7.0,6.0,8.0,9.0,10.0
3221,0.0,2.0,4.0,1.0,3.0,5.0,7.0,8.0,6.0,9.0,10.0
3270,0.0,3.0,1.0,4.0,5.0,2.0,6.0,8.0,7.0,9.0,10.0
3319,0.0,3.0,2.0,1.0,5.0,4.0,7.0,6.0,8.0,9.0,10.0
3368,0.0,4.0,3.0,1.0,5.0,2.0,7.0,6.0,8.0,9.0,10.0
3417,0.0,1.0,4.0,3.0,5.0,2.0,8.0,6.0,7.0,10.0,9.0
3466,0.0,1.0,5.0,2.0,4.0,3.0,7.0,8.0,6.0,9.0,10.0
3515,0.0,1.0,5.0,4.0,3.0,2.0,7.0,8.0,6.0,9.0,10.0
3564,0.0,1.0,5.0,2.0,3.0,4.0,7.0,8.0,6.0,9.0,10.0
3613,0.0,2.0,5.0,1.0,3.0,4.0,7.0,8.0,6.0,9.0,10.0
3662,0.0,2.0,5.0,1.0,4.0,3.0,6.0,8.0,7.0,9.0,10.0
3711,0.0,1.0,5.0,2.0,4.0,3.0,7.0,9.0,6.0,8.0,10.0
3760,0.0,2.0,4.0,1.0,5.0,3.0,6.0,8.0,7.0,9.0,10.0
3809,0.0,1.0,5.0,3.0,4.0,2.0,7.0,8.0,6.0,9.0,10.0
3858,0.0,3.0,4.0,1.0,5.0,2.0,6.0,8.0,7.0,9.0,10.0
3907,0.0,2.0,5.0,1.0,4.0,3.0,6.0,8.0,7.0,9.0,10.0
3956,0.0,1.0,4.0,2.0,5.0,3.0,6.0,7.0,8.0,9.0,10.0
4005,0.0,1.0,3.0,5.0,2.0,4.0,6.0,8.0,7.0,10.0,9.0
4054,0.0,1.0,5.0,2.0,3.0,4.0,7.0,8.0,6.0,9.0,10.0
4103,0.0,1.0,4.0,5.0,2.0,3.0,6.0,8.0,7.0,9.0,10.0
4152,0.0,1.0,3.0,5.0,4.0,2.0,6.0,7.0,8.0,9.0,10.0
4201,0.0,1.0,4.0,2.0,5.0,3.0,6.0,8.0,7.0,9.0,10.0
4250,0.0,1.0,4.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0
4299,0.0,1.0,2.0,5.0,4.0,3.0,6.0,8.0,7.0,9.0,10.0
4348,0.0,1.0,3.0,2.0,5.0,4.0,7.0,9.0,6.0,8.0,10.0
4397,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
4446,0.0,1.0,3.0,4.0,2.0,5.0,7.0,9.0,6.0,10.0,8.0
4495,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,6.0,10.0,9.0
4544,0.0,1.0,4.0,3.0,2.0,5.0,7.0,8.0,6.0,9.0,10.0
4593,0.0,1.0,2.0,5.0,3.0,4.0,7.0,8.0,6.0,10.0,9.0
4642,0.0,1.0,3.0,4.0,2.0,5.0,7.0,8.0,6.0,10.0,9.0
4691,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,6.0,10.0,9.0
4740,0.0,1.0,2.0,5.0,4.0,3.0,7.0,8.0,6.0,10.0,9.0
4789,0.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,7.0,10.0,9.0
4838,0.0,1.0,2.0,4.0,3.0,5.0,7.0,8.0,6.0,9.0,10.0
4887,0.0,1.0,3.0,2.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0
