,LOC100133267_DEL,DEFB130_DEL,ZNF705G_AMP,MYH9_MUT,USP17L7_DEL,RGPD4_AMP,FAM90A7P_DEL,TSPY4_DEL,DEFB4B_DEL,ZNF705D_DEL,RB1_MUT,MUC20_AMP,SPAG11A_DEL,LMTK2_MUT,TSPY3_DEL,LPA_AMP,LRRK2_MUT,FLNB_MUT,FAM86B1_DEL,LOC392196_DEL,FAM197Y5_DEL,ZNF705B_DEL,CHD1_MUT,UPK3B_AMP,MSTO2P_AMP,DAP3_AMP,HLA-DRB6_DEL,LOC100506776_DEL,OR2T11_AMP,PPARGC1A_MUT
32,37.0,4.0,347.0,6.0,32.0,663.0,66.0,14.0,10.0,171.0,10691.0,2957.0,5.0,1033.0,3.0,11.0,31.0,53.0,18.0,16.0,639.0,42.0,51.0,0.0,47.0,75.0,1344.0,169.0,7.0,124.0
81,2.0,1.0,3.0,78.0,0.0,13077.0,4.0,163.0,19.0,18.0,91.0,219.0,7.0,17.0,15.0,8.0,35.0,65.0,11.0,5.0,13.0,68.0,34.0,14.0,20.0,36.0,3199.0,521.0,318.0,58.0
130,45.0,0.0,25.0,147.0,13.0,645.0,3.0,5.0,21.0,43.0,17041.0,183.0,19.0,69.0,73.0,26.0,12.0,16711.0,96.0,1.0,16.0,18593.0,95.0,17.0,2.0,91.0,107.0,127.0,49.0,16690.0
179,9.0,1.0,11.0,18.0,24.0,13057.0,23.0,20.0,26.0,30.0,917.0,315.0,3.0,82.0,32.0,4.0,40.0,238.0,37.0,8.0,16.0,12.0,1225.0,115.0,6.0,7.0,1360.0,109.0,47.0,253.0
228,1.0,15.0,4.0,716.0,24.0,2445.0,42.0,0.0,301.0,68.0,61.0,137.0,40.0,7.0,8.0,20.0,5.0,50.0,9.0,148.0,11.0,63.0,183.0,2.0,18.0,1116.0,35.0,19042.0,82.0,16670.0
277,0.0,10.0,47.0,21.0,2.0,7.0,32.0,11.0,3.0,14.0,104.0,252.0,9.0,6.0,30.0,23.0,17.0,25.0,212.0,20.0,558.0,39.0,61.0,731.0,1.0,13.0,1732.0,19214.0,161.0,517.0
326,4.0,13.0,7.0,44.0,2.0,3002.0,5.0,9.0,40.0,1.0,87.0,36.0,8.0,18.0,16.0,162.0,396.0,15.0,26.0,108.0,31.0,27.0,209.0,12.0,0.0,3.0,706.0,71.0,101.0,16665.0
375,0.0,4.0,3.0,12.0,15.0,83.0,8.0,10.0,91.0,146.0,17022.0,35.0,26.0,17.0,5.0,2.0,11.0,18.0,21.0,1.0,47.0,14.0,245.0,62.0,58.0,27.0,67.0,78.0,19.0,16705.0
424,0.0,12.0,5.0,60.0,2.0,341.0,7.0,1.0,36.0,33.0,213.0,1021.0,4.0,25.0,29.0,3.0,9.0,34.0,40.0,6.0,23.0,18.0,22.0,71.0,246.0,90.0,282.0,19828.0,258.0,113.0
473,1.0,2.0,5.0,173.0,12.0,337.0,0.0,16.0,8.0,55.0,72.0,36.0,24.0,3.0,13.0,67.0,16672.0,38.0,984.0,4468.0,270.0,7.0,69.0,35.0,50.0,73.0,1724.0,3075.0,17.0,16665.0
522,2.0,5.0,3.0,0.0,1.0,7.0,19.0,2035.0,6.0,4.0,87.0,260.0,42.0,44.0,8804.0,14.0,16710.0,27.0,1141.0,55.0,2531.0,8.0,38.0,45.0,52.0,98.0,11.0,12.0,2461.0,16704.0
571,1.0,0.0,26.0,19.0,2.0,20.0,11179.0,8510.0,221.0,4.0,50.0,7.0,726.0,15.0,649.0,38.0,25.0,9.0,1098.0,5.0,738.0,113.0,36.0,130.0,34.0,22.0,23.0,16.0,309.0,16698.0
620,0.0,1.0,72.0,2.0,3.0,2496.0,8.0,38.0,221.0,7.0,167.0,68.0,55.0,36.0,58.0,11.0,16695.0,5.0,17.0,64.0,18679.0,139.0,26.0,103.0,30.0,25.0,9.0,70.0,21.0,16704.0
669,0.0,1.0,10.0,2.0,11.0,37.0,8.0,68.0,18.0,17.0,634.0,259.0,52.0,5.0,15.0,292.0,310.0,33.0,34.0,7.0,6.0,13.0,39.0,337.0,4.0,41.0,16.0,9.0,455.0,53.0
718,4.0,0.0,26.0,1.0,3.0,11.0,7.0,13.0,1061.0,35.0,336.0,31.0,27.0,5.0,6.0,9.0,28.0,25.0,29.0,84.0,86.0,88.0,53.0,2.0,16972.0,3299.0,24.0,12.0,76.0,47.0
767,3.0,1.0,30.0,34.0,9.0,17.0,16.0,32.0,3320.0,36.0,44.0,1205.0,38.0,728.0,15.0,428.0,2061.0,103.0,41.0,12.0,22.0,18608.0,4.0,205.0,16939.0,77.0,48.0,69.0,2348.0,1213.0
816,3.0,5.0,13.0,0.0,6.0,24.0,98.0,1862.0,2250.0,89.0,113.0,4.0,92.0,171.0,8653.0,9.0,26.0,11.0,17.0,3147.0,45.0,41.0,16.0,72.0,790.0,57.0,15.0,1.0,2.0,207.0
865,2.0,5.0,0.0,1.0,9.0,505.0,15.0,23.0,17.0,26.0,158.0,21.0,50.0,16756.0,25.0,42.0,41.0,24.0,6.0,7.0,29.0,18.0,3.0,4.0,3122.0,2999.0,484.0,22.0,109.0,2005.0
914,2.0,6.0,1.0,8.0,0.0,50.0,51.0,86.0,40.0,5.0,265.0,21.0,11.0,4.0,212.0,57.0,134.0,991.0,93.0,46.0,172.0,13.0,12.0,107.0,1218.0,42.0,101.0,61.0,3.0,9924.0
963,2.0,7.0,6.0,106.0,3.0,5.0,0.0,105.0,89.0,170.0,64.0,54.0,69.0,34.0,9.0,1.0,72.0,39.0,37.0,10.0,18632.0,18583.0,474.0,48.0,1222.0,24.0,4.0,18.0,182.0,16691.0
1012,12.0,22.0,1.0,14.0,3040.0,1504.0,77.0,9.0,21.0,445.0,15.0,5.0,16.0,48.0,136.0,23.0,47.0,695.0,38.0,4071.0,99.0,752.0,42.0,83.0,3.0,2.0,442.0,0.0,13.0,20.0
1061,2.0,1.0,0.0,11.0,8.0,49.0,14.0,9926.0,51.0,10.0,4.0,358.0,9.0,53.0,763.0,21.0,7.0,216.0,44.0,41.0,18656.0,77.0,34.0,969.0,19.0,13.0,1787.0,2506.0,16.0,18.0
1110,10.0,248.0,58.0,15.0,152.0,13030.0,290.0,21.0,639.0,1907.0,1.0,7.0,437.0,724.0,64.0,0.0,31.0,4.0,149.0,419.0,163.0,18835.0,9.0,48.0,30.0,3.0,1889.0,121.0,244.0,74.0
1159,1.0,29.0,14.0,9.0,7.0,211.0,3.0,6.0,0.0,71.0,25.0,444.0,11.0,128.0,10.0,296.0,88.0,8.0,27.0,70.0,47.0,15.0,16641.0,40.0,315.0,31.0,3302.0,124.0,111.0,59.0
1208,0.0,2.0,1.0,23.0,4.0,8.0,7.0,5.0,38.0,18.0,39.0,32.0,6.0,211.0,26.0,3.0,188.0,35.0,10.0,37.0,36.0,14.0,43.0,129.0,144.0,17.0,123.0,40.0,581.0,1013.0
1257,0.0,2.0,1.0,302.0,4.0,90.0,14.0,401.0,11.0,9.0,3.0,12.0,10.0,16751.0,95.0,71.0,76.0,105.0,6.0,33.0,99.0,94.0,101.0,155.0,31.0,19.0,182.0,148.0,79.0,68.0
1306,4.0,3.0,0.0,1.0,16.0,174.0,20.0,59.0,14.0,39.0,7.0,9.0,140.0,214.0,19.0,6.0,2.0,2921.0,60.0,12.0,18716.0,175.0,29.0,22763.0,18.0,127.0,3473.0,13.0,56.0,16701.0
1355,6.0,20.0,0.0,10.0,187.0,41.0,327.0,48.0,12.0,56.0,18.0,11.0,504.0,2040.0,439.0,726.0,34.0,16724.0,36.0,5072.0,75.0,37.0,7.0,150.0,1.0,2.0,720.0,14.0,4.0,9.0
1404,2.0,10.0,0.0,84.0,138.0,15.0,26.0,104.0,36.0,20.0,1.0,9.0,2019.0,133.0,124.0,16.0,87.0,6.0,43.0,225.0,19844.0,268.0,19.0,806.0,12.0,51.0,4004.0,1341.0,29.0,402.0
1453,4.0,7.0,2.0,18.0,109.0,3.0,8.0,6.0,27.0,294.0,33.0,15.0,258.0,10069.0,22.0,0.0,31.0,308.0,290.0,213.0,12.0,2707.0,14.0,166.0,23.0,126.0,3785.0,10.0,158.0,11.0
1502,77.0,2585.0,2.0,7.0,253.0,16.0,0.0,185.0,4.0,680.0,5.0,1.0,46.0,17.0,574.0,3032.0,14.0,28.0,300.0,2891.0,134.0,22.0,9.0,795.0,8.0,85.0,19.0,10.0,167.0,734.0
1551,19.0,56.0,12.0,2.0,4.0,20.0,33.0,0.0,113.0,26.0,87.0,6.0,71.0,36.0,5.0,9.0,15.0,34.0,233.0,14.0,3.0,386.0,1.0,8.0,46.0,2867.0,7.0,19049.0,117.0,18.0
1600,186.0,74.0,48.0,5.0,498.0,172.0,0.0,10.0,1.0,9.0,26.0,173.0,12.0,41.0,80.0,2169.0,16683.0,13.0,3.0,104.0,47.0,11.0,27.0,17.0,77.0,228.0,19.0,19036.0,16.0,36.0
1649,19.0,7.0,3.0,22.0,20.0,89.0,14.0,0.0,16.0,283.0,12.0,1.0,15.0,63.0,11.0,26.0,56.0,78.0,53.0,175.0,37.0,117.0,10.0,17.0,5.0,72.0,9.0,18.0,21.0,4.0
1698,9.0,13.0,0.0,21.0,71.0,3.0,1.0,19.0,12.0,9392.0,17014.0,152.0,8.0,60.0,14.0,5.0,644.0,41.0,638.0,38.0,26.0,2.0,23.0,54.0,11.0,25.0,68.0,876.0,6.0,57.0
1747,30.0,32.0,17.0,1.0,21.0,15.0,8.0,6.0,88.0,130.0,28.0,13.0,33.0,170.0,7.0,78.0,2.0,5.0,59.0,151.0,44.0,3.0,24.0,11.0,65.0,18.0,29.0,342.0,80.0,22.0
1796,3.0,6.0,27.0,14.0,22.0,10.0,2.0,8.0,0.0,45.0,39.0,51.0,4.0,13.0,11.0,17.0,28.0,23.0,216.0,112.0,35.0,1.0,326.0,15.0,26.0,29.0,5558.0,21.0,58.0,34.0
1845,25.0,7.0,11.0,6.0,23.0,20.0,1.0,17.0,0.0,9.0,45.0,15.0,5.0,24.0,10.0,27.0,60.0,22.0,114.0,47.0,420.0,2.0,36.0,33.0,91.0,4.0,18.0,29.0,26.0,31.0
1894,161.0,58.0,4.0,3.0,83.0,45.0,2.0,84.0,1.0,134.0,74.0,37.0,69.0,14.0,12.0,185.0,172.0,0.0,10135.0,518.0,9.0,10.0,50.0,367.0,7.0,43.0,20.0,19047.0,943.0,27.0
1943,0.0,45.0,1.0,55.0,25.0,22.0,17.0,16.0,21.0,213.0,76.0,47.0,34.0,36.0,3.0,194.0,912.0,12.0,320.0,33.0,6.0,57.0,112.0,241.0,29.0,727.0,8.0,415.0,44.0,158.0
1992,1.0,43.0,28.0,3.0,5.0,9.0,38.0,36.0,14.0,16.0,1823.0,42.0,39.0,11008.0,2.0,48.0,991.0,381.0,10442.0,22.0,20.0,18.0,122.0,44.0,79.0,10.0,2009.0,76.0,15227.0,15.0
2041,3.0,6.0,29.0,0.0,4.0,5.0,30.0,2.0,51.0,41.0,17.0,9.0,46.0,139.0,7.0,25.0,16643.0,109.0,66.0,37.0,12.0,31.0,116.0,143.0,16907.0,186.0,151.0,15.0,898.0,22.0
2090,4.0,16.0,11.0,12.0,3.0,9.0,10.0,7.0,8.0,5.0,21.0,51.0,26.0,16772.0,1.0,599.0,1761.0,48.0,143.0,473.0,27.0,52.0,1226.0,22779.0,44.0,85.0,766.0,389.0,18218.0,40.0
2139,2.0,37.0,48.0,14.0,17.0,39.0,0.0,13.0,12.0,34.0,5.0,19.0,42.0,10930.0,3.0,17938.0,10263.0,269.0,64.0,11.0,35.0,16.0,672.0,4.0,260.0,1394.0,56.0,47.0,333.0,10152.0
2188,163.0,234.0,4.0,1.0,164.0,5.0,4340.0,21.0,603.0,284.0,61.0,147.0,222.0,8719.0,9.0,14524.0,9504.0,8147.0,10159.0,5287.0,10.0,223.0,168.0,7.0,1991.0,117.0,83.0,141.0,197.0,13.0
2237,7.0,64.0,3.0,0.0,8.0,80.0,95.0,40.0,31.0,30.0,60.0,2.0,9.0,16784.0,59.0,52.0,1596.0,16788.0,10175.0,933.0,136.0,20.0,817.0,1127.0,87.0,44.0,24.0,176.0,129.0,99.0
2286,9.0,11.0,5.0,29.0,57.0,7.0,20.0,16.0,88.0,37.0,35.0,3.0,264.0,16772.0,2.0,19.0,748.0,215.0,10184.0,3247.0,1.0,43.0,305.0,153.0,16981.0,194.0,46.0,240.0,2152.0,34.0
2335,12.0,19.0,41.0,14.0,13.0,0.0,11.0,18.0,60.0,8506.0,3.0,17632.0,87.0,16775.0,4.0,17.0,16674.0,89.0,148.0,81.0,47.0,63.0,27.0,61.0,3136.0,3146.0,48.0,42.0,1899.0,882.0
2384,3.0,25.0,6.0,2.0,31.0,9.0,382.0,12.0,1795.0,22.0,8.0,4.0,2915.0,55.0,5.0,70.0,1170.0,281.0,1053.0,285.0,34.0,1973.0,28.0,84.0,682.0,196.0,169.0,81.0,221.0,332.0
2433,0.0,5.0,10.0,1.0,13.0,75.0,6.0,168.0,63.0,3.0,17039.0,615.0,139.0,586.0,38.0,2.0,371.0,212.0,388.0,34.0,219.0,40.0,58.0,216.0,1945.0,2065.0,15.0,140.0,2307.0,14.0
2482,13.0,28.0,7.0,8.0,15.0,669.0,1.0,929.0,2.0,69.0,6.0,320.0,5.0,332.0,226.0,4.0,0.0,103.0,33.0,9.0,193.0,3.0,10.0,17.0,767.0,652.0,3494.0,267.0,12.0,126.0
2531,3.0,16.0,4.0,45.0,5.0,2.0,8.0,9632.0,24.0,7.0,0.0,3229.0,17.0,361.0,9819.0,23.0,16712.0,67.0,443.0,60.0,18697.0,949.0,1026.0,710.0,2988.0,807.0,137.0,22.0,52.0,96.0
2580,5.0,1.0,0.0,2.0,6.0,13.0,21.0,106.0,3.0,7.0,16640.0,2829.0,4.0,14.0,1095.0,34.0,16714.0,15.0,252.0,141.0,137.0,193.0,59.0,1009.0,2533.0,3224.0,20.0,413.0,2664.0,337.0
2629,134.0,5110.0,1067.0,18.0,119.0,1.0,65.0,35.0,96.0,67.0,3.0,79.0,480.0,5.0,148.0,0.0,30.0,101.0,877.0,834.0,993.0,3062.0,28.0,17.0,1372.0,359.0,391.0,236.0,12.0,14.0
2678,10.0,5.0,26.0,14.0,29.0,36.0,0.0,514.0,6.0,20.0,23.0,17.0,7.0,44.0,350.0,743.0,25.0,15.0,209.0,41.0,154.0,35.0,81.0,11.0,1257.0,23882.0,39.0,24.0,93.0,33.0
2727,5.0,145.0,38.0,32.0,31.0,0.0,13.0,51.0,26.0,188.0,1063.0,17.0,163.0,40.0,54.0,15564.0,124.0,1071.0,2892.0,5176.0,57.0,11.0,102.0,307.0,3093.0,1390.0,9.0,19053.0,23.0,82.0
2776,7.0,233.0,13.0,4.0,6.0,0.0,10.0,174.0,5.0,16.0,27.0,214.0,20.0,11.0,81.0,45.0,89.0,54.0,1622.0,111.0,78.0,51.0,25.0,17.0,105.0,442.0,19.0,69.0,90.0,16681.0
2825,12.0,18.0,22.0,8.0,40.0,1.0,29.0,1578.0,56.0,13.0,37.0,11.0,21.0,128.0,20.0,2.0,125.0,6.0,143.0,325.0,19.0,101.0,16.0,4.0,1513.0,231.0,9.0,75.0,27.0,16702.0
2874,2.0,16.0,691.0,1.0,13.0,3.0,44.0,15.0,359.0,9.0,6.0,12.0,3314.0,7.0,46.0,4.0,199.0,11.0,10425.0,187.0,14.0,173.0,8.0,39.0,1349.0,56.0,23.0,19689.0,20.0,21.0
2923,47.0,53.0,35.0,1.0,922.0,19.0,72.0,26.0,18.0,481.0,7.0,31.0,564.0,57.0,174.0,0.0,16709.0,229.0,10117.0,992.0,172.0,49.0,859.0,16.0,1790.0,1179.0,8.0,4.0,3.0,15.0
2972,11.0,6.0,3.0,1.0,89.0,0.0,153.0,47.0,102.0,55.0,25.0,54.0,784.0,200.0,35.0,19.0,2.0,1149.0,38.0,91.0,87.0,64.0,18.0,110.0,1468.0,69.0,20.0,115.0,14.0,41.0
3021,15.0,4.0,215.0,18.0,11.0,35.0,137.0,20.0,18705.0,9.0,14.0,17656.0,58.0,7.0,16.0,151.0,47.0,309.0,92.0,23.0,43.0,101.0,79.0,483.0,68.0,21.0,49.0,2156.0,18279.0,1.0
3070,1.0,28.0,139.0,30.0,13.0,0.0,83.0,557.0,4.0,60.0,3.0,2606.0,62.0,314.0,8614.0,228.0,10.0,12.0,24.0,39.0,392.0,204.0,16.0,34.0,176.0,1006.0,1069.0,79.0,7.0,32.0
3119,29.0,79.0,2.0,1.0,275.0,3.0,394.0,6.0,28.0,8869.0,0.0,8.0,12170.0,4.0,9078.0,35.0,3156.0,326.0,10.0,190.0,50.0,64.0,15.0,51.0,455.0,189.0,22.0,84.0,44.0,16.0
3168,1.0,5.0,94.0,16468.0,27.0,0.0,6.0,73.0,36.0,7.0,2.0,65.0,33.0,657.0,8711.0,24.0,53.0,222.0,41.0,56.0,50.0,8.0,226.0,223.0,16955.0,26.0,84.0,11.0,16.0,106.0
3217,4.0,36.0,0.0,12.0,69.0,1.0,3.0,22.0,25.0,28.0,5.0,2322.0,60.0,143.0,33.0,24.0,8.0,390.0,31.0,257.0,63.0,29.0,74.0,1803.0,6.0,68.0,81.0,2.0,181.0,19.0
3266,7.0,8.0,59.0,498.0,5.0,1.0,21.0,137.0,31.0,322.0,0.0,97.0,213.0,27.0,16.0,1279.0,194.0,184.0,11.0,2.0,363.0,26.0,124.0,579.0,197.0,2437.0,14.0,268.0,34.0,12.0
3315,16.0,22.0,12.0,8.0,49.0,4.0,38.0,36.0,20.0,41.0,5.0,0.0,155.0,84.0,45.0,15.0,137.0,318.0,96.0,187.0,55.0,238.0,104.0,56.0,10.0,43.0,25.0,219.0,3122.0,9.0
3364,0.0,9.0,19.0,3.0,39.0,5.0,13.0,6.0,113.0,10.0,1.0,2.0,146.0,305.0,362.0,15.0,12.0,17.0,53.0,14.0,68.0,218.0,16712.0,16.0,40.0,31.0,407.0,22.0,51.0,8.0
3413,0.0,6.0,3.0,11.0,7.0,1.0,10.0,249.0,54.0,24.0,32.0,5.0,662.0,73.0,56.0,39.0,203.0,275.0,2.0,104.0,532.0,2994.0,16663.0,48.0,71.0,165.0,15.0,57.0,220.0,123.0
3462,14.0,0.0,16916.0,9.0,45.0,164.0,5.0,97.0,10.0,16.0,36.0,3.0,15.0,2.0,28.0,3075.0,42.0,414.0,7.0,31.0,18707.0,69.0,34.0,82.0,26.0,325.0,156.0,19041.0,1.0,16698.0
3511,112.0,6660.0,240.0,40.0,1825.0,7.0,11579.0,13.0,2788.0,557.0,36.0,22.0,777.0,10.0,120.0,17.0,0.0,20.0,624.0,153.0,125.0,564.0,309.0,243.0,15.0,30.0,4757.0,490.0,18179.0,16662.0
3560,82.0,275.0,29.0,5.0,35.0,69.0,40.0,33.0,20.0,306.0,136.0,1.0,245.0,38.0,18.0,132.0,822.0,52.0,2744.0,6.0,12.0,326.0,751.0,160.0,2985.0,496.0,71.0,2455.0,170.0,252.0
3609,0.0,28.0,85.0,4.0,12.0,1.0,69.0,2.0,18618.0,40.0,16535.0,18.0,185.0,5.0,6.0,63.0,14.0,57.0,513.0,35.0,11.0,1379.0,305.0,50.0,39.0,141.0,863.0,227.0,154.0,785.0
3658,18834.0,174.0,189.0,1.0,763.0,148.0,11066.0,46.0,783.0,1098.0,129.0,3.0,266.0,31.0,65.0,59.0,28.0,12.0,9.0,1117.0,349.0,18898.0,137.0,33.0,70.0,14.0,66.0,58.0,63.0,16718.0
3707,123.0,7.0,0.0,23.0,16.0,142.0,171.0,10.0,18712.0,89.0,17017.0,13.0,12072.0,65.0,9.0,237.0,2.0,16783.0,137.0,299.0,85.0,566.0,27.0,728.0,1.0,60.0,31.0,121.0,8.0,16703.0
3756,3.0,1.0,48.0,14.0,7.0,0.0,37.0,1599.0,299.0,8.0,17029.0,25.0,17.0,123.0,110.0,29.0,402.0,4.0,23.0,5.0,242.0,18811.0,217.0,58.0,124.0,3226.0,13.0,19034.0,2.0,174.0
3805,2.0,6.0,27.0,109.0,13.0,391.0,1.0,17.0,12.0,73.0,343.0,23.0,49.0,157.0,8.0,1172.0,42.0,60.0,1083.0,10.0,44.0,7.0,315.0,26.0,550.0,20.0,81.0,19024.0,740.0,18.0
3854,16.0,6.0,1416.0,13.0,0.0,147.0,11520.0,23.0,18635.0,1.0,83.0,50.0,237.0,518.0,84.0,150.0,14.0,1399.0,322.0,2.0,4.0,592.0,314.0,104.0,32.0,8.0,118.0,848.0,262.0,447.0
3903,41.0,306.0,8.0,37.0,190.0,3.0,1927.0,87.0,19087.0,9634.0,488.0,1.0,580.0,40.0,14.0,128.0,132.0,31.0,322.0,720.0,7.0,1023.0,231.0,195.0,172.0,125.0,6.0,18967.0,0.0,22.0
3952,23.0,0.0,25.0,6.0,5.0,90.0,10.0,793.0,9.0,15.0,16.0,85.0,3.0,12.0,214.0,140.0,2.0,2449.0,11.0,7.0,210.0,4.0,867.0,37.0,24.0,322.0,5020.0,1.0,252.0,27.0
4001,11.0,0.0,3231.0,45.0,8.0,274.0,71.0,8768.0,14.0,16.0,1847.0,375.0,10.0,21.0,8764.0,3158.0,7.0,1060.0,12.0,18.0,1931.0,28.0,104.0,1.0,17.0,13.0,167.0,276.0,34.0,6.0
4050,38.0,39.0,22.0,45.0,7.0,4.0,3.0,5.0,1.0,18.0,20.0,804.0,160.0,444.0,161.0,1511.0,1228.0,217.0,26.0,11278.0,201.0,14.0,70.0,279.0,6.0,9.0,4999.0,11.0,3153.0,88.0
4099,4.0,2.0,8.0,25.0,0.0,16.0,106.0,7.0,12.0,236.0,109.0,191.0,34.0,64.0,8742.0,68.0,6.0,154.0,9.0,21.0,314.0,338.0,43.0,48.0,16936.0,24.0,6755.0,80.0,42.0,22.0
4148,2.0,0.0,12.0,23.0,5.0,92.0,430.0,42.0,41.0,701.0,16.0,34.0,15.0,6.0,732.0,238.0,11.0,25.0,3.0,52.0,30.0,627.0,53.0,4.0,1.0,8.0,1594.0,85.0,3002.0,24.0
4197,39.0,2.0,14.0,16.0,10.0,18.0,8.0,3.0,5.0,116.0,34.0,581.0,77.0,0.0,13.0,315.0,15.0,40.0,17.0,12.0,18708.0,23.0,22.0,7.0,537.0,396.0,319.0,20.0,324.0,21.0
4246,20.0,1.0,64.0,3.0,0.0,2.0,46.0,6.0,8.0,11.0,85.0,176.0,17.0,21.0,7.0,955.0,359.0,8154.0,5.0,60.0,117.0,487.0,96.0,26.0,5829.0,1672.0,1466.0,28.0,2896.0,23.0
4295,4.0,3.0,0.0,17.0,64.0,9.0,26.0,76.0,280.0,1.0,49.0,18.0,23.0,33.0,24.0,3231.0,16.0,398.0,30.0,184.0,58.0,60.0,43.0,98.0,105.0,59.0,218.0,411.0,2074.0,103.0
4344,3.0,67.0,9.0,12.0,10.0,2.0,577.0,11.0,46.0,1.0,83.0,149.0,47.0,14.0,92.0,90.0,35.0,16791.0,8.0,36.0,23.0,3164.0,105.0,4.0,0.0,17.0,159.0,7.0,118.0,504.0
4393,8.0,5.0,4.0,22.0,9.0,1.0,48.0,13.0,2.0,23.0,233.0,14.0,12.0,0.0,130.0,15515.0,45.0,245.0,17.0,65.0,57.0,26.0,110.0,63.0,24.0,44.0,62.0,38.0,2498.0,16665.0
4442,2.0,15.0,9.0,4.0,133.0,7.0,18.0,199.0,3.0,47.0,0.0,342.0,12.0,26.0,521.0,141.0,51.0,35.0,34.0,273.0,404.0,1.0,45.0,37.0,695.0,93.0,65.0,5.0,16.0,43.0
4491,8.0,11.0,0.0,112.0,14.0,6.0,19.0,883.0,18.0,219.0,118.0,2854.0,23.0,49.0,8727.0,193.0,128.0,50.0,34.0,37.0,136.0,12.0,329.0,138.0,63.0,3201.0,91.0,31.0,1.0,7.0
4540,1.0,550.0,3.0,6.0,3137.0,16.0,527.0,45.0,58.0,4.0,33.0,560.0,197.0,44.0,9197.0,14451.0,28.0,56.0,11.0,118.0,57.0,519.0,10302.0,3098.0,901.0,21713.0,7.0,10.0,0.0,116.0
4589,1.0,5.0,0.0,21.0,18.0,303.0,38.0,15.0,74.0,24.0,12.0,17615.0,13.0,42.0,46.0,131.0,228.0,22.0,81.0,55.0,36.0,1893.0,315.0,396.0,455.0,1438.0,10.0,14.0,23.0,126.0
4638,26.0,8.0,6.0,10.0,5.0,17.0,2.0,34.0,0.0,331.0,31.0,2581.0,313.0,9.0,53.0,132.0,27.0,1.0,65.0,1038.0,33.0,177.0,96.0,87.0,108.0,144.0,70.0,115.0,56.0,18.0
4687,1.0,5.0,73.0,0.0,16.0,4.0,30.0,31.0,763.0,9.0,2.0,392.0,15.0,10.0,144.0,28.0,68.0,8.0,25.0,12.0,163.0,635.0,42.0,200.0,80.0,77.0,39.0,18.0,3.0,27.0
4736,25.0,2.0,1.0,39.0,52.0,13.0,11075.0,38.0,217.0,8.0,63.0,17.0,12001.0,32.0,529.0,64.0,0.0,9.0,26.0,49.0,575.0,18837.0,261.0,2513.0,469.0,424.0,71.0,22.0,267.0,54.0
4785,45.0,49.0,60.0,9.0,28.0,52.0,67.0,8.0,119.0,150.0,64.0,17639.0,20.0,2.0,82.0,221.0,12.0,4.0,96.0,306.0,32.0,54.0,353.0,79.0,73.0,17.0,23.0,27.0,26.0,16709.0
4834,5.0,19.0,6.0,601.0,34.0,61.0,0.0,4.0,2.0,20.0,68.0,166.0,10.0,249.0,115.0,49.0,18.0,764.0,93.0,2677.0,18639.0,14.0,116.0,691.0,26.0,319.0,188.0,30.0,12.0,124.0
4883,0.0,5.0,148.0,483.0,10.0,1.0,6.0,72.0,7.0,36.0,2.0,25.0,66.0,17.0,525.0,29.0,21.0,8.0,80.0,13.0,114.0,9.0,48.0,632.0,82.0,42.0,165.0,70.0,12.0,726.0
