,Akt_pS473,RAD51,GATA3,MSH6,Chk1,Stathmin,Heregulin,PRAS40_pT246,VAV1,Caspase-7_cleavedD198,NDRG1_pT346,Lck,Tuberin_pT1462,p27_pT157,Chk1_pS345,MAPK_pT202_Y204,Bcl-2,VHL,Rictor_pT1135,Bax,PKC-alpha,HER3,A-Raf_pS299,GSK3_pS9,Akt,CDK1,p62 Lck ligand,Porin,XBP1,NF-kB-p65_pS536
0,0.0,1.0,9.0,4.0,2.0,21.0,3.0,36.0,10.0,15.0,8.0,11.0,39.0,12.0,7.0,6.0,18.0,47.0,17.0,85.0,128.0,43.0,22.0,67.0,33.0,50.0,101.0,93.0,114.0,130.0
49,0.0,8.0,28.0,7.0,2.0,5.0,1.0,3.0,13.0,10.0,4.0,6.0,9.0,17.0,35.0,15.0,110.0,38.0,25.0,11.0,137.0,39.0,23.0,136.0,76.0,21.0,66.0,101.0,32.0,48.0
98,0.0,1.0,2.0,20.0,11.0,3.0,5.0,4.0,67.0,9.0,6.0,8.0,15.0,28.0,30.0,7.0,107.0,18.0,31.0,101.0,43.0,16.0,26.0,149.0,123.0,22.0,143.0,117.0,71.0,53.0
147,0.0,1.0,4.0,71.0,5.0,123.0,2.0,9.0,8.0,12.0,3.0,7.0,17.0,51.0,22.0,6.0,33.0,78.0,14.0,10.0,156.0,108.0,36.0,87.0,61.0,11.0,43.0,25.0,46.0,153.0
196,1.0,2.0,8.0,0.0,7.0,19.0,4.0,11.0,14.0,5.0,3.0,24.0,13.0,41.0,37.0,21.0,23.0,12.0,112.0,6.0,38.0,39.0,17.0,30.0,36.0,98.0,78.0,105.0,46.0,99.0
245,0.0,5.0,48.0,2.0,35.0,10.0,1.0,4.0,8.0,9.0,3.0,12.0,17.0,31.0,15.0,73.0,39.0,19.0,33.0,32.0,43.0,36.0,18.0,78.0,87.0,41.0,69.0,140.0,6.0,122.0
294,0.0,1.0,4.0,18.0,8.0,13.0,2.0,3.0,20.0,5.0,7.0,14.0,161.0,23.0,57.0,6.0,22.0,10.0,29.0,91.0,141.0,69.0,11.0,40.0,15.0,162.0,72.0,76.0,70.0,47.0
343,0.0,1.0,6.0,3.0,2.0,5.0,7.0,8.0,34.0,15.0,14.0,9.0,24.0,39.0,65.0,4.0,70.0,18.0,23.0,35.0,36.0,29.0,11.0,12.0,62.0,57.0,78.0,138.0,61.0,92.0
392,0.0,2.0,1.0,3.0,10.0,21.0,5.0,6.0,8.0,12.0,11.0,4.0,17.0,38.0,13.0,15.0,156.0,22.0,30.0,36.0,39.0,23.0,24.0,28.0,35.0,9.0,33.0,79.0,143.0,105.0
441,0.0,5.0,6.0,4.0,7.0,10.0,3.0,2.0,8.0,1.0,9.0,12.0,34.0,66.0,15.0,13.0,39.0,18.0,14.0,19.0,21.0,24.0,37.0,75.0,50.0,22.0,63.0,93.0,140.0,54.0
490,0.0,4.0,3.0,7.0,2.0,9.0,5.0,14.0,1.0,10.0,33.0,17.0,15.0,28.0,8.0,6.0,43.0,101.0,59.0,37.0,72.0,105.0,34.0,11.0,41.0,26.0,30.0,22.0,45.0,74.0
539,0.0,2.0,3.0,1.0,5.0,6.0,4.0,7.0,48.0,8.0,11.0,30.0,22.0,40.0,10.0,12.0,110.0,50.0,47.0,13.0,29.0,34.0,87.0,9.0,32.0,17.0,35.0,60.0,51.0,43.0
588,0.0,5.0,2.0,1.0,3.0,4.0,7.0,6.0,11.0,26.0,14.0,8.0,18.0,12.0,25.0,9.0,126.0,58.0,19.0,64.0,50.0,74.0,56.0,20.0,10.0,16.0,94.0,100.0,54.0,123.0
637,0.0,1.0,9.0,3.0,2.0,4.0,5.0,14.0,6.0,45.0,20.0,22.0,8.0,25.0,7.0,23.0,34.0,18.0,21.0,31.0,19.0,102.0,49.0,17.0,24.0,39.0,98.0,55.0,12.0,62.0
686,0.0,1.0,2.0,3.0,5.0,8.0,7.0,18.0,15.0,19.0,6.0,21.0,4.0,11.0,16.0,10.0,12.0,22.0,37.0,55.0,14.0,29.0,40.0,9.0,27.0,17.0,146.0,13.0,25.0,101.0
735,0.0,3.0,1.0,5.0,20.0,4.0,23.0,75.0,15.0,9.0,16.0,7.0,6.0,32.0,2.0,10.0,27.0,137.0,70.0,51.0,22.0,88.0,113.0,17.0,44.0,85.0,25.0,13.0,28.0,104.0
784,0.0,4.0,3.0,1.0,2.0,7.0,8.0,32.0,31.0,44.0,21.0,12.0,5.0,6.0,9.0,38.0,27.0,13.0,50.0,17.0,11.0,40.0,72.0,23.0,43.0,19.0,10.0,14.0,118.0,104.0
833,0.0,2.0,1.0,10.0,3.0,7.0,12.0,4.0,8.0,75.0,14.0,18.0,5.0,38.0,24.0,16.0,97.0,26.0,56.0,66.0,11.0,101.0,149.0,99.0,133.0,34.0,25.0,65.0,15.0,19.0
882,0.0,1.0,2.0,3.0,44.0,7.0,13.0,5.0,27.0,6.0,9.0,17.0,4.0,31.0,26.0,55.0,87.0,35.0,40.0,34.0,21.0,30.0,63.0,77.0,51.0,8.0,12.0,49.0,28.0,25.0
931,0.0,2.0,1.0,4.0,3.0,8.0,9.0,17.0,25.0,12.0,6.0,66.0,16.0,5.0,13.0,23.0,120.0,33.0,94.0,133.0,11.0,30.0,100.0,10.0,46.0,28.0,85.0,61.0,35.0,117.0
980,0.0,1.0,3.0,5.0,2.0,8.0,4.0,17.0,10.0,29.0,6.0,7.0,41.0,15.0,19.0,14.0,9.0,69.0,32.0,86.0,11.0,50.0,28.0,47.0,35.0,20.0,135.0,13.0,26.0,16.0
1029,0.0,5.0,6.0,1.0,3.0,2.0,21.0,7.0,29.0,8.0,4.0,14.0,56.0,11.0,15.0,13.0,10.0,73.0,16.0,22.0,50.0,155.0,12.0,67.0,64.0,46.0,30.0,66.0,57.0,27.0
1078,0.0,11.0,17.0,7.0,5.0,2.0,6.0,4.0,9.0,13.0,3.0,21.0,38.0,8.0,10.0,1.0,12.0,100.0,48.0,71.0,65.0,14.0,18.0,19.0,27.0,96.0,53.0,122.0,32.0,41.0
1127,0.0,9.0,5.0,3.0,1.0,13.0,4.0,10.0,7.0,15.0,8.0,28.0,19.0,43.0,6.0,2.0,12.0,26.0,40.0,11.0,109.0,30.0,24.0,22.0,56.0,14.0,67.0,54.0,61.0,72.0
1176,0.0,5.0,14.0,1.0,4.0,10.0,8.0,7.0,12.0,52.0,21.0,11.0,85.0,20.0,6.0,9.0,13.0,24.0,36.0,39.0,84.0,104.0,15.0,81.0,17.0,44.0,32.0,23.0,109.0,70.0
1225,0.0,15.0,3.0,1.0,4.0,20.0,5.0,27.0,6.0,22.0,7.0,14.0,58.0,10.0,23.0,9.0,33.0,92.0,34.0,48.0,65.0,45.0,18.0,122.0,2.0,50.0,31.0,41.0,19.0,12.0
1274,0.0,16.0,6.0,5.0,1.0,3.0,2.0,17.0,7.0,11.0,28.0,78.0,27.0,29.0,10.0,14.0,26.0,45.0,39.0,69.0,31.0,40.0,21.0,114.0,13.0,23.0,55.0,47.0,49.0,92.0
1323,0.0,4.0,3.0,8.0,27.0,1.0,2.0,10.0,7.0,69.0,17.0,31.0,5.0,15.0,24.0,6.0,12.0,62.0,21.0,55.0,30.0,26.0,53.0,22.0,59.0,56.0,29.0,11.0,20.0,51.0
1372,0.0,1.0,8.0,15.0,3.0,2.0,7.0,6.0,5.0,10.0,4.0,16.0,45.0,40.0,38.0,39.0,78.0,31.0,9.0,25.0,42.0,49.0,26.0,22.0,92.0,23.0,29.0,32.0,21.0,17.0
1421,0.0,1.0,6.0,4.0,3.0,16.0,5.0,18.0,7.0,10.0,21.0,9.0,31.0,11.0,22.0,43.0,147.0,20.0,42.0,87.0,36.0,32.0,26.0,30.0,19.0,35.0,74.0,23.0,76.0,24.0
1470,0.0,1.0,15.0,12.0,10.0,3.0,8.0,5.0,6.0,9.0,4.0,7.0,24.0,18.0,21.0,2.0,63.0,100.0,11.0,126.0,62.0,35.0,147.0,14.0,34.0,40.0,77.0,106.0,46.0,43.0
1519,0.0,1.0,2.0,9.0,6.0,3.0,11.0,14.0,7.0,5.0,13.0,10.0,12.0,8.0,18.0,4.0,26.0,45.0,34.0,35.0,67.0,20.0,65.0,15.0,44.0,42.0,144.0,37.0,30.0,27.0
1568,0.0,1.0,5.0,10.0,7.0,2.0,3.0,14.0,21.0,8.0,4.0,6.0,25.0,13.0,17.0,9.0,126.0,24.0,71.0,15.0,53.0,11.0,160.0,29.0,89.0,85.0,33.0,40.0,77.0,26.0
1617,0.0,1.0,2.0,3.0,5.0,8.0,6.0,13.0,7.0,9.0,4.0,14.0,34.0,10.0,33.0,21.0,143.0,75.0,45.0,57.0,92.0,15.0,22.0,47.0,39.0,24.0,125.0,18.0,56.0,116.0
1666,0.0,1.0,5.0,2.0,7.0,6.0,9.0,11.0,16.0,3.0,4.0,30.0,20.0,68.0,14.0,8.0,23.0,18.0,60.0,25.0,40.0,86.0,112.0,26.0,46.0,120.0,10.0,97.0,95.0,133.0
1715,0.0,2.0,1.0,3.0,6.0,5.0,8.0,15.0,4.0,7.0,10.0,13.0,98.0,59.0,84.0,20.0,17.0,45.0,11.0,33.0,103.0,141.0,29.0,105.0,44.0,26.0,16.0,69.0,58.0,62.0
1764,0.0,1.0,3.0,4.0,14.0,12.0,2.0,11.0,16.0,19.0,5.0,6.0,120.0,7.0,13.0,10.0,73.0,63.0,9.0,35.0,26.0,67.0,23.0,45.0,49.0,21.0,65.0,37.0,112.0,8.0
1813,0.0,1.0,4.0,3.0,9.0,6.0,2.0,17.0,5.0,7.0,13.0,37.0,41.0,22.0,18.0,12.0,130.0,68.0,88.0,8.0,61.0,20.0,87.0,51.0,108.0,25.0,75.0,103.0,85.0,93.0
1862,1.0,0.0,2.0,7.0,8.0,6.0,3.0,16.0,13.0,5.0,4.0,32.0,75.0,19.0,35.0,18.0,107.0,76.0,10.0,39.0,83.0,38.0,56.0,51.0,100.0,31.0,27.0,49.0,99.0,86.0
1911,0.0,1.0,7.0,13.0,6.0,4.0,5.0,17.0,3.0,11.0,8.0,44.0,42.0,45.0,51.0,9.0,95.0,84.0,40.0,62.0,74.0,53.0,37.0,2.0,14.0,24.0,10.0,77.0,73.0,54.0
1960,0.0,2.0,11.0,3.0,1.0,5.0,7.0,13.0,6.0,17.0,36.0,4.0,25.0,14.0,20.0,29.0,53.0,30.0,15.0,49.0,12.0,16.0,47.0,44.0,28.0,161.0,64.0,33.0,22.0,122.0
2009,0.0,1.0,14.0,2.0,4.0,7.0,3.0,20.0,12.0,11.0,58.0,17.0,39.0,15.0,102.0,6.0,13.0,26.0,22.0,62.0,10.0,48.0,74.0,34.0,52.0,124.0,105.0,81.0,55.0,64.0
2058,0.0,2.0,5.0,1.0,16.0,8.0,4.0,11.0,6.0,13.0,55.0,33.0,24.0,114.0,14.0,3.0,10.0,21.0,98.0,20.0,9.0,42.0,31.0,83.0,15.0,62.0,26.0,40.0,76.0,150.0
2107,0.0,1.0,18.0,13.0,2.0,9.0,3.0,7.0,6.0,26.0,27.0,8.0,40.0,21.0,4.0,14.0,29.0,151.0,17.0,39.0,20.0,37.0,19.0,16.0,64.0,56.0,62.0,15.0,100.0,82.0
2156,0.0,2.0,3.0,1.0,4.0,5.0,10.0,29.0,6.0,17.0,80.0,45.0,12.0,81.0,21.0,7.0,16.0,33.0,9.0,89.0,59.0,26.0,20.0,83.0,14.0,60.0,41.0,18.0,23.0,58.0
2205,0.0,5.0,2.0,3.0,4.0,6.0,14.0,18.0,20.0,32.0,68.0,1.0,9.0,37.0,43.0,10.0,34.0,86.0,7.0,25.0,35.0,120.0,62.0,139.0,15.0,57.0,17.0,77.0,31.0,28.0
2254,0.0,5.0,3.0,4.0,1.0,2.0,6.0,7.0,12.0,22.0,69.0,10.0,31.0,9.0,78.0,14.0,16.0,41.0,13.0,48.0,24.0,21.0,11.0,56.0,72.0,117.0,121.0,29.0,93.0,100.0
2303,0.0,5.0,10.0,6.0,2.0,3.0,8.0,7.0,1.0,44.0,17.0,4.0,19.0,95.0,81.0,16.0,43.0,32.0,9.0,49.0,11.0,22.0,29.0,131.0,14.0,97.0,42.0,13.0,123.0,61.0
2352,0.0,7.0,14.0,3.0,5.0,1.0,4.0,51.0,8.0,39.0,29.0,13.0,15.0,137.0,10.0,114.0,16.0,32.0,33.0,47.0,9.0,53.0,11.0,46.0,12.0,117.0,20.0,50.0,122.0,136.0
2401,0.0,5.0,3.0,22.0,4.0,1.0,2.0,55.0,13.0,25.0,6.0,21.0,9.0,11.0,23.0,134.0,8.0,26.0,16.0,7.0,10.0,41.0,111.0,153.0,24.0,77.0,61.0,47.0,48.0,30.0
2450,0.0,2.0,3.0,8.0,26.0,1.0,39.0,5.0,10.0,4.0,12.0,147.0,86.0,15.0,6.0,68.0,40.0,18.0,23.0,7.0,153.0,46.0,136.0,30.0,72.0,31.0,9.0,14.0,24.0,41.0
2499,0.0,3.0,2.0,1.0,9.0,10.0,5.0,7.0,8.0,11.0,4.0,69.0,65.0,12.0,14.0,17.0,68.0,19.0,102.0,89.0,136.0,42.0,117.0,6.0,40.0,64.0,37.0,24.0,44.0,28.0
2548,0.0,1.0,3.0,5.0,7.0,13.0,23.0,2.0,14.0,4.0,6.0,16.0,21.0,26.0,12.0,37.0,36.0,29.0,92.0,27.0,77.0,63.0,42.0,80.0,124.0,126.0,25.0,108.0,19.0,24.0
2597,0.0,1.0,2.0,8.0,5.0,11.0,6.0,31.0,7.0,3.0,12.0,30.0,124.0,9.0,4.0,142.0,37.0,41.0,66.0,17.0,43.0,10.0,81.0,19.0,26.0,63.0,73.0,87.0,20.0,39.0
2646,0.0,4.0,1.0,16.0,9.0,2.0,11.0,23.0,19.0,5.0,7.0,41.0,12.0,3.0,13.0,86.0,15.0,92.0,42.0,14.0,24.0,78.0,45.0,37.0,51.0,26.0,57.0,95.0,20.0,8.0
2695,0.0,2.0,5.0,14.0,4.0,6.0,7.0,10.0,9.0,1.0,29.0,91.0,50.0,8.0,3.0,104.0,26.0,28.0,40.0,18.0,19.0,27.0,11.0,70.0,73.0,57.0,20.0,123.0,77.0,22.0
2744,0.0,4.0,1.0,3.0,10.0,11.0,5.0,2.0,6.0,7.0,39.0,47.0,16.0,9.0,8.0,58.0,33.0,15.0,101.0,45.0,32.0,14.0,34.0,163.0,62.0,55.0,18.0,43.0,67.0,13.0
2793,0.0,4.0,1.0,2.0,8.0,18.0,6.0,3.0,12.0,25.0,13.0,33.0,42.0,10.0,14.0,43.0,19.0,27.0,5.0,21.0,71.0,37.0,72.0,28.0,98.0,34.0,38.0,84.0,45.0,20.0
2842,0.0,17.0,1.0,5.0,6.0,12.0,4.0,2.0,14.0,3.0,7.0,111.0,8.0,19.0,10.0,55.0,20.0,11.0,9.0,53.0,39.0,45.0,79.0,23.0,141.0,50.0,61.0,58.0,60.0,18.0
2891,0.0,1.0,3.0,15.0,4.0,14.0,5.0,9.0,7.0,2.0,17.0,24.0,13.0,29.0,25.0,69.0,6.0,84.0,10.0,48.0,132.0,20.0,39.0,46.0,16.0,114.0,59.0,82.0,112.0,37.0
2940,0.0,3.0,4.0,10.0,31.0,5.0,1.0,24.0,2.0,19.0,8.0,18.0,11.0,21.0,59.0,6.0,17.0,106.0,16.0,43.0,97.0,101.0,122.0,151.0,76.0,34.0,46.0,14.0,107.0,20.0
2989,0.0,1.0,30.0,6.0,5.0,8.0,4.0,2.0,27.0,36.0,71.0,20.0,22.0,29.0,19.0,98.0,3.0,80.0,38.0,25.0,132.0,64.0,26.0,67.0,43.0,31.0,23.0,77.0,11.0,18.0
3038,0.0,1.0,4.0,14.0,7.0,24.0,3.0,2.0,11.0,6.0,19.0,10.0,22.0,15.0,18.0,82.0,93.0,68.0,98.0,17.0,64.0,21.0,36.0,39.0,85.0,76.0,38.0,35.0,12.0,5.0
3087,0.0,3.0,10.0,4.0,5.0,6.0,1.0,2.0,15.0,40.0,14.0,22.0,11.0,7.0,38.0,39.0,16.0,63.0,55.0,30.0,48.0,70.0,31.0,50.0,96.0,33.0,47.0,43.0,92.0,13.0
3136,0.0,5.0,3.0,2.0,7.0,15.0,1.0,4.0,16.0,8.0,25.0,23.0,18.0,9.0,27.0,57.0,121.0,12.0,60.0,41.0,51.0,46.0,93.0,50.0,39.0,130.0,55.0,31.0,17.0,6.0
3185,0.0,5.0,4.0,9.0,10.0,3.0,7.0,1.0,36.0,17.0,24.0,19.0,16.0,8.0,13.0,22.0,20.0,43.0,81.0,11.0,32.0,115.0,39.0,23.0,59.0,66.0,15.0,109.0,94.0,6.0
3234,0.0,2.0,7.0,1.0,3.0,12.0,6.0,5.0,16.0,21.0,22.0,43.0,10.0,11.0,8.0,45.0,53.0,33.0,77.0,13.0,17.0,25.0,28.0,63.0,80.0,150.0,68.0,18.0,15.0,4.0
3283,0.0,1.0,6.0,4.0,3.0,2.0,23.0,14.0,26.0,9.0,39.0,44.0,5.0,17.0,13.0,93.0,10.0,36.0,46.0,124.0,76.0,64.0,110.0,85.0,28.0,21.0,31.0,105.0,7.0,8.0
3332,0.0,5.0,3.0,1.0,2.0,4.0,8.0,11.0,9.0,6.0,25.0,16.0,7.0,26.0,18.0,31.0,110.0,65.0,50.0,75.0,63.0,56.0,91.0,21.0,10.0,30.0,35.0,45.0,19.0,12.0
3381,0.0,22.0,1.0,6.0,18.0,5.0,30.0,4.0,25.0,2.0,23.0,10.0,3.0,8.0,130.0,62.0,36.0,77.0,14.0,20.0,67.0,65.0,146.0,38.0,9.0,19.0,16.0,153.0,26.0,7.0
3430,0.0,11.0,5.0,8.0,14.0,4.0,1.0,9.0,2.0,7.0,13.0,10.0,22.0,31.0,67.0,21.0,3.0,69.0,30.0,6.0,19.0,16.0,15.0,40.0,127.0,20.0,44.0,26.0,24.0,128.0
3479,0.0,9.0,2.0,1.0,5.0,4.0,6.0,3.0,110.0,33.0,13.0,39.0,12.0,74.0,35.0,7.0,10.0,17.0,32.0,8.0,27.0,45.0,46.0,19.0,149.0,42.0,49.0,22.0,25.0,93.0
3528,0.0,6.0,5.0,14.0,2.0,15.0,3.0,7.0,24.0,10.0,12.0,18.0,8.0,53.0,58.0,13.0,4.0,77.0,51.0,1.0,11.0,31.0,43.0,136.0,23.0,63.0,89.0,28.0,25.0,30.0
3577,0.0,5.0,4.0,9.0,7.0,2.0,8.0,1.0,14.0,15.0,18.0,12.0,6.0,16.0,22.0,34.0,10.0,35.0,120.0,3.0,20.0,29.0,42.0,57.0,75.0,68.0,27.0,13.0,59.0,94.0
3626,0.0,4.0,9.0,2.0,5.0,3.0,6.0,1.0,32.0,15.0,12.0,13.0,7.0,16.0,31.0,56.0,10.0,18.0,70.0,17.0,8.0,30.0,19.0,24.0,48.0,41.0,11.0,35.0,58.0,47.0
3675,0.0,4.0,17.0,5.0,7.0,3.0,1.0,2.0,6.0,30.0,76.0,16.0,13.0,8.0,9.0,73.0,33.0,60.0,31.0,38.0,18.0,51.0,123.0,10.0,27.0,49.0,12.0,25.0,39.0,34.0
3724,0.0,4.0,10.0,70.0,7.0,5.0,1.0,2.0,42.0,6.0,81.0,38.0,18.0,49.0,17.0,68.0,3.0,46.0,74.0,8.0,26.0,9.0,40.0,97.0,50.0,12.0,36.0,15.0,13.0,112.0
3773,0.0,4.0,6.0,5.0,12.0,10.0,2.0,1.0,23.0,9.0,69.0,17.0,7.0,11.0,36.0,13.0,3.0,14.0,82.0,8.0,19.0,25.0,40.0,42.0,16.0,26.0,50.0,29.0,38.0,134.0
3822,0.0,14.0,4.0,7.0,6.0,1.0,30.0,3.0,38.0,20.0,24.0,10.0,44.0,55.0,40.0,19.0,5.0,18.0,39.0,2.0,8.0,60.0,12.0,131.0,82.0,22.0,28.0,61.0,56.0,42.0
3871,0.0,3.0,4.0,12.0,1.0,9.0,22.0,6.0,8.0,7.0,25.0,5.0,10.0,30.0,128.0,14.0,17.0,19.0,72.0,2.0,31.0,20.0,43.0,15.0,13.0,41.0,34.0,51.0,54.0,38.0
3920,0.0,3.0,4.0,11.0,1.0,10.0,5.0,12.0,6.0,33.0,2.0,70.0,9.0,40.0,7.0,27.0,57.0,28.0,93.0,19.0,25.0,64.0,39.0,17.0,54.0,53.0,13.0,35.0,18.0,14.0
3969,0.0,3.0,8.0,71.0,1.0,2.0,21.0,13.0,7.0,38.0,9.0,26.0,4.0,6.0,10.0,53.0,5.0,22.0,94.0,54.0,16.0,59.0,45.0,15.0,12.0,119.0,89.0,52.0,76.0,31.0
4018,0.0,3.0,5.0,4.0,1.0,2.0,8.0,6.0,24.0,28.0,14.0,74.0,20.0,13.0,51.0,31.0,12.0,29.0,17.0,19.0,15.0,87.0,16.0,18.0,38.0,56.0,10.0,30.0,90.0,9.0
4067,0.0,2.0,11.0,7.0,1.0,3.0,5.0,9.0,16.0,17.0,8.0,59.0,10.0,14.0,22.0,58.0,4.0,18.0,6.0,129.0,100.0,43.0,20.0,30.0,26.0,55.0,12.0,33.0,61.0,76.0
4116,0.0,3.0,24.0,18.0,1.0,2.0,12.0,5.0,21.0,10.0,9.0,46.0,6.0,8.0,52.0,16.0,4.0,19.0,7.0,41.0,53.0,34.0,43.0,122.0,32.0,90.0,11.0,37.0,50.0,47.0
4165,0.0,3.0,6.0,10.0,1.0,2.0,8.0,5.0,12.0,24.0,7.0,151.0,28.0,4.0,18.0,59.0,15.0,40.0,34.0,77.0,37.0,68.0,152.0,17.0,13.0,27.0,11.0,36.0,19.0,23.0
4214,0.0,6.0,3.0,47.0,2.0,5.0,1.0,14.0,11.0,28.0,22.0,112.0,4.0,7.0,32.0,93.0,50.0,39.0,9.0,19.0,65.0,20.0,76.0,25.0,158.0,13.0,8.0,15.0,108.0,99.0
4263,0.0,2.0,1.0,18.0,3.0,4.0,8.0,14.0,7.0,127.0,22.0,17.0,10.0,5.0,6.0,142.0,11.0,31.0,113.0,82.0,23.0,85.0,38.0,25.0,56.0,24.0,20.0,29.0,128.0,16.0
4312,0.0,3.0,2.0,8.0,5.0,4.0,6.0,13.0,1.0,69.0,35.0,36.0,10.0,7.0,21.0,38.0,11.0,45.0,18.0,61.0,16.0,110.0,48.0,20.0,39.0,95.0,19.0,43.0,28.0,15.0
4361,0.0,21.0,3.0,25.0,5.0,15.0,11.0,9.0,1.0,18.0,14.0,7.0,8.0,16.0,67.0,23.0,12.0,22.0,2.0,13.0,26.0,48.0,54.0,91.0,41.0,30.0,24.0,64.0,58.0,116.0
4410,0.0,2.0,4.0,6.0,5.0,1.0,24.0,20.0,58.0,3.0,9.0,13.0,110.0,102.0,116.0,103.0,28.0,95.0,35.0,12.0,8.0,23.0,14.0,83.0,54.0,135.0,69.0,51.0,98.0,19.0
4459,0.0,6.0,3.0,5.0,1.0,2.0,13.0,19.0,72.0,8.0,11.0,75.0,35.0,57.0,49.0,69.0,15.0,53.0,20.0,10.0,21.0,23.0,27.0,113.0,14.0,40.0,68.0,25.0,33.0,70.0
4508,0.0,1.0,2.0,9.0,3.0,11.0,14.0,35.0,4.0,6.0,12.0,23.0,32.0,44.0,25.0,16.0,17.0,68.0,7.0,36.0,28.0,20.0,19.0,73.0,8.0,49.0,88.0,89.0,41.0,31.0
4557,0.0,1.0,5.0,4.0,7.0,2.0,19.0,28.0,13.0,16.0,9.0,18.0,33.0,54.0,72.0,91.0,21.0,53.0,10.0,8.0,22.0,6.0,69.0,38.0,12.0,64.0,62.0,25.0,30.0,102.0
4606,0.0,1.0,6.0,4.0,3.0,2.0,60.0,53.0,20.0,10.0,28.0,40.0,12.0,39.0,19.0,26.0,13.0,21.0,7.0,18.0,15.0,33.0,161.0,11.0,5.0,17.0,69.0,149.0,9.0,153.0
4655,0.0,6.0,2.0,7.0,8.0,5.0,16.0,3.0,10.0,9.0,18.0,14.0,50.0,51.0,27.0,130.0,20.0,12.0,11.0,46.0,38.0,17.0,146.0,79.0,1.0,32.0,73.0,68.0,15.0,86.0
4704,0.0,2.0,6.0,4.0,3.0,5.0,11.0,10.0,9.0,12.0,15.0,24.0,42.0,88.0,34.0,21.0,17.0,30.0,7.0,95.0,63.0,90.0,128.0,57.0,8.0,65.0,97.0,47.0,32.0,27.0
4753,0.0,3.0,1.0,5.0,4.0,7.0,24.0,16.0,15.0,11.0,2.0,9.0,39.0,59.0,55.0,52.0,12.0,42.0,8.0,13.0,33.0,63.0,23.0,37.0,36.0,103.0,73.0,6.0,10.0,66.0
4802,0.0,3.0,2.0,23.0,1.0,20.0,26.0,10.0,63.0,64.0,14.0,16.0,9.0,103.0,35.0,143.0,17.0,5.0,31.0,11.0,70.0,6.0,45.0,33.0,4.0,42.0,118.0,29.0,48.0,59.0
4851,0.0,9.0,1.0,3.0,2.0,17.0,4.0,10.0,11.0,14.0,18.0,21.0,94.0,19.0,12.0,50.0,6.0,23.0,123.0,8.0,87.0,45.0,136.0,43.0,16.0,125.0,7.0,20.0,143.0,36.0
