,hsa-miR-424,ebv-miR-BART7,hsa-miR-636,hsa-miR-877,hsa-miR-371-3p,hsa-miR-661,hsa-miR-30d,hsa-miR-1914,hsa-miR-2117,hsa-miR-196b,hsa-miR-1978,hsa-miR-1179,hsa-miR-1,hsa-miR-586,hsa-miR-576-3p,hsa-miR-582-3p,hsa-miR-583,hsa-miR-582-5p,hsa-miR-580,hsa-miR-584,hsa-miR-625,hsa-miR-581,hsa-miR-587,hsa-miR-578,hsa-miR-579,hsa-miR-588,hsa-miR-577,hsa-miR-589,hsa-miR-576-5p,hsa-miR-590-3p
20,12.0,191.0,274.0,42.0,28.0,259.0,597.0,375.0,33.0,45.0,481.0,32.0,429.0,65.0,29.0,61.0,59.0,60.0,56.0,57.0,39.0,63.0,53.0,58.0,54.0,50.0,55.0,51.0,64.0,52.0
69,12.0,3.0,271.0,307.0,23.0,2.0,31.0,5.0,560.0,479.0,36.0,30.0,428.0,55.0,64.0,61.0,58.0,59.0,52.0,56.0,71.0,62.0,11.0,57.0,63.0,19.0,54.0,46.0,53.0,20.0
118,17.0,16.0,273.0,44.0,18.0,4.0,40.0,373.0,558.0,381.0,576.0,39.0,1.0,56.0,34.0,51.0,53.0,62.0,52.0,61.0,74.0,49.0,47.0,58.0,55.0,57.0,59.0,54.0,60.0,50.0
167,20.0,1.0,23.0,7.0,4.0,13.0,34.0,26.0,39.0,381.0,32.0,33.0,5.0,36.0,61.0,53.0,51.0,52.0,50.0,62.0,71.0,54.0,48.0,58.0,57.0,49.0,59.0,45.0,60.0,46.0
216,6.0,24.0,1.0,322.0,11.0,30.0,598.0,372.0,7.0,380.0,22.0,40.0,428.0,64.0,142.0,68.0,66.0,67.0,74.0,65.0,31.0,70.0,63.0,105.0,104.0,62.0,140.0,61.0,141.0,60.0
265,534.0,17.0,268.0,306.0,1.0,26.0,18.0,28.0,556.0,378.0,575.0,43.0,42.0,68.0,9.0,65.0,57.0,56.0,61.0,69.0,82.0,64.0,67.0,167.0,54.0,66.0,105.0,63.0,104.0,19.0
314,495.0,187.0,173.0,16.0,6.0,255.0,4.0,26.0,32.0,379.0,554.0,435.0,1.0,44.0,59.0,62.0,43.0,42.0,49.0,47.0,48.0,50.0,45.0,56.0,51.0,46.0,57.0,63.0,58.0,65.0
363,0.0,8.0,38.0,23.0,15.0,4.0,19.0,3.0,557.0,379.0,47.0,33.0,428.0,69.0,63.0,52.0,50.0,51.0,57.0,53.0,61.0,56.0,84.0,55.0,58.0,71.0,59.0,97.0,60.0,96.0
412,7.0,8.0,3.0,309.0,15.0,254.0,20.0,36.0,591.0,39.0,40.0,35.0,428.0,19.0,10.0,67.0,48.0,47.0,57.0,53.0,95.0,56.0,50.0,60.0,58.0,51.0,63.0,52.0,64.0,68.0
461,31.0,37.0,284.0,203.0,481.0,14.0,25.0,374.0,8.0,16.0,0.0,435.0,427.0,51.0,27.0,54.0,49.0,48.0,44.0,50.0,183.0,47.0,52.0,42.0,43.0,53.0,41.0,55.0,56.0,73.0
510,2.0,189.0,23.0,20.0,498.0,7.0,3.0,29.0,0.0,40.0,33.0,41.0,428.0,18.0,10.0,58.0,51.0,64.0,61.0,50.0,35.0,65.0,49.0,45.0,63.0,48.0,57.0,46.0,54.0,59.0
559,15.0,0.0,37.0,28.0,39.0,11.0,35.0,3.0,5.0,4.0,6.0,33.0,426.0,17.0,54.0,55.0,50.0,59.0,42.0,58.0,34.0,44.0,53.0,60.0,49.0,52.0,57.0,51.0,56.0,48.0
608,12.0,2.0,45.0,26.0,495.0,255.0,610.0,369.0,30.0,0.0,3.0,33.0,35.0,51.0,37.0,56.0,54.0,55.0,50.0,61.0,29.0,58.0,60.0,59.0,52.0,47.0,57.0,48.0,53.0,27.0
657,0.0,1.0,41.0,8.0,481.0,14.0,594.0,11.0,3.0,22.0,379.0,4.0,426.0,16.0,58.0,53.0,51.0,52.0,54.0,50.0,35.0,48.0,49.0,40.0,55.0,61.0,56.0,33.0,57.0,45.0
706,4.0,5.0,37.0,10.0,496.0,256.0,595.0,28.0,23.0,3.0,478.0,41.0,428.0,27.0,147.0,103.0,61.0,59.0,106.0,62.0,22.0,105.0,65.0,14.0,107.0,72.0,145.0,66.0,146.0,67.0
755,0.0,185.0,6.0,18.0,498.0,36.0,20.0,369.0,5.0,377.0,37.0,32.0,427.0,47.0,30.0,54.0,52.0,53.0,56.0,62.0,40.0,55.0,46.0,1.0,25.0,44.0,61.0,48.0,92.0,43.0
804,2.0,188.0,33.0,309.0,481.0,29.0,19.0,370.0,32.0,378.0,479.0,40.0,3.0,61.0,143.0,34.0,63.0,65.0,70.0,62.0,81.0,69.0,24.0,11.0,74.0,57.0,106.0,71.0,107.0,49.0
853,0.0,1.0,22.0,20.0,481.0,29.0,612.0,368.0,35.0,39.0,380.0,435.0,43.0,18.0,84.0,62.0,67.0,58.0,63.0,55.0,37.0,68.0,53.0,57.0,66.0,50.0,64.0,49.0,51.0,48.0
902,7.0,9.0,318.0,21.0,498.0,35.0,20.0,370.0,41.0,377.0,33.0,3.0,43.0,51.0,81.0,25.0,52.0,55.0,59.0,45.0,49.0,57.0,46.0,62.0,61.0,48.0,64.0,50.0,65.0,54.0
951,13.0,3.0,30.0,324.0,481.0,0.0,27.0,373.0,38.0,4.0,479.0,6.0,427.0,45.0,62.0,51.0,48.0,63.0,53.0,46.0,33.0,52.0,44.0,19.0,54.0,43.0,60.0,41.0,61.0,47.0
1000,23.0,37.0,17.0,3.0,481.0,311.0,5.0,14.0,0.0,16.0,39.0,40.0,426.0,52.0,65.0,55.0,50.0,49.0,45.0,51.0,183.0,46.0,53.0,43.0,44.0,54.0,42.0,56.0,47.0,74.0
1049,6.0,188.0,276.0,23.0,496.0,3.0,18.0,34.0,38.0,37.0,554.0,35.0,41.0,95.0,27.0,53.0,83.0,51.0,58.0,71.0,61.0,55.0,70.0,64.0,69.0,93.0,65.0,91.0,67.0,90.0
1098,515.0,0.0,31.0,322.0,480.0,8.0,22.0,1.0,37.0,466.0,41.0,433.0,425.0,13.0,53.0,62.0,54.0,55.0,49.0,58.0,69.0,60.0,56.0,64.0,47.0,63.0,61.0,52.0,59.0,50.0
1147,5.0,30.0,43.0,26.0,484.0,256.0,596.0,372.0,3.0,36.0,0.0,33.0,42.0,18.0,60.0,51.0,47.0,48.0,46.0,63.0,37.0,52.0,94.0,66.0,55.0,68.0,62.0,93.0,61.0,91.0
1196,494.0,235.0,286.0,238.0,497.0,313.0,34.0,6.0,21.0,378.0,5.0,435.0,45.0,2.0,63.0,53.0,54.0,60.0,51.0,56.0,292.0,52.0,58.0,49.0,50.0,59.0,48.0,77.0,62.0,35.0
1245,13.0,188.0,0.0,306.0,481.0,257.0,4.0,372.0,30.0,1.0,480.0,434.0,37.0,54.0,49.0,42.0,56.0,50.0,58.0,55.0,68.0,59.0,61.0,53.0,57.0,47.0,52.0,60.0,51.0,88.0
1294,5.0,182.0,285.0,14.0,495.0,251.0,609.0,370.0,3.0,29.0,620.0,433.0,31.0,54.0,40.0,36.0,44.0,56.0,48.0,55.0,42.0,52.0,53.0,47.0,50.0,51.0,43.0,49.0,45.0,57.0
1343,7.0,0.0,37.0,308.0,515.0,4.0,20.0,39.0,33.0,32.0,579.0,436.0,428.0,15.0,48.0,56.0,52.0,54.0,59.0,50.0,42.0,58.0,94.0,61.0,60.0,93.0,62.0,92.0,63.0,91.0
1392,517.0,2.0,3.0,323.0,496.0,254.0,595.0,8.0,40.0,380.0,36.0,436.0,428.0,12.0,27.0,52.0,51.0,48.0,54.0,50.0,66.0,53.0,49.0,56.0,55.0,59.0,57.0,47.0,58.0,46.0
1441,2.0,8.0,9.0,323.0,495.0,31.0,25.0,5.0,38.0,376.0,477.0,7.0,426.0,50.0,30.0,52.0,47.0,51.0,54.0,43.0,59.0,53.0,40.0,56.0,55.0,46.0,57.0,48.0,58.0,66.0
1490,496.0,17.0,0.0,25.0,32.0,8.0,609.0,9.0,3.0,2.0,377.0,33.0,4.0,44.0,58.0,50.0,61.0,49.0,53.0,45.0,75.0,52.0,47.0,55.0,54.0,46.0,56.0,42.0,57.0,51.0
1539,27.0,233.0,0.0,21.0,481.0,9.0,33.0,8.0,3.0,7.0,11.0,435.0,427.0,35.0,67.0,50.0,53.0,51.0,47.0,54.0,165.0,48.0,56.0,45.0,46.0,58.0,44.0,77.0,49.0,94.0
1588,3.0,186.0,0.0,41.0,482.0,256.0,27.0,374.0,38.0,36.0,6.0,5.0,426.0,49.0,56.0,10.0,53.0,58.0,50.0,59.0,66.0,52.0,47.0,44.0,46.0,45.0,48.0,43.0,57.0,60.0
1637,2.0,228.0,0.0,254.0,482.0,4.0,596.0,372.0,37.0,379.0,39.0,43.0,427.0,33.0,56.0,51.0,54.0,52.0,55.0,65.0,274.0,50.0,75.0,47.0,48.0,76.0,46.0,95.0,45.0,96.0
1686,494.0,2.0,0.0,308.0,15.0,29.0,21.0,41.0,33.0,382.0,42.0,36.0,429.0,16.0,63.0,53.0,49.0,51.0,55.0,48.0,65.0,52.0,50.0,28.0,57.0,66.0,61.0,96.0,62.0,68.0
1735,13.0,4.0,3.0,24.0,481.0,254.0,7.0,368.0,29.0,376.0,477.0,0.0,425.0,5.0,52.0,12.0,50.0,51.0,54.0,49.0,70.0,53.0,46.0,47.0,57.0,43.0,56.0,45.0,55.0,95.0
1784,0.0,17.0,14.0,320.0,6.0,8.0,597.0,372.0,39.0,4.0,478.0,33.0,31.0,13.0,46.0,50.0,61.0,53.0,59.0,58.0,71.0,60.0,55.0,56.0,57.0,54.0,52.0,51.0,44.0,62.0
1833,496.0,18.0,0.0,307.0,495.0,30.0,609.0,371.0,25.0,379.0,7.0,4.0,41.0,34.0,142.0,68.0,66.0,67.0,70.0,64.0,83.0,69.0,62.0,155.0,74.0,61.0,107.0,59.0,141.0,57.0
1882,18.0,187.0,5.0,36.0,4.0,10.0,595.0,26.0,3.0,37.0,554.0,38.0,428.0,1.0,86.0,59.0,61.0,56.0,58.0,57.0,69.0,44.0,55.0,50.0,60.0,54.0,49.0,53.0,51.0,52.0
1931,534.0,17.0,1.0,37.0,24.0,10.0,41.0,32.0,36.0,379.0,575.0,28.0,427.0,53.0,44.0,50.0,58.0,60.0,55.0,57.0,67.0,56.0,51.0,52.0,54.0,59.0,48.0,47.0,45.0,46.0
1980,516.0,185.0,24.0,31.0,8.0,253.0,594.0,0.0,2.0,41.0,467.0,40.0,426.0,93.0,22.0,5.0,67.0,68.0,51.0,94.0,55.0,44.0,92.0,46.0,52.0,91.0,47.0,89.0,49.0,88.0
2029,35.0,189.0,2.0,323.0,498.0,28.0,610.0,0.0,591.0,25.0,23.0,436.0,428.0,65.0,14.0,74.0,68.0,69.0,166.0,67.0,85.0,107.0,64.0,143.0,108.0,63.0,145.0,62.0,146.0,61.0
2078,3.0,13.0,6.0,324.0,482.0,7.0,596.0,5.0,572.0,30.0,479.0,35.0,2.0,55.0,45.0,61.0,56.0,57.0,50.0,10.0,70.0,47.0,54.0,51.0,59.0,53.0,49.0,52.0,60.0,48.0
2127,22.0,0.0,38.0,9.0,483.0,311.0,598.0,4.0,574.0,378.0,17.0,40.0,45.0,103.0,55.0,57.0,62.0,58.0,48.0,77.0,36.0,60.0,78.0,51.0,49.0,97.0,53.0,98.0,54.0,99.0
2176,32.0,7.0,36.0,21.0,15.0,3.0,600.0,47.0,44.0,379.0,41.0,42.0,427.0,14.0,23.0,98.0,97.0,74.0,49.0,94.0,40.0,71.0,92.0,52.0,51.0,91.0,56.0,90.0,58.0,89.0
2225,497.0,16.0,174.0,308.0,23.0,254.0,7.0,370.0,572.0,35.0,479.0,28.0,2.0,48.0,0.0,56.0,51.0,52.0,45.0,50.0,72.0,58.0,46.0,55.0,57.0,49.0,54.0,47.0,53.0,59.0
2274,5.0,17.0,42.0,323.0,1.0,253.0,596.0,36.0,38.0,4.0,479.0,6.0,31.0,13.0,37.0,44.0,50.0,45.0,48.0,57.0,72.0,46.0,55.0,56.0,53.0,54.0,59.0,52.0,58.0,51.0
2323,13.0,16.0,175.0,323.0,498.0,2.0,596.0,0.0,559.0,36.0,576.0,435.0,4.0,33.0,133.0,64.0,51.0,53.0,60.0,46.0,54.0,58.0,65.0,52.0,43.0,92.0,45.0,91.0,76.0,90.0
2372,4.0,8.0,274.0,2.0,32.0,17.0,595.0,3.0,35.0,378.0,41.0,37.0,429.0,46.0,57.0,5.0,49.0,50.0,52.0,61.0,38.0,51.0,47.0,54.0,48.0,45.0,55.0,44.0,56.0,53.0
2421,2.0,10.0,23.0,21.0,496.0,257.0,597.0,32.0,37.0,40.0,6.0,38.0,427.0,55.0,26.0,49.0,47.0,48.0,53.0,44.0,51.0,50.0,70.0,57.0,68.0,83.0,58.0,95.0,60.0,94.0
2470,18.0,189.0,3.0,312.0,498.0,259.0,10.0,27.0,0.0,35.0,405.0,44.0,40.0,54.0,166.0,57.0,59.0,58.0,51.0,46.0,71.0,55.0,56.0,60.0,52.0,53.0,47.0,49.0,99.0,50.0
2519,6.0,5.0,36.0,324.0,0.0,8.0,11.0,9.0,31.0,376.0,381.0,35.0,3.0,4.0,44.0,49.0,46.0,60.0,55.0,53.0,33.0,52.0,57.0,59.0,58.0,56.0,51.0,54.0,47.0,50.0
2568,19.0,15.0,181.0,311.0,20.0,260.0,629.0,9.0,32.0,4.0,404.0,436.0,31.0,57.0,91.0,54.0,63.0,61.0,65.0,55.0,75.0,51.0,62.0,58.0,64.0,60.0,52.0,59.0,47.0,53.0
2617,9.0,186.0,270.0,323.0,18.0,3.0,24.0,45.0,43.0,34.0,554.0,37.0,1.0,48.0,0.0,55.0,50.0,56.0,60.0,47.0,67.0,59.0,53.0,63.0,61.0,58.0,64.0,68.0,65.0,81.0
2666,0.0,2.0,1.0,8.0,480.0,256.0,6.0,21.0,38.0,378.0,479.0,434.0,28.0,61.0,36.0,53.0,51.0,52.0,54.0,50.0,68.0,49.0,48.0,56.0,55.0,46.0,57.0,45.0,58.0,44.0
2715,4.0,3.0,2.0,24.0,6.0,258.0,11.0,7.0,39.0,478.0,26.0,435.0,36.0,47.0,56.0,51.0,52.0,53.0,57.0,61.0,74.0,55.0,45.0,60.0,59.0,46.0,50.0,48.0,58.0,49.0
2764,7.0,6.0,41.0,308.0,1.0,260.0,0.0,377.0,574.0,479.0,577.0,33.0,39.0,50.0,67.0,20.0,53.0,68.0,58.0,51.0,101.0,55.0,48.0,63.0,62.0,49.0,64.0,52.0,65.0,69.0
2813,0.0,17.0,3.0,39.0,11.0,27.0,21.0,26.0,574.0,377.0,23.0,42.0,43.0,69.0,1.0,108.0,107.0,157.0,144.0,71.0,86.0,143.0,68.0,148.0,145.0,67.0,149.0,66.0,150.0,65.0
2862,1.0,188.0,0.0,307.0,483.0,256.0,596.0,372.0,36.0,380.0,33.0,34.0,428.0,55.0,23.0,48.0,46.0,47.0,52.0,45.0,57.0,51.0,70.0,56.0,54.0,83.0,68.0,71.0,58.0,95.0
2911,12.0,10.0,43.0,23.0,482.0,256.0,18.0,372.0,48.0,379.0,480.0,435.0,47.0,2.0,27.0,50.0,52.0,49.0,66.0,58.0,39.0,51.0,97.0,21.0,56.0,68.0,59.0,95.0,60.0,94.0
2960,516.0,223.0,283.0,11.0,495.0,4.0,28.0,7.0,21.0,2.0,0.0,434.0,426.0,32.0,27.0,48.0,39.0,49.0,46.0,54.0,30.0,47.0,56.0,58.0,45.0,57.0,59.0,33.0,60.0,77.0
3009,27.0,42.0,7.0,208.0,1.0,316.0,33.0,9.0,22.0,467.0,43.0,0.0,46.0,58.0,32.0,34.0,56.0,55.0,50.0,57.0,21.0,51.0,78.0,48.0,49.0,79.0,59.0,80.0,60.0,37.0
3058,13.0,3.0,26.0,10.0,481.0,9.0,596.0,369.0,556.0,376.0,34.0,431.0,29.0,20.0,48.0,15.0,52.0,54.0,49.0,51.0,33.0,57.0,46.0,56.0,53.0,45.0,59.0,44.0,50.0,23.0
3107,494.0,1.0,11.0,217.0,514.0,6.0,25.0,16.0,571.0,377.0,38.0,3.0,39.0,2.0,57.0,49.0,51.0,50.0,46.0,52.0,7.0,47.0,54.0,26.0,45.0,72.0,43.0,73.0,56.0,74.0
3156,9.0,10.0,248.0,23.0,3.0,1.0,609.0,0.0,43.0,33.0,4.0,434.0,37.0,20.0,62.0,55.0,63.0,53.0,57.0,21.0,44.0,56.0,50.0,59.0,58.0,51.0,60.0,48.0,61.0,49.0
3205,27.0,0.0,2.0,206.0,29.0,7.0,35.0,6.0,22.0,376.0,42.0,45.0,426.0,3.0,34.0,51.0,54.0,53.0,49.0,55.0,41.0,50.0,57.0,47.0,48.0,59.0,58.0,77.0,60.0,78.0
3254,40.0,30.0,1.0,324.0,496.0,34.0,3.0,32.0,28.0,380.0,2.0,44.0,45.0,0.0,6.0,77.0,72.0,73.0,142.0,70.0,27.0,171.0,68.0,145.0,144.0,67.0,146.0,66.0,148.0,64.0
3303,494.0,8.0,24.0,309.0,18.0,2.0,21.0,0.0,572.0,30.0,42.0,34.0,428.0,3.0,153.0,57.0,52.0,56.0,60.0,54.0,87.0,58.0,53.0,62.0,61.0,64.0,63.0,48.0,81.0,50.0
3352,496.0,17.0,7.0,2.0,0.0,255.0,3.0,6.0,32.0,31.0,11.0,433.0,38.0,23.0,20.0,68.0,64.0,65.0,105.0,63.0,34.0,69.0,61.0,107.0,106.0,60.0,141.0,59.0,142.0,57.0
3401,516.0,30.0,287.0,3.0,28.0,7.0,4.0,1.0,556.0,380.0,41.0,434.0,44.0,39.0,59.0,51.0,54.0,53.0,48.0,55.0,38.0,49.0,58.0,46.0,47.0,77.0,45.0,94.0,57.0,78.0
3450,28.0,231.0,1.0,0.0,30.0,313.0,595.0,372.0,19.0,379.0,7.0,43.0,2.0,54.0,75.0,50.0,58.0,51.0,48.0,52.0,20.0,49.0,55.0,53.0,47.0,56.0,60.0,68.0,61.0,77.0
3499,496.0,47.0,20.0,0.0,481.0,311.0,594.0,368.0,573.0,4.0,11.0,434.0,426.0,36.0,34.0,35.0,50.0,51.0,54.0,49.0,32.0,53.0,69.0,56.0,55.0,78.0,57.0,79.0,58.0,80.0
3548,1.0,25.0,3.0,28.0,5.0,292.0,7.0,351.0,385.0,18.0,17.0,47.0,44.0,35.0,36.0,67.0,70.0,68.0,65.0,77.0,111.0,66.0,72.0,63.0,64.0,73.0,114.0,74.0,115.0,75.0
3597,0.0,2.0,26.0,323.0,480.0,253.0,24.0,41.0,556.0,376.0,477.0,434.0,426.0,20.0,77.0,52.0,50.0,51.0,56.0,49.0,53.0,64.0,46.0,42.0,57.0,45.0,63.0,44.0,61.0,55.0
3646,495.0,189.0,317.0,10.0,21.0,8.0,595.0,371.0,2.0,379.0,41.0,38.0,428.0,15.0,48.0,60.0,47.0,63.0,52.0,61.0,74.0,49.0,59.0,56.0,55.0,58.0,53.0,57.0,50.0,54.0
3695,1.0,230.0,0.0,12.0,29.0,314.0,598.0,374.0,558.0,9.0,40.0,434.0,426.0,32.0,56.0,49.0,47.0,48.0,51.0,46.0,20.0,50.0,77.0,53.0,52.0,102.0,54.0,78.0,55.0,96.0
3744,34.0,183.0,270.0,2.0,13.0,27.0,1.0,29.0,559.0,401.0,10.0,433.0,40.0,66.0,7.0,20.0,63.0,62.0,59.0,72.0,80.0,60.0,67.0,106.0,168.0,69.0,140.0,70.0,141.0,64.0
3793,6.0,0.0,1.0,2.0,14.0,253.0,19.0,41.0,32.0,34.0,33.0,436.0,428.0,66.0,31.0,21.0,55.0,58.0,62.0,54.0,69.0,59.0,48.0,28.0,65.0,51.0,96.0,50.0,164.0,52.0
3842,24.0,230.0,283.0,8.0,496.0,309.0,596.0,370.0,591.0,378.0,19.0,434.0,45.0,55.0,32.0,50.0,53.0,51.0,48.0,54.0,114.0,49.0,66.0,57.0,47.0,75.0,58.0,76.0,59.0,77.0
3891,15.0,186.0,25.0,30.0,4.0,255.0,29.0,42.0,557.0,0.0,2.0,435.0,37.0,19.0,95.0,46.0,51.0,53.0,55.0,52.0,54.0,57.0,67.0,24.0,58.0,81.0,61.0,68.0,62.0,92.0
3940,15.0,185.0,37.0,24.0,8.0,4.0,597.0,370.0,36.0,2.0,479.0,434.0,426.0,19.0,59.0,45.0,46.0,47.0,51.0,48.0,5.0,44.0,67.0,56.0,64.0,93.0,57.0,91.0,58.0,9.0
3989,494.0,18.0,38.0,325.0,498.0,4.0,1.0,371.0,42.0,0.0,479.0,30.0,2.0,52.0,43.0,7.0,54.0,56.0,51.0,53.0,31.0,48.0,50.0,57.0,59.0,49.0,55.0,60.0,46.0,45.0
4038,13.0,14.0,27.0,326.0,6.0,257.0,20.0,371.0,43.0,0.0,1.0,38.0,429.0,16.0,30.0,21.0,47.0,53.0,68.0,59.0,60.0,54.0,95.0,61.0,57.0,93.0,55.0,91.0,66.0,90.0
4087,496.0,227.0,21.0,15.0,33.0,290.0,595.0,2.0,590.0,19.0,0.0,3.0,426.0,53.0,32.0,49.0,51.0,30.0,48.0,52.0,145.0,55.0,54.0,31.0,47.0,58.0,46.0,73.0,45.0,74.0
4136,518.0,185.0,272.0,1.0,16.0,6.0,599.0,374.0,560.0,402.0,41.0,35.0,428.0,47.0,23.0,52.0,50.0,51.0,54.0,49.0,64.0,53.0,68.0,21.0,55.0,83.0,62.0,70.0,63.0,95.0
4185,494.0,191.0,20.0,1.0,8.0,258.0,33.0,370.0,591.0,378.0,23.0,44.0,38.0,63.0,146.0,68.0,65.0,67.0,70.0,64.0,22.0,69.0,62.0,108.0,72.0,61.0,109.0,60.0,145.0,73.0
4234,2.0,188.0,44.0,1.0,15.0,5.0,21.0,29.0,38.0,0.0,576.0,435.0,40.0,52.0,24.0,57.0,54.0,55.0,63.0,53.0,34.0,61.0,50.0,46.0,64.0,47.0,66.0,67.0,65.0,97.0
4283,517.0,36.0,18.0,2.0,27.0,0.0,31.0,372.0,35.0,379.0,4.0,44.0,42.0,56.0,30.0,51.0,53.0,52.0,48.0,54.0,183.0,55.0,75.0,46.0,47.0,111.0,45.0,76.0,57.0,96.0
4332,15.0,185.0,270.0,7.0,8.0,38.0,2.0,369.0,557.0,377.0,478.0,434.0,23.0,26.0,1.0,51.0,47.0,49.0,54.0,46.0,31.0,57.0,95.0,45.0,59.0,61.0,48.0,80.0,52.0,81.0
4381,16.0,189.0,2.0,0.0,23.0,259.0,13.0,373.0,37.0,3.0,38.0,28.0,31.0,48.0,45.0,55.0,50.0,51.0,59.0,49.0,4.0,58.0,46.0,52.0,60.0,80.0,57.0,64.0,61.0,83.0
4430,7.0,9.0,25.0,309.0,4.0,2.0,596.0,39.0,3.0,0.0,41.0,436.0,428.0,46.0,81.0,65.0,48.0,50.0,56.0,47.0,38.0,54.0,43.0,60.0,59.0,49.0,61.0,45.0,64.0,53.0
4479,494.0,231.0,280.0,257.0,1.0,0.0,32.0,30.0,588.0,4.0,379.0,435.0,428.0,53.0,63.0,48.0,50.0,49.0,58.0,51.0,35.0,46.0,54.0,75.0,59.0,55.0,60.0,56.0,62.0,57.0
4528,515.0,11.0,2.0,305.0,22.0,26.0,15.0,368.0,571.0,0.0,4.0,433.0,425.0,60.0,48.0,57.0,62.0,59.0,51.0,52.0,32.0,56.0,55.0,44.0,45.0,53.0,58.0,63.0,47.0,49.0
4577,13.0,3.0,178.0,22.0,2.0,41.0,19.0,0.0,40.0,36.0,380.0,434.0,43.0,32.0,45.0,56.0,65.0,55.0,61.0,51.0,4.0,58.0,46.0,64.0,63.0,57.0,54.0,82.0,59.0,67.0
4626,19.0,187.0,25.0,21.0,27.0,13.0,2.0,372.0,574.0,42.0,35.0,37.0,428.0,0.0,15.0,53.0,51.0,52.0,6.0,50.0,76.0,49.0,58.0,55.0,54.0,47.0,56.0,46.0,57.0,48.0
4675,4.0,1.0,40.0,24.0,29.0,5.0,25.0,3.0,32.0,378.0,479.0,435.0,427.0,45.0,61.0,50.0,48.0,49.0,54.0,46.0,47.0,53.0,41.0,56.0,55.0,42.0,58.0,43.0,60.0,79.0
4724,14.0,12.0,272.0,290.0,3.0,0.0,595.0,43.0,571.0,2.0,17.0,435.0,427.0,96.0,63.0,49.0,100.0,101.0,52.0,97.0,39.0,50.0,95.0,55.0,54.0,93.0,60.0,91.0,62.0,5.0
4773,495.0,36.0,288.0,324.0,5.0,31.0,613.0,30.0,23.0,29.0,26.0,41.0,44.0,16.0,150.0,108.0,105.0,107.0,144.0,60.0,28.0,109.0,62.0,146.0,145.0,64.0,148.0,67.0,149.0,74.0
4822,493.0,188.0,176.0,28.0,0.0,257.0,27.0,4.0,574.0,379.0,42.0,435.0,35.0,47.0,164.0,57.0,55.0,56.0,59.0,53.0,36.0,58.0,44.0,61.0,60.0,49.0,62.0,45.0,83.0,46.0
4871,24.0,31.0,1.0,20.0,30.0,315.0,35.0,9.0,0.0,8.0,6.0,434.0,2.0,54.0,76.0,49.0,51.0,50.0,47.0,52.0,149.0,48.0,56.0,60.0,59.0,57.0,61.0,58.0,62.0,69.0
